,minute,player,squad,xg,psxg,outcome,distance,body part,notes,sca_1_player,sca_1_event,sca_2_player,sca_2_event
0,4,Miguel Almirón,Newcastle Utd,0.03,0.4,Saved,29.0,Left Foot,,Jonjo Shelvey,Pass (Live),,
1,5,Matt Targett,Aston Villa,0.01,0.04,Saved,31.0,Left Foot,,Ollie Watkins,Pass (Live),Bertrand Traoré,Pass (Dead)
2,13,Ollie Watkins,Aston Villa,0.64,0.87,Goal,5.0,Head,,Jack Grealish,Pass (Live),Matt Targett,Pass (Live)
3,17,Ross Barkley,Aston Villa,0.09,,Off Target,10.0,Head,,Bertrand Traoré,Pass (Dead),Ollie Watkins,Fouled
4,23,Jamaal Lascelles,Newcastle Utd,0.08,,Blocked,9.0,Head,,Jonjo Shelvey,Pass (Dead),Callum Wilson,Pass (Live)
5,25,Matty Cash,Aston Villa,0.03,,Blocked,27.0,Right Foot,,Douglas Luiz,Pass (Live),Jack Grealish,Pass (Live)
6,28,Andy Carroll,Newcastle Utd,0.04,,Off Target,15.0,Head,,Javier Manquillo,Pass (Live),Fabian Schär,Pass (Live)
7,32,Andy Carroll,Newcastle Utd,0.05,,Off Target,9.0,Head,,Miguel Almirón,Pass (Live),Javier Manquillo,Pass (Live)
8,42,Bertrand Traoré,Aston Villa,0.04,0.27,Goal,17.0,Right Foot,,Jack Grealish,Pass (Live),Bertrand Traoré,Pass (Live)
9,44,Douglas Luiz,Aston Villa,0.03,,Off Target,27.0,Left Foot,,Matty Cash,Pass (Live),Jack Grealish,Pass (Live)
10,45+2,Marvelous Nakamba,Aston Villa,0.02,,Off Target,29.0,Left Foot,Volley,Ross Barkley,Fouled,Jack Grealish,Pass (Live)
11,,,,,,,,,,,,,
12,48,Ollie Watkins,Aston Villa,0.09,0.07,Saved,14.0,Right Foot,,Ross Barkley,Pass (Live),Douglas Luiz,Pass (Live)
13,48,Douglas Luiz,Aston Villa,0.36,,Off Target,12.0,Right Foot,,Ollie Watkins,Shot,,
14,68,Ross Barkley,Aston Villa,0.39,,Off Target,4.0,Left Foot,Volley,Ollie Watkins,Pass (Live),Bertrand Traoré,Pass (Live)
15,72,Bertrand Traoré,Aston Villa,0.03,,Blocked,28.0,Left Foot,,Jack Grealish,Pass (Live),Ross Barkley,Pass (Live)
16,72,Ryan Fraser,Newcastle Utd,0.14,,Blocked,12.0,Right Foot,,Miguel Almirón,Pass (Live),Ryan Fraser,Pass (Live)
17,73,Jack Grealish,Aston Villa,0.08,,Blocked,15.0,Right Foot,,Ross Barkley,Pass (Live),,
18,83,Tyrone Mings,Aston Villa,0.08,,Off Target,11.0,Head,,Jack Grealish,Pass (Dead),Trézéguet,Fouled
19,90+2,Jeff Hendrick,Newcastle Utd,0.03,,Off Target,19.0,Right Foot,Volley,Jeff Hendrick,Pass (Live),Fabian Schär,Pass (Dead)
20,90+2,Dwight Gayle,Newcastle Utd,0.11,,Off Target,9.0,Right Foot,Volley,Jeff Hendrick,Shot,,
21,90+4,Trézéguet,Aston Villa,0.36,0.83,Saved,12.0,Left Foot,,,,,
