player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
14 Players,3,3,0,0,20,9,1,0,516,15,5,7,1.7,1.7,1.4,36,6,313,412,76.0,40,215,16,13,6,313,412,76.0,5511,2319,152,174,87.4,102,124,82.3,44,77,57.1,3,1.4,1.0,14,26,13,5,40,412,370,41,11,2,3,16,17,3,1,2,0,313,1,13,15,8,7,7,1,5,15,33.3,10,7,2,5,5,20,23,1,516,66,167,193,159,25,516,13,6,46.2,7,53.8,215,1159,622,16,12,2,9,6,313,40,1,0,0,16,10,1,16,5,8,0,0,0,49,13,15,46.4
Aaron Cresswell,0,0,0,0,2,1,1,0,51,2,2,0,0.1,0.1,0.4,3,0,32,46,69.6,3,13,0,0,0,32,46,69.6,544,216,21,22,95.5,6,9,66.7,4,9,44.4,0,0.4,0.2,2,4,1,0,3,46,30,15,3,1,1,4,9,3,1,2,0,32,1,2,2,0,0,2,0,0,2,0.0,2,0,0,0,2,4,0,0,51,0,11,24,16,2,51,0,0,,0,,13,45,17,0,1,0,0,0,25,2,1,0,0,0,2,0,4,2,0,0,0,0,1,0,1,0.0
Angelo Ogbonna,0,0,0,0,0,0,0,0,39,1,0,0,0.0,0.0,0.0,1,0,29,33,87.9,0,23,0,0,0,29,33,87.9,573,212,8,8,100.0,17,17,100.0,4,8,50.0,0,0.0,0.0,0,3,0,0,0,33,31,2,2,0,0,0,0,0,0,0,0,29,0,0,1,1,1,0,0,0,0,,0,0,0,0,0,1,5,0,39,6,19,20,0,0,39,0,0,,0,,23,117,53,0,0,0,0,0,27,0,0,0,0,2,0,0,0,0,1,0,0,0,4,0,2,0.0
Ben Johnson,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,0,0,0,0,1,1,100.0,9,9,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Craig Dawson,0,0,0,0,0,0,0,0,38,2,1,1,0.0,0.0,0.0,0,0,21,26,80.8,5,14,0,0,0,21,26,80.8,451,163,3,3,100.0,14,14,100.0,4,7,57.1,0,0.0,0.0,0,4,0,0,5,26,25,1,1,0,0,0,0,0,0,0,0,21,0,1,2,1,1,1,0,1,1,100.0,0,1,1,0,1,3,6,1,38,11,22,16,0,0,38,0,0,,0,,14,63,51,0,0,0,1,0,19,0,0,0,0,1,2,0,0,1,1,0,0,0,5,3,0,100.0
Declan Rice,0,0,0,0,0,0,0,0,57,0,0,2,0.0,0.0,0.0,2,0,41,51,80.4,6,27,1,0,0,41,51,80.4,726,280,23,25,92.0,12,14,85.7,6,9,66.7,0,0.0,0.0,0,1,1,0,6,51,50,1,1,0,0,1,0,0,0,0,0,41,0,2,0,0,0,0,0,0,0,,0,2,1,1,0,0,1,0,57,6,21,22,14,2,57,0,0,,0,,27,208,72,1,2,0,0,1,38,1,0,0,0,2,1,0,1,0,0,0,0,0,8,2,1,66.7
Jarrod Bowen,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jesse Lingard,2,0,0,0,6,3,0,0,64,1,0,0,0.3,0.3,0.1,5,0,43,47,91.5,9,35,5,6,2,43,47,91.5,650,185,21,21,100.0,12,14,85.7,4,4,100.0,0,0.1,0.1,2,5,2,1,9,47,44,3,0,0,0,1,1,0,0,0,0,43,0,1,1,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,64,0,4,29,31,2,64,6,2,33.3,4,66.7,35,172,93,5,2,1,2,1,52,6,0,0,0,3,1,1,1,0,0,0,0,0,2,0,0,
Michail Antonio,0,2,0,0,5,1,0,0,27,0,0,2,0.7,0.7,0.2,5,3,9,15,60.0,1,14,0,2,0,9,15,60.0,178,44,6,8,75.0,2,4,50.0,1,1,100.0,2,0.2,0.0,2,0,1,0,1,15,15,0,0,0,1,1,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,,0,2,0,2,0,0,0,0,27,0,1,8,18,7,27,2,0,0.0,2,100.0,14,46,17,0,1,0,1,3,24,6,0,0,0,1,0,0,1,0,0,0,0,0,1,0,2,0.0
Pablo Fornals,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,1,0,6,6,100.0,1,4,0,0,0,6,6,100.0,44,11,3,3,100.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,1,6,6,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,6,0,0,1,5,1,6,0,0,,0,,4,32,22,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
