,minute,player,squad,xg,psxg,outcome,distance,body part,notes,sca_1_player,sca_1_event,sca_2_player,sca_2_event
0,9,Leandro Trossard,Brighton,0.04,,Woodwork,22.0,Left Foot,,Steven Alzate,Pass (Live),Solly March,Pass (Live)
1,9,Neal Maupay,Brighton,0.04,,Off Target,16.0,Left Foot,Volley,Leandro Trossard,Shot,,
2,12,Neal Maupay,Brighton,0.05,,Blocked,29.0,Right Foot,,Aaron Connolly,Pass (Live),,
3,17,Mason Greenwood,Manchester Utd,0.05,,Off Target,15.0,Left Foot,,,,,
4,21,Leandro Trossard,Brighton,0.04,,Woodwork,21.0,Left Foot,,Steven Alzate,Pass (Live),Steven Alzate,Take-On
5,25,Aaron Connolly,Brighton,0.04,,Off Target,15.0,Right Foot,Volley,Neal Maupay,Pass (Live),Adam Lallana,Pass (Live)
6,30,Adam Webster,Brighton,0.09,0.34,Saved,11.0,Head,,Neal Maupay,Pass (Live),Solly March,Fouled
7,40,Neal Maupay (pen),Brighton,0.79,0.97,Goal,13.0,Right Foot,,Tariq Lamptey,Fouled,Adam Lallana,Pass (Live)
8,45,Nemanja Matić,Manchester Utd,0.03,0.12,Saved,29.0,Left Foot,,Marcus Rashford,Pass (Live),Bruno Fernandes,Pass (Live)
9,,,,,,,,,,,,,
10,55,Marcus Rashford,Manchester Utd,0.51,0.97,Goal,10.0,Left Foot,Deflected,Marcus Rashford,Take-On,Bruno Fernandes,Pass (Live)
11,60,Solly March,Brighton,0.27,,Woodwork,12.0,Left Foot,,Neal Maupay,Pass (Live),Ben White,Pass (Live)
12,68,Neal Maupay,Brighton,0.06,0.07,Saved,11.0,Left Foot,,Neal Maupay,Take-On,Solly March,Pass (Live)
13,75,Anthony Martial,Manchester Utd,0.07,,Blocked,13.0,Right Foot,,Luke Shaw,Fouled,Marcus Rashford,Pass (Live)
14,75,Marcus Rashford,Manchester Utd,0.05,,Blocked,19.0,Right Foot,,Mason Greenwood,Pass (Live),Bruno Fernandes,Pass (Live)
15,76,Leandro Trossard,Brighton,0.22,,Woodwork,12.0,Left Foot,,Alireza Jahanbakhsh,Pass (Live),Tariq Lamptey,Pass (Live)
16,78,Solly March,Brighton,0.03,,Off Target,21.0,Right Foot,,Leandro Trossard,Pass (Live),Solly March,Pass (Live)
17,79,Pascal Groß,Brighton,0.04,,Blocked,22.0,Right Foot,,Leandro Trossard,Pass (Live),Solly March,Pass (Live)
18,80,Solly March,Brighton,0.05,,Blocked,13.0,Left Foot,,Alireza Jahanbakhsh,Pass (Live),Neal Maupay,Pass (Live)
19,85,Solly March,Brighton,0.05,,Off Target,10.0,Left Foot,Volley,Ben White,Pass (Live),Alireza Jahanbakhsh,Pass (Live)
20,90+3,Alireza Jahanbakhsh,Brighton,0.02,,Blocked,29.0,Right Foot,,Solly March,Pass (Live),Leandro Trossard,Pass (Live)
21,90+3,Steven Alzate,Brighton,0.09,,Off Target,12.0,Right Foot,Volley,Pascal Groß,Pass (Live),Alireza Jahanbakhsh,Pass (Live)
22,90+3,Leandro Trossard,Brighton,0.18,0.06,Saved,8.0,Left Foot,,Steven Alzate,Shot,,
23,90+5,Solly March,Brighton,0.48,0.83,Goal,4.0,Head,,Alireza Jahanbakhsh,Pass (Live),Steven Alzate,Pass (Live)
24,90+7,Harry Maguire,Manchester Utd,0.05,,Blocked,10.0,Head,,Bruno Fernandes,Pass (Dead),Marcus Rashford,Pass (Live)
25,90+10,Bruno Fernandes (pen),Manchester Utd,0.79,0.98,Goal,13.0,Right Foot,,,Fouled,Harry Maguire,Shot
