player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
14 Players,0,0,0,0,3,1,1,0,497,11,16,9,0.1,0.1,0.1,6,0,330,414,79.7,19,336,7,17,8,330,414,79.7,5590,2191,163,179,91.1,109,133,82.0,38,65,58.5,0,0.1,0.1,3,19,3,1,19,414,371,42,14,0,3,5,19,1,1,0,0,330,1,8,11,6,4,6,1,5,17,29.4,12,9,4,5,16,27,15,0,497,73,193,239,70,4,497,17,8,47.1,9,52.9,336,1428,602,7,7,1,13,7,325,19,1,0,0,5,12,1,5,16,6,0,0,0,45,12,10,54.5
Ciaran Clark,0,0,0,0,0,0,0,0,46,1,3,3,0.0,0.0,0.0,0,0,34,38,89.5,1,33,0,1,0,34,38,89.5,596,194,12,12,100.0,16,17,94.1,4,6,66.7,0,0.0,0.0,0,1,0,0,1,38,38,0,0,0,0,0,0,0,0,0,0,34,0,0,1,1,1,0,0,0,0,,0,3,2,1,3,4,2,0,46,9,29,18,0,0,46,1,0,0.0,1,100.0,33,119,39,0,0,0,1,0,26,0,0,0,0,2,0,0,0,3,1,0,0,0,9,1,2,33.3
Isaac Hayden,0,0,0,0,1,0,0,0,20,1,4,0,0.0,0.0,0.0,0,0,11,15,73.3,1,13,0,0,0,11,15,73.3,126,25,6,6,100.0,3,5,60.0,0,1,0.0,0,0.0,0.0,0,1,1,0,1,15,14,0,0,0,0,0,0,0,0,0,0,11,1,0,1,0,0,1,0,0,1,0.0,1,0,0,0,4,5,1,0,20,3,4,12,4,1,20,0,0,,0,,13,55,19,0,0,0,0,0,15,0,0,0,0,0,0,0,0,4,0,0,0,0,1,2,0,100.0
Jacob Murphy,0,0,0,0,0,0,0,0,13,0,0,0,0.0,0.0,0.0,0,0,6,8,75.0,0,10,0,4,0,6,8,75.0,72,14,4,5,80.0,1,2,50.0,0,0,,0,0.0,0.0,0,1,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,0,0,13,0,1,9,3,0,13,4,0,0.0,4,100.0,10,47,25,0,0,0,0,0,9,2,0,0,0,0,2,0,0,0,0,0,0,0,2,0,1,0.0
Jamaal Lascelles,0,0,0,0,0,0,0,0,48,0,2,2,0.0,0.0,0.0,0,0,37,42,88.1,4,36,1,0,0,37,42,88.1,703,331,14,14,100.0,17,20,85.0,5,5,100.0,0,0.0,0.0,0,1,0,0,4,42,42,0,0,0,0,0,0,0,0,0,0,37,0,1,0,0,0,0,0,0,0,,0,2,2,0,2,2,1,0,48,13,36,13,0,0,48,0,0,,0,,36,143,85,1,0,0,0,0,32,0,0,0,0,0,1,0,0,2,0,0,0,0,3,2,0,100.0
Javier Manquillo,0,0,0,0,0,0,0,0,57,4,1,2,0.0,0.0,0.0,0,0,39,50,78.0,3,31,0,1,1,39,50,78.0,579,269,24,27,88.9,15,19,78.9,0,2,0.0,0,0.0,0.0,0,2,0,0,3,50,40,10,1,0,0,0,9,0,0,0,0,39,0,2,4,3,1,2,1,3,5,60.0,2,2,0,2,1,5,2,0,57,4,25,27,7,0,57,1,1,100.0,0,0.0,31,111,44,0,1,0,0,1,32,2,0,0,0,0,2,0,0,1,3,0,0,0,3,3,1,75.0
Jeff Hendrick,0,0,0,0,0,0,0,0,29,0,1,0,0.0,0.0,0.0,0,0,22,25,88.0,0,21,0,2,1,22,25,88.0,330,56,10,12,83.3,6,7,85.7,2,2,100.0,0,0.0,0.0,0,0,0,0,0,25,23,2,2,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0,29,0,5,18,6,0,29,2,1,50.0,1,50.0,21,64,9,0,0,0,2,0,22,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,
Joe Willock,0,0,0,0,0,0,0,0,18,1,2,0,0.0,0.0,0.0,0,0,7,9,77.8,0,10,0,2,1,7,9,77.8,65,7,6,7,85.7,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,1,0,0,0,1,0.0,1,0,0,0,2,3,1,0,18,2,5,10,3,0,18,2,1,50.0,1,50.0,10,34,0,0,0,0,1,2,9,2,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,
Joelinton,0,0,0,0,0,0,0,0,30,0,0,0,0.0,0.0,0.0,1,0,16,23,69.6,0,20,1,2,1,16,23,69.6,164,20,11,13,84.6,3,5,60.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,23,21,2,0,0,0,1,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,30,1,1,18,11,1,30,2,1,50.0,1,50.0,20,78,18,1,0,1,5,2,27,3,0,0,0,0,1,0,1,0,0,0,0,0,2,4,4,50.0
Jonjo Shelvey,0,0,0,0,0,0,0,0,53,1,2,1,0.0,0.0,0.0,1,0,36,45,80.0,5,35,0,0,0,36,45,80.0,775,302,13,14,92.9,15,18,83.3,8,12,66.7,0,0.0,0.0,1,7,1,1,5,45,41,4,3,0,2,2,0,1,1,0,0,36,0,1,1,1,0,1,0,0,3,0.0,3,1,0,1,2,3,3,0,53,7,12,39,2,0,53,0,0,,0,,35,162,53,0,1,0,0,1,34,1,0,0,0,0,1,0,2,2,1,0,0,0,9,0,0,
Martin Dúbravka,0,0,0,0,0,0,0,0,41,0,0,0,0.0,0.0,0.0,0,0,31,40,77.5,0,25,0,0,0,31,40,77.5,979,630,7,7,100.0,9,9,100.0,14,23,60.9,0,0.0,0.0,0,1,0,0,0,40,29,11,7,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,41,31,40,1,0,0,41,0,0,,0,,25,146,90,0,0,0,0,0,18,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,
Miguel Almirón,0,0,0,0,0,0,0,0,33,1,0,0,0.0,0.0,0.0,2,0,22,30,73.3,2,27,2,1,1,22,30,73.3,272,19,11,12,91.7,7,10,70.0,1,3,33.3,0,0.0,0.0,1,1,1,0,2,30,28,2,0,0,0,0,0,0,0,0,0,22,0,1,1,0,0,1,0,0,1,0.0,1,0,0,0,0,1,0,0,33,0,5,20,8,0,33,1,1,100.0,0,0.0,27,138,72,2,0,0,0,1,24,2,0,0,0,0,1,1,0,0,0,0,0,0,6,0,0,
Paul Dummett,0,0,0,0,0,0,1,0,61,2,0,1,0.0,0.0,0.0,1,0,42,51,82.4,1,34,0,1,1,42,51,82.4,519,263,28,29,96.6,10,11,90.9,2,8,25.0,0,0.0,0.0,1,2,0,0,1,51,42,9,0,0,0,0,9,0,0,0,0,42,0,0,2,1,1,1,0,2,3,66.7,1,1,0,1,0,2,3,0,61,3,21,32,8,0,61,1,1,100.0,0,0.0,34,97,57,0,0,0,1,0,39,0,1,0,0,1,1,0,0,0,1,0,0,0,3,0,1,0.0
