player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
14 Players,1,1,0,0,13,6,0,0,734,19,12,8,2.2,2.2,2.2,23,2,506,629,80.4,45,467,27,23,13,506,629,80.4,8107,2589,242,269,90.0,189,218,86.7,43,84,51.2,1,2.2,1.5,11,27,13,2,45,629,591,35,6,1,6,18,20,4,1,2,0,506,3,11,19,15,9,10,0,8,25,32.0,17,8,3,5,12,31,22,0,734,78,254,344,143,24,734,23,13,56.5,10,43.5,467,2590,1341,27,14,6,14,5,504,44,0,0,0,9,6,3,18,12,15,0,0,0,67,21,18,53.8
Abdoulaye Doucouré,0,0,0,0,0,0,0,0,65,1,0,0,0.0,0.0,0.1,5,0,50,59,84.7,8,50,3,2,1,50,59,84.7,775,175,23,26,88.5,22,24,91.7,3,4,75.0,0,0.1,0.1,2,2,2,0,8,59,59,0,0,0,0,1,0,0,0,0,0,50,0,1,1,1,1,0,0,0,2,0.0,2,0,0,0,0,1,3,0,65,1,10,42,16,4,65,2,1,50.0,1,50.0,50,277,168,3,3,0,2,1,52,5,0,0,0,1,0,0,1,0,1,0,0,0,9,3,2,60.0
Alex Iwobi,0,0,0,0,1,0,0,0,97,3,1,0,0.0,0.0,0.5,6,0,66,87,75.9,5,58,7,4,2,66,87,75.9,971,324,40,44,90.9,24,32,75.0,2,7,28.6,0,0.5,0.3,2,2,4,2,5,87,75,11,0,0,1,10,11,0,0,0,0,66,1,2,3,2,2,1,0,2,4,50.0,2,0,0,0,1,4,0,0,97,0,25,41,31,5,97,4,2,50.0,2,50.0,58,351,231,7,4,2,0,2,69,9,0,0,0,1,1,0,10,1,2,0,0,0,6,0,0,
Allan,0,0,0,0,0,0,0,0,59,2,1,3,0.0,0.0,0.0,2,1,44,49,89.8,3,35,1,1,1,44,49,89.8,631,227,20,21,95.2,15,18,83.3,3,4,75.0,0,0.0,0.0,1,2,2,0,3,49,48,1,0,0,0,0,0,0,0,0,0,44,0,0,2,1,1,1,0,0,4,0.0,4,3,1,2,1,3,2,0,59,6,19,31,9,0,59,1,1,100.0,0,0.0,35,209,118,1,1,0,2,0,37,0,0,0,0,0,0,0,0,1,1,0,0,0,9,0,1,0.0
André Gomes,0,0,0,0,2,0,0,0,44,0,0,1,0.0,0.0,0.1,3,0,29,36,80.6,6,30,4,5,2,29,36,80.6,553,127,15,19,78.9,4,4,100.0,7,7,100.0,0,0.1,0.0,1,2,0,0,6,36,36,0,0,0,2,0,0,0,0,0,0,29,0,1,0,0,0,0,0,0,2,0.0,2,1,0,1,0,0,0,0,44,1,7,27,11,0,44,5,2,40.0,3,60.0,30,164,73,4,0,0,1,1,28,0,0,0,0,1,0,1,0,0,0,0,0,0,5,0,1,0.0
Ben Godfrey,0,0,0,0,0,0,0,0,73,5,3,2,0.0,0.0,0.0,0,0,49,58,84.5,3,43,2,0,0,49,58,84.5,722,203,29,32,90.6,14,14,100.0,4,4,100.0,0,0.0,0.0,0,3,0,0,3,58,54,4,0,0,0,0,4,0,0,0,0,49,0,4,5,5,1,4,0,3,4,75.0,1,2,1,1,3,8,2,0,73,4,25,43,6,0,73,0,0,,0,,43,211,93,2,1,0,2,0,42,0,0,0,0,0,1,0,0,3,5,0,0,0,4,5,2,71.4
Cenk Tosun,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,1,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,,0,,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
Dominic Calvert-Lewin,1,0,0,0,4,3,0,0,26,0,0,1,1.5,1.5,0.0,1,0,15,19,78.9,1,13,1,0,0,15,19,78.9,140,5,9,9,100.0,2,2,100.0,0,1,0.0,0,0.0,0.0,0,1,0,0,1,19,17,1,0,0,0,0,0,0,0,0,0,15,1,1,0,0,0,0,0,0,0,,0,1,1,0,0,0,1,0,26,2,2,9,15,6,26,0,0,,0,,13,98,33,1,0,1,1,0,23,9,0,0,0,2,0,1,0,0,0,0,0,0,1,2,3,40.0
Fabian Delph,0,0,0,0,0,0,0,0,22,0,0,0,0.0,0.0,0.0,0,0,15,21,71.4,0,13,0,2,2,15,21,71.4,216,33,9,9,100.0,6,7,85.7,0,3,0.0,0,0.0,0.0,0,0,0,0,0,21,18,3,0,0,0,0,3,0,0,0,0,15,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,22,0,7,10,6,0,22,2,2,100.0,0,0.0,13,79,35,0,1,0,0,0,16,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,
Gylfi Sigurðsson,0,0,0,0,1,1,0,0,5,1,0,0,0.4,0.4,0.0,0,0,2,2,100.0,0,1,0,0,0,2,2,100.0,21,0,2,2,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,5,0,2,2,1,1,5,0,0,,0,,1,4,0,0,0,0,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
