player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
12 Players,0,0,0,0,11,4,2,0,597,14,6,14,0.4,0.4,0.3,20,0,396,492,80.5,24,352,22,16,6,396,492,80.5,6204,2136,199,228,87.3,142,166,85.5,32,50,64.0,0,0.3,0.3,9,23,3,0,24,492,437,52,11,1,7,13,26,4,2,2,0,396,3,13,14,5,3,6,5,10,26,38.5,16,14,5,9,6,20,17,1,597,74,191,232,178,8,597,16,6,37.5,10,62.5,352,2013,1106,22,14,1,15,14,389,24,2,0,0,12,11,3,13,6,5,0,0,0,45,6,6,50.0
Aaron Wan-Bissaka,0,0,0,0,0,0,0,0,67,0,1,1,0.0,0.0,0.1,1,0,51,62,82.3,4,39,2,0,0,51,62,82.3,629,319,38,41,92.7,12,16,75.0,0,1,0.0,0,0.1,0.0,1,3,0,0,4,62,53,8,0,0,0,1,8,0,0,0,0,51,1,1,0,0,0,0,0,0,1,0.0,1,1,0,1,1,1,3,0,67,3,18,34,16,1,67,0,0,,0,,39,238,139,2,1,0,0,0,44,2,0,0,0,1,1,0,1,1,0,0,0,0,5,0,0,
Anthony Martial,0,0,0,0,0,0,0,0,5,0,0,1,0.0,0.0,0.0,0,0,1,1,100.0,0,4,0,1,0,1,1,100.0,12,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,1,1,1,0,0,0,0,0,5,0,1,2,2,0,5,1,0,0.0,1,100.0,4,15,1,0,1,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bruno Fernandes,0,0,0,0,2,0,0,0,65,3,1,4,0.1,0.1,0.0,3,0,35,54,64.8,1,31,3,1,0,35,54,64.8,483,70,21,24,87.5,9,15,60.0,3,11,27.3,0,0.0,0.0,1,1,0,0,1,54,46,7,3,0,2,3,2,1,1,0,0,35,1,1,3,1,0,0,3,3,7,42.9,4,4,0,4,1,4,0,0,65,0,5,29,32,1,65,1,0,0.0,1,100.0,31,130,82,3,2,0,0,1,40,2,0,0,0,0,0,0,3,1,1,0,0,0,6,0,1,0.0
Daniel James,0,0,0,0,1,0,0,0,36,1,0,0,0.0,0.0,0.0,1,0,15,24,62.5,1,20,3,1,0,15,24,62.5,140,37,10,13,76.9,2,5,40.0,0,0,,0,0.0,0.0,1,0,0,0,1,24,23,1,0,0,0,2,1,0,0,0,0,15,0,1,1,0,0,0,1,0,4,0.0,4,0,0,0,0,1,0,0,36,0,4,12,20,0,36,1,0,0.0,1,100.0,20,117,73,3,1,0,5,0,24,5,0,0,0,3,1,1,2,0,0,0,0,0,3,0,2,0.0
David de Gea,0,0,0,0,0,0,0,0,31,0,0,0,0.0,0.0,0.0,0,0,25,29,86.2,0,15,0,0,0,25,29,86.2,549,328,8,8,100.0,10,11,90.9,7,10,70.0,0,0.0,0.0,0,0,0,0,0,29,18,11,1,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,31,30,31,0,0,0,31,0,0,,0,,15,87,63,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Fred,0,0,0,0,2,1,1,0,63,3,3,2,0.1,0.1,0.0,3,0,38,48,79.2,3,36,3,2,1,38,48,79.2,608,160,14,17,82.4,17,19,89.5,3,4,75.0,0,0.0,0.0,0,4,0,0,3,48,46,1,1,1,0,0,0,0,0,0,0,38,1,1,3,1,0,3,0,2,4,50.0,2,2,1,1,3,6,1,0,63,2,11,33,19,0,63,2,1,50.0,1,50.0,36,235,117,3,3,0,1,3,38,0,1,0,0,1,0,0,0,3,1,0,0,0,8,0,0,
Harry Maguire,0,0,0,0,0,0,1,0,68,2,0,0,0.0,0.0,0.0,0,0,55,59,93.2,4,44,2,4,2,55,59,93.2,1120,466,19,20,95.0,27,29,93.1,7,8,87.5,0,0.0,0.0,0,6,0,0,4,59,56,3,3,0,4,0,0,0,0,0,0,55,0,0,2,0,0,2,0,2,3,66.7,1,0,0,0,0,2,5,0,68,17,41,23,5,0,68,4,2,50.0,2,50.0,44,329,216,2,0,0,0,1,50,0,1,0,0,1,3,0,0,0,0,0,0,0,2,1,1,50.0
Luke Shaw,0,0,0,0,0,0,0,0,81,3,1,2,0.0,0.0,0.1,4,0,53,67,79.1,2,40,4,2,1,53,67,79.1,638,225,37,41,90.2,9,13,69.2,3,5,60.0,0,0.1,0.0,3,1,0,0,2,67,49,18,0,0,0,5,15,3,1,2,0,53,0,3,3,2,2,0,1,1,2,50.0,1,2,1,1,1,4,3,0,81,6,28,27,27,2,81,2,1,50.0,1,50.0,40,306,169,4,3,0,2,1,43,3,0,0,0,1,1,0,5,1,2,0,0,0,3,1,1,50.0
Marcus Rashford,0,0,0,0,2,2,0,0,38,1,0,1,0.1,0.1,0.1,3,0,23,29,79.3,1,25,1,3,1,23,29,79.3,287,34,11,13,84.6,7,8,87.5,1,2,50.0,0,0.1,0.0,2,0,1,0,1,29,29,0,0,0,0,1,0,0,0,0,0,23,0,1,1,0,1,0,0,1,1,100.0,0,1,0,1,0,1,0,0,38,0,4,10,24,1,38,3,1,33.3,2,66.7,25,125,48,1,1,0,1,3,30,8,0,0,0,0,1,1,1,0,0,0,0,0,7,1,0,100.0
Mason Greenwood,0,0,0,0,2,0,0,0,36,0,0,1,0.1,0.1,0.0,3,0,24,29,82.8,4,28,1,1,1,24,29,82.8,309,56,16,18,88.9,4,4,100.0,2,2,100.0,0,0.0,0.0,0,2,1,0,4,29,29,0,0,0,0,0,0,0,0,0,0,24,0,3,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0,36,0,2,14,20,1,36,1,1,100.0,0,0.0,28,110,37,1,0,0,2,3,32,2,0,0,0,1,2,1,0,0,0,0,0,0,1,1,1,50.0
Scott McTominay,0,0,0,0,2,1,0,0,55,1,0,1,0.1,0.1,0.0,2,0,32,43,74.4,2,34,3,1,0,32,43,74.4,528,128,14,20,70.0,15,16,93.8,2,2,100.0,0,0.0,0.0,1,2,0,0,2,43,41,2,2,0,1,1,0,0,0,0,0,32,0,2,1,1,0,1,0,1,2,50.0,1,1,1,0,0,1,2,0,55,3,15,29,11,2,55,1,0,0.0,1,100.0,34,135,57,3,2,1,2,1,37,2,0,0,0,3,2,0,1,0,1,0,0,0,8,0,0,
Victor Lindelöf,0,0,0,0,0,0,0,0,52,0,0,1,0.0,0.0,0.0,0,0,44,47,93.6,2,36,0,0,0,44,47,93.6,901,313,10,12,83.3,30,30,100.0,4,5,80.0,0,0.0,0.0,0,4,1,0,2,47,46,1,1,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,,0,1,1,0,0,0,3,0,52,13,31,19,2,0,52,0,0,,0,,36,186,104,0,0,0,1,0,38,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,100.0
