,minute,player,squad,xg,psxg,outcome,distance,body part,notes,sca_1_player,sca_1_event,sca_2_player,sca_2_event
0,3,Matheus Pereira,West Brom,0.05,0.03,Saved,26.0,Left Foot,,Mbaye Diagne,Pass (Live),Semi Ajayi,Pass (Live)
1,6,Matheus Pereira,West Brom,0.14,,Blocked,22.0,Left Foot,Free kick,Matheus Pereira,Fouled,,
2,12,Marcos Alonso,Chelsea,0.05,0.1,Saved,14.0,Left Foot,,Thiago Silva,Pass (Live),Kurt Zouma,Pass (Live)
3,22,Mateo Kovačić,Chelsea,0.04,,Blocked,22.0,Right Foot,,Christian Pulisic,Pass (Live),Reece James,Pass (Live)
4,27,Marcos Alonso,Chelsea,0.06,0.44,Saved,32.0,Left Foot,Free kick,Christian Pulisic,Fouled,Thiago Silva,Pass (Live)
5,27,Christian Pulisic,Chelsea,0.23,0.32,Goal,8.0,Right Foot,,Marcos Alonso,Shot,,
6,31,Conor Townsend,West Brom,0.13,,Off Target,22.0,Left Foot,Free kick,Okay Yokuşlu,Fouled,Matheus Pereira,Pass (Live)
7,42,Reece James,Chelsea,0.05,0.12,Saved,13.0,Right Foot,,César Azpilicueta,Pass (Live),Jorginho,Pass (Live)
8,43,Kurt Zouma,Chelsea,0.09,,Off Target,9.0,Head,,Reece James,Pass (Dead),Reece James,Shot
9,44,Reece James,Chelsea,0.09,0.08,Saved,21.0,Right Foot,,Mateo Kovačić,Pass (Live),Reece James,Tackle
10,44,Andreas Christensen,Chelsea,0.05,,Off Target,10.0,Head,,Reece James,Pass (Dead),Reece James,Shot
11,45+2,Matheus Pereira,West Brom,0.2,0.26,Goal,20.0,Left Foot,Volley,Sam Johnstone,Pass (Live),Conor Townsend,Pass (Live)
12,45+3,Matt Phillips,West Brom,0.05,,Woodwork,20.0,Left Foot,,Matt Phillips,Take-On,Okay Yokuşlu,Pass (Live)
13,45+4,Matheus Pereira,West Brom,0.07,0.33,Goal,14.0,Left Foot,,,,,
14,,,,,,,,,,,,,
15,51,Matheus Pereira,West Brom,0.04,,Blocked,29.0,Left Foot,,Matheus Pereira,Take-On,Callum Robinson,Pass (Live)
16,54,Marcos Alonso,Chelsea,0.4,,Blocked,8.0,Right Foot,Volley,Mateo Kovačić,Pass (Live),Marcos Alonso,Pass (Live)
17,56,Mason Mount,Chelsea,0.05,,Off Target,30.0,Right Foot,Free kick,Mason Mount,Fouled,,
18,58,Mateo Kovačić,Chelsea,0.04,,Blocked,23.0,Right Foot,,César Azpilicueta,Pass (Live),Reece James,Pass (Live)
19,59,Kurt Zouma,Chelsea,0.11,,Off Target,10.0,Right Foot,Volley,Reece James,Pass (Dead),Mateo Kovačić,Shot
20,61,Matheus Pereira,West Brom,0.05,0.02,Saved,16.0,Left Foot,,Callum Robinson,Pass (Live),Kyle Bartley,Tackle
21,63,Callum Robinson,West Brom,0.06,0.15,Goal,16.0,Right Foot,Volley,Darnell Furlong,Pass (Live),Matheus Pereira,Pass (Live)
22,68,Kurt Zouma,Chelsea,0.1,,Blocked,10.0,Other,,Reece James,Pass (Dead),Mateo Kovačić,Pass (Live)
23,68,Mbaye Diagne,West Brom,0.07,0.17,Goal,15.0,Right Foot,,Matheus Pereira,Pass (Live),Conor Townsend,Pass (Live)
24,69,Mason Mount,Chelsea,0.08,0.12,Saved,14.0,Right Foot,Deflected,Jorginho,Pass (Live),Timo Werner,Pass (Live)
25,71,Mason Mount,Chelsea,0.44,0.47,Goal,9.0,Left Foot,,Timo Werner,Pass (Live),Marcos Alonso,Pass (Live)
26,75,Ainsley Maitland-Niles,West Brom,0.03,,Off Target,31.0,Right Foot,,,,,
27,76,Kurt Zouma,Chelsea,0.19,,Off Target,7.0,Left Foot,,Timo Werner,Pass (Live),Reece James,Pass (Dead)
28,79,Okay Yokuşlu,West Brom,0.33,,Off Target,4.0,Head,,Matheus Pereira,Pass (Dead),Matheus Pereira,Pass (Live)
29,79,Timo Werner,Chelsea,0.03,,Blocked,21.0,Right Foot,,Andreas Christensen,Pass (Live),Edouard Mendy,Pass (Dead)
30,80,Mason Mount,Chelsea,0.02,,Off Target,28.0,Right Foot,,Kai Havertz,Pass (Live),Marcos Alonso,Pass (Dead)
31,86,Mbaye Diagne,West Brom,0.03,,Blocked,25.0,Right Foot,,Callum Robinson,Pass (Live),Callum Robinson,Take-On
32,90+1,Callum Robinson,West Brom,0.38,0.78,Goal,10.0,Right Foot,,Matheus Pereira,Pass (Live),Mbaye Diagne,Pass (Live)
