player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
12 Players,0,0,0,0,3,0,1,0,529,20,20,17,0.1,0.1,0.1,6,0,308,404,76.2,22,324,4,17,8,308,404,76.2,5726,2450,137,166,82.5,111,130,85.4,44,78,56.4,0,0.1,0.4,2,21,3,2,22,404,352,51,14,1,4,11,21,1,0,0,1,308,1,5,20,8,5,14,1,9,25,36.0,16,17,2,15,20,40,17,0,529,70,207,230,94,7,529,17,8,47.1,9,52.9,324,1377,501,4,4,1,18,9,308,22,1,0,0,10,14,1,11,20,8,0,0,0,43,21,19,52.5
Andros Townsend,0,0,0,0,0,0,0,0,55,4,2,3,0.0,0.0,0.1,2,0,21,33,63.6,3,32,2,7,2,21,33,63.6,312,161,10,10,100.0,5,10,50.0,3,7,42.9,0,0.1,0.1,1,4,1,1,3,33,31,2,1,0,0,8,0,1,0,0,1,21,0,1,4,1,1,3,0,0,3,0.0,3,3,0,3,2,6,2,0,55,3,11,24,20,0,55,7,2,28.6,5,71.4,32,160,75,2,0,0,3,2,33,5,0,0,0,0,4,0,8,2,1,0,0,0,5,0,0,
Cheikhou Kouyaté,0,0,0,0,0,0,0,0,55,1,2,0,0.0,0.0,0.0,0,0,35,42,83.3,0,35,0,1,0,35,42,83.3,709,196,13,17,76.5,19,19,100.0,3,5,60.0,0,0.0,0.0,0,2,0,0,0,42,40,2,2,0,0,0,0,0,0,0,0,35,0,0,1,1,1,0,0,0,1,0.0,1,0,0,0,2,3,4,0,55,7,35,20,0,0,55,1,0,0.0,1,100.0,35,96,24,0,0,0,1,0,33,0,0,0,0,1,0,0,0,2,1,0,0,0,3,2,5,28.6
Christian Benteke,0,0,0,0,1,0,0,0,34,1,0,0,0.1,0.1,0.0,0,0,14,27,51.9,2,16,0,1,1,14,27,51.9,222,24,6,13,46.2,4,8,50.0,2,2,100.0,0,0.0,0.0,0,2,0,0,2,27,27,0,0,0,1,0,0,0,0,0,0,14,0,0,1,0,0,0,1,0,0,,0,0,0,0,0,1,1,0,34,1,2,18,14,3,34,1,1,100.0,0,0.0,16,43,1,0,0,0,3,1,29,5,0,0,0,1,1,0,0,0,0,0,0,0,0,14,7,66.7
Eberechi Eze,0,0,0,0,0,0,0,0,21,0,0,2,0.0,0.0,0.0,0,0,14,17,82.4,0,20,0,2,2,14,17,82.4,241,8,6,9,66.7,5,5,100.0,2,2,100.0,0,0.0,0.0,0,0,0,0,0,17,15,2,1,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,2,0.0,2,2,0,2,0,0,0,0,21,0,0,15,6,0,21,2,2,100.0,0,0.0,20,141,37,0,0,0,2,2,19,1,0,0,0,0,2,1,0,0,0,0,0,0,2,0,2,0.0
Gary Cahill,0,0,0,0,1,0,0,0,56,0,3,3,0.0,0.0,0.0,0,0,37,46,80.4,2,41,0,1,1,37,46,80.4,775,396,16,20,80.0,15,16,93.8,6,10,60.0,0,0.0,0.0,0,2,0,0,2,46,45,1,1,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,,0,3,1,2,3,3,2,0,56,8,37,16,3,1,56,1,1,100.0,0,0.0,41,158,46,0,0,0,0,0,36,0,0,0,0,0,1,0,0,3,0,0,0,0,5,2,0,100.0
James McCarthy,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,6,7,85.7,1,4,0,0,0,6,7,85.7,105,46,1,1,100.0,4,4,100.0,0,1,0.0,0,0.0,0.0,0,0,0,0,1,7,6,1,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,0,0,7,1,2,5,0,0,7,0,0,,0,,4,13,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
Jaïro Riedewald,0,0,0,0,0,0,0,0,46,3,4,5,0.0,0.0,0.0,0,0,21,27,77.8,3,25,1,1,1,21,27,77.8,284,103,10,12,83.3,8,9,88.9,1,2,50.0,0,0.0,0.0,0,0,0,0,3,27,26,1,0,0,0,0,1,0,0,0,0,21,0,0,3,0,1,2,0,1,4,25.0,3,5,0,5,4,7,1,0,46,5,15,24,8,1,46,1,1,100.0,0,0.0,25,106,52,1,1,0,3,0,19,1,0,0,0,2,0,0,0,4,0,0,0,0,5,1,1,50.0
Joel Ward,0,0,0,0,0,0,0,0,51,2,2,0,0.0,0.0,0.0,0,0,32,42,76.2,0,23,0,0,0,32,42,76.2,485,227,17,19,89.5,12,13,92.3,2,6,33.3,0,0.0,0.0,0,1,0,0,0,42,32,9,0,0,0,0,9,0,0,0,0,32,1,2,2,2,1,1,0,1,2,50.0,1,0,0,0,2,4,1,0,51,3,16,23,12,0,51,0,0,,0,,23,48,14,0,0,0,1,0,28,2,0,0,0,1,1,0,0,2,2,0,0,0,2,2,3,40.0
Jordan Ayew,0,0,0,0,0,0,0,0,45,0,0,2,0.0,0.0,0.0,0,0,25,30,83.3,1,37,0,4,1,25,30,83.3,394,69,14,16,87.5,7,9,77.8,2,2,100.0,0,0.0,0.2,0,1,1,1,1,30,30,0,0,1,1,1,0,0,0,0,0,25,0,0,0,0,0,0,0,0,1,0.0,1,2,0,2,0,0,1,0,45,0,9,21,15,1,45,4,1,25.0,3,75.0,37,200,39,0,1,0,4,4,35,5,0,0,0,2,5,0,1,0,0,0,0,0,6,0,1,0.0
Luka Milivojević,0,0,0,0,1,0,1,0,53,7,4,0,0.0,0.0,0.0,3,0,35,41,85.4,5,29,0,0,0,35,41,85.4,662,232,13,15,86.7,16,18,88.9,4,5,80.0,0,0.0,0.0,1,5,0,0,5,41,36,5,5,0,1,1,0,0,0,0,0,35,0,1,7,4,1,6,0,6,6,100.0,0,0,0,0,4,11,1,0,53,4,16,33,5,0,53,0,0,,0,,29,163,82,0,1,0,0,0,23,0,1,0,0,3,0,0,1,4,4,0,0,0,8,0,0,
