player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
13 Players,2,2,0,0,14,7,2,0,524,24,12,4,1.3,1.3,1.0,26,4,306,420,72.9,28,228,8,8,4,306,420,72.9,6167,2575,122,156,78.2,121,141,85.8,54,96,56.3,2,1.0,0.4,8,23,6,3,28,420,375,45,7,0,2,17,24,3,1,0,1,306,0,7,24,11,3,17,4,6,16,37.5,10,4,1,3,12,36,20,0,524,62,150,273,108,14,524,8,4,50.0,4,50.0,228,1166,537,8,11,2,11,11,300,27,2,0,0,10,9,0,17,12,11,0,0,0,44,22,28,44.0
Callum Wilson,1,1,0,0,2,1,0,0,32,0,0,0,0.5,0.5,0.1,5,2,15,22,68.2,1,18,1,1,1,15,22,68.2,159,55,9,12,75.0,2,3,66.7,1,1,100.0,1,0.1,0.0,1,1,0,0,1,22,22,0,0,0,0,1,0,0,0,0,0,15,0,1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,32,1,1,14,17,5,32,1,1,100.0,0,0.0,18,79,39,1,0,1,4,3,27,11,0,0,0,1,1,0,1,0,0,0,0,0,1,3,7,30.0
Ciaran Clark,0,0,0,0,0,0,0,0,60,1,3,0,0.0,0.0,0.0,0,0,38,50,76.0,1,26,1,0,0,38,50,76.0,864,280,8,11,72.7,23,27,85.2,7,10,70.0,0,0.0,0.0,0,2,0,0,1,50,50,0,0,0,0,0,0,0,0,0,0,38,0,0,1,0,1,0,0,0,1,0.0,1,0,0,0,3,4,6,0,60,5,31,30,0,0,60,0,0,,0,,26,116,63,1,0,0,0,0,32,0,0,0,0,1,0,0,0,3,0,0,0,0,7,7,5,58.3
Fabian Schär,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Federico Fernández,0,0,0,0,0,0,1,0,57,0,1,2,0.0,0.0,0.0,1,0,35,45,77.8,3,19,0,0,0,35,45,77.8,746,272,12,13,92.3,16,17,94.1,7,14,50.0,0,0.0,0.0,0,2,0,0,3,45,44,1,1,0,0,0,0,0,0,0,0,35,0,1,0,0,0,0,0,0,0,,0,2,1,1,1,1,6,0,57,10,29,27,1,0,57,0,0,,0,,19,67,17,0,0,0,1,0,29,0,1,0,0,1,1,0,0,1,0,0,0,0,5,6,0,100.0
Jamal Lewis,0,0,0,0,1,1,0,0,44,3,2,0,0.0,0.0,0.1,2,0,30,37,81.1,1,19,0,0,0,30,37,81.1,440,153,17,18,94.4,11,13,84.6,1,5,20.0,0,0.1,0.1,2,1,1,1,1,37,28,9,0,0,0,3,9,0,0,0,0,30,0,0,3,1,1,2,0,1,1,100.0,0,0,0,0,2,5,2,0,44,3,12,22,12,0,44,0,0,,0,,19,64,40,0,0,0,0,0,21,2,0,0,0,0,0,0,3,2,1,0,0,0,5,0,1,0.0
Javier Manquillo,0,0,0,0,0,0,0,0,61,6,1,0,0.0,0.0,0.0,1,0,33,48,68.8,0,22,0,2,0,33,48,68.8,511,268,18,20,90.0,13,18,72.2,2,7,28.6,0,0.0,0.1,1,0,1,1,0,48,34,14,0,0,0,5,14,0,0,0,0,33,0,1,6,2,0,6,0,3,3,100.0,0,0,0,0,1,7,0,0,61,1,10,35,17,0,61,2,0,0.0,2,100.0,22,130,52,0,2,0,2,0,30,4,0,0,0,2,0,0,5,1,2,0,0,0,4,0,0,
Jeff Hendrick,0,0,0,0,0,0,0,0,28,1,0,1,0.0,0.0,0.0,1,0,18,25,72.0,4,10,0,0,0,18,25,72.0,318,100,7,13,53.8,10,10,100.0,1,2,50.0,0,0.0,0.0,0,5,0,0,4,25,25,0,0,0,0,1,0,0,0,0,0,18,0,0,1,0,0,1,0,0,4,0.0,4,1,0,1,0,1,0,0,28,1,6,19,3,0,28,0,0,,0,,10,25,8,0,0,0,0,3,20,1,0,0,0,0,0,0,1,0,0,0,0,0,3,0,3,0.0
Joelinton,1,1,0,0,7,3,0,0,53,4,2,0,0.6,0.6,0.4,4,2,22,35,62.9,2,29,1,4,2,22,35,62.9,315,49,13,21,61.9,6,7,85.7,2,2,100.0,1,0.4,0.1,1,0,2,0,2,35,35,0,0,0,0,1,0,0,0,0,0,22,0,1,4,3,0,2,2,1,2,50.0,1,0,0,0,2,6,1,0,53,0,1,28,25,7,53,4,2,50.0,2,50.0,29,144,49,1,3,1,3,3,44,7,0,0,0,2,4,0,1,2,3,0,0,0,5,5,9,35.7
Jonjo Shelvey,0,0,0,0,2,1,0,0,58,4,0,0,0.1,0.1,0.1,6,0,35,50,70.0,2,29,1,1,1,35,50,70.0,814,146,10,14,71.4,13,18,72.2,10,15,66.7,0,0.1,0.0,2,4,0,0,2,50,45,5,2,0,1,1,0,2,0,0,1,35,0,0,4,2,0,3,1,0,0,,0,0,0,0,0,4,2,0,58,2,9,39,12,0,58,1,1,100.0,0,0.0,29,164,57,1,1,0,0,0,33,0,0,0,0,0,0,0,1,0,2,0,0,0,6,1,1,50.0
Karl Darlow,0,0,0,0,0,0,0,0,37,0,0,0,0.0,0.0,0.0,0,0,20,34,58.8,0,16,0,0,0,20,34,58.8,884,808,0,0,,8,8,100.0,12,26,46.2,0,0.0,0.0,0,1,0,0,0,34,22,12,2,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,37,33,37,0,0,0,37,0,0,,0,,16,132,53,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Matt Ritchie,0,0,0,0,1,1,0,0,13,0,0,0,0.0,0.0,0.2,3,0,7,10,70.0,1,6,2,0,0,7,10,70.0,113,69,3,4,75.0,1,2,50.0,2,3,66.7,0,0.2,0.1,1,0,1,1,1,10,7,3,2,0,0,4,0,1,1,0,0,7,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,13,1,3,3,7,0,13,0,0,,0,,6,67,47,2,2,0,0,1,7,0,0,0,0,1,1,0,4,0,0,0,0,0,1,0,0,
Miguel Almirón,0,0,0,0,0,0,0,0,31,2,0,1,0.0,0.0,0.0,1,0,17,25,68.0,3,18,1,0,0,17,25,68.0,327,112,6,10,60.0,8,8,100.0,3,5,60.0,0,0.0,0.0,0,3,1,0,3,25,25,0,0,0,0,1,0,0,0,0,0,17,0,1,2,2,0,2,0,0,1,0.0,1,1,0,1,0,2,1,0,31,2,5,16,10,2,31,0,0,,0,,18,90,49,1,2,0,0,1,19,2,0,0,0,0,0,0,1,0,2,0,0,0,2,0,1,0.0
Sean Longstaff,0,0,0,0,1,0,1,0,50,3,3,0,0.0,0.0,0.0,2,0,36,39,92.3,10,16,1,0,0,36,39,92.3,676,263,19,20,95.0,10,10,100.0,6,6,100.0,0,0.0,0.0,0,4,0,0,10,39,38,1,0,0,1,0,1,0,0,0,0,36,0,2,3,1,1,1,1,1,3,33.3,2,0,0,0,3,6,1,0,50,3,6,40,4,0,50,0,0,,0,,16,88,63,1,1,0,1,0,25,0,1,0,0,2,2,0,0,3,1,0,0,0,5,0,1,0.0
