player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
14 Players,2,2,0,0,6,3,0,0,693,17,14,15,0.7,0.7,0.7,12,4,452,581,77.8,62,332,20,15,9,452,581,77.8,7452,2914,218,245,89.0,176,225,78.2,38,67,56.7,2,0.7,0.7,6,41,14,1,62,581,538,43,10,0,0,18,22,3,3,0,0,452,0,13,17,8,10,5,2,6,16,37.5,10,15,4,11,14,31,10,2,693,42,215,329,159,18,693,15,9,60.0,6,40.0,332,2229,1161,20,14,1,14,12,452,62,0,0,0,9,8,0,18,14,8,0,0,0,68,31,14,68.9
Andros Townsend,0,0,0,0,0,0,0,0,49,1,4,0,0.0,0.0,0.0,0,0,22,32,68.8,2,27,2,1,0,22,32,68.8,278,134,11,12,91.7,5,9,55.6,2,6,33.3,0,0.0,0.0,0,4,1,0,2,32,31,1,0,0,0,3,0,1,1,0,0,22,0,1,1,0,1,0,0,0,0,,0,0,0,0,4,5,1,0,49,1,11,25,14,0,49,1,0,0.0,1,100.0,27,207,78,2,1,0,3,4,34,4,0,0,0,0,0,0,3,4,0,0,0,0,6,0,1,0.0
Cheikhou Kouyaté,0,0,0,0,0,0,0,0,59,4,1,0,0.0,0.0,0.0,0,0,39,51,76.5,1,27,3,0,0,39,51,76.5,705,288,16,20,80.0,16,19,84.2,5,9,55.6,0,0.0,0.0,0,1,0,0,1,51,51,0,0,0,0,0,0,0,0,0,0,39,0,1,4,3,1,2,1,0,3,0.0,3,0,0,0,1,5,0,1,59,2,30,25,4,1,59,0,0,,0,,27,208,143,3,0,0,0,0,32,1,0,0,0,1,1,0,0,1,3,0,0,0,10,5,1,83.3
Christian Benteke,0,1,0,0,0,0,0,0,28,0,1,1,0.0,0.0,0.1,1,1,16,25,64.0,0,10,1,0,0,16,25,64.0,155,16,12,15,80.0,2,7,28.6,0,0,,1,0.1,0.1,1,2,0,0,0,25,23,2,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,,0,1,0,1,1,1,0,0,28,0,3,16,9,2,28,0,0,,0,,10,65,35,1,0,0,0,1,22,6,0,0,0,1,0,0,0,1,0,0,0,0,2,8,3,72.7
Eberechi Eze,0,0,0,0,0,0,0,0,70,1,0,4,0.0,0.0,0.4,2,0,39,58,67.2,7,47,3,4,1,39,58,67.2,598,184,23,26,88.5,13,22,59.1,2,6,33.3,0,0.4,0.1,1,3,5,1,7,58,53,5,2,0,0,6,1,2,2,0,0,39,0,1,1,1,1,0,0,1,1,100.0,0,4,1,3,0,1,0,0,70,0,13,33,27,0,70,4,1,25.0,3,75.0,47,300,154,3,2,0,3,0,48,10,0,0,0,0,3,0,6,0,1,0,0,0,9,0,2,0.0
Gary Cahill,0,0,0,0,0,0,0,0,69,0,0,3,0.0,0.0,0.0,1,0,48,60,80.0,5,27,0,0,0,48,60,80.0,950,377,16,18,88.9,28,37,75.7,4,5,80.0,0,0.0,0.0,0,4,0,0,5,60,59,1,0,0,0,0,1,0,0,0,0,48,0,0,0,0,0,0,0,0,0,,0,3,3,0,0,0,4,0,69,5,39,29,2,1,69,0,0,,0,,27,175,113,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,1,91.7
James McArthur,0,0,0,0,1,0,0,0,86,4,1,5,0.0,0.0,0.0,2,1,59,70,84.3,6,32,2,1,1,59,70,84.3,1081,311,26,29,89.7,27,33,81.8,5,5,100.0,0,0.0,0.0,1,4,0,0,6,70,65,5,2,0,0,3,1,0,0,0,0,59,0,1,4,0,2,2,0,2,4,50.0,2,5,0,5,1,5,2,0,86,3,22,49,17,2,86,1,1,100.0,0,0.0,32,256,132,2,2,0,0,0,57,6,0,0,0,3,0,0,3,1,0,0,0,0,7,0,1,0.0
Jaïro Riedewald,0,0,0,0,0,0,0,0,24,0,1,0,0.0,0.0,0.0,1,0,21,22,95.5,7,13,3,1,1,21,22,95.5,389,117,6,6,100.0,11,11,100.0,3,3,100.0,0,0.0,0.0,0,2,2,0,7,22,22,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,24,1,3,18,3,0,24,1,1,100.0,0,0.0,13,117,71,3,1,1,1,0,18,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,100.0
Joel Ward,0,0,0,0,0,0,0,0,63,1,2,1,0.0,0.0,0.0,0,0,40,55,72.7,8,22,1,1,1,40,55,72.7,629,335,21,24,87.5,13,16,81.3,5,7,71.4,0,0.0,0.0,0,5,1,0,8,55,44,11,1,0,0,3,10,0,0,0,0,40,0,2,1,0,1,0,0,1,2,50.0,1,1,0,1,2,3,1,1,63,1,20,25,18,3,63,1,1,100.0,0,0.0,22,84,36,1,0,0,0,0,32,4,0,0,0,1,0,0,3,2,0,0,0,0,6,1,1,50.0
Jordan Ayew,0,1,0,0,0,0,0,0,19,0,1,0,0.0,0.0,0.2,3,1,16,17,94.1,2,11,0,1,1,16,17,94.1,240,52,7,8,87.5,6,6,100.0,1,1,100.0,1,0.2,0.1,3,1,1,0,2,17,17,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0,19,0,2,5,12,1,19,1,1,100.0,0,0.0,11,88,56,0,2,0,0,0,16,5,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,
