player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
14 Players,0,0,0,0,6,4,2,0,698,25,6,11,0.4,0.4,0.4,10,0,517,603,85.7,36,455,30,24,13,517,603,85.7,7890,2406,264,286,92.3,195,219,89.0,30,53,56.6,0,0.4,0.8,6,27,5,4,36,603,563,39,8,0,3,25,14,6,5,0,0,517,1,3,25,15,14,8,3,7,18,38.9,11,11,3,8,6,31,12,0,698,43,201,364,136,14,698,24,13,54.2,11,45.8,455,2700,1666,30,20,1,17,3,516,36,2,0,0,10,6,1,25,6,15,0,0,0,57,8,8,50.0
Adama Traoré,0,0,0,0,0,0,0,0,19,1,0,0,0.0,0.0,0.0,0,0,8,14,57.1,1,16,5,5,3,8,14,57.1,113,21,3,5,60.0,3,3,100.0,1,4,25.0,0,0.0,0.0,0,1,0,0,1,14,14,0,0,0,0,4,0,0,0,0,0,8,0,1,1,0,0,0,1,0,0,,0,0,0,0,0,1,0,0,19,1,2,4,14,1,19,5,3,60.0,2,40.0,16,190,113,5,2,1,0,1,14,6,0,0,0,1,1,0,4,0,0,0,0,0,4,0,0,
Conor Coady,0,0,0,0,0,0,1,0,63,2,0,0,0.0,0.0,0.0,0,0,55,60,91.7,2,41,0,0,0,55,60,91.7,1067,439,17,17,100.0,33,34,97.1,5,8,62.5,0,0.0,0.0,0,0,0,0,2,60,57,3,3,0,1,0,0,0,0,0,0,55,0,0,2,2,2,0,0,1,1,100.0,0,0,0,0,0,2,2,0,63,10,36,27,0,0,63,0,0,,0,,41,199,81,0,0,0,0,0,50,0,1,0,0,0,1,0,0,0,2,0,0,0,4,1,0,100.0
Daniel Podence,0,0,0,0,0,0,0,0,30,2,0,0,0.0,0.0,0.1,1,0,16,24,66.7,4,25,2,2,1,16,24,66.7,222,97,10,12,83.3,6,7,85.7,0,1,0.0,0,0.1,0.1,1,1,1,1,4,24,23,1,0,0,0,3,1,0,0,0,0,16,0,0,2,1,2,0,0,1,1,100.0,0,0,0,0,0,2,0,0,30,0,4,15,11,0,30,2,1,50.0,1,50.0,25,162,108,2,3,0,0,1,25,2,0,0,0,0,0,0,3,0,1,0,0,0,2,0,0,
Fábio Silva,0,0,0,0,0,0,0,0,6,0,0,1,0.0,0.0,0.0,0,0,1,2,50.0,0,4,0,0,0,1,2,50.0,27,21,0,1,0.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,6,1,2,2,2,1,6,0,0,,0,,4,8,7,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0.0
João Moutinho,0,0,0,0,0,0,0,0,80,3,1,0,0.0,0.0,0.0,0,0,72,77,93.5,7,53,1,0,0,72,77,93.5,1076,253,35,36,97.2,28,29,96.6,4,7,57.1,0,0.0,0.0,0,5,0,0,7,77,75,2,0,0,0,1,0,2,1,0,0,72,0,0,3,3,0,3,0,2,6,33.3,4,0,0,0,1,4,0,0,80,0,14,54,12,0,80,0,0,,0,,53,224,126,1,2,0,0,0,67,0,0,0,0,1,0,0,1,1,3,0,0,0,6,0,0,
Ki-Jana Hoever,0,0,0,0,0,0,0,0,47,0,2,0,0.0,0.0,0.0,0,0,30,41,73.2,1,26,2,1,0,30,41,73.2,374,96,18,21,85.7,9,13,69.2,0,1,0.0,0,0.0,0.0,0,1,1,0,1,41,37,4,0,0,0,1,4,0,0,0,0,30,0,1,0,0,0,0,0,0,2,0.0,2,0,0,0,2,2,1,0,47,2,9,26,12,0,47,1,0,0.0,1,100.0,26,156,113,2,1,0,4,0,32,3,0,0,0,0,0,0,1,2,0,0,0,0,6,0,0,
Leander Dendoncker,0,0,0,0,1,0,0,0,79,2,1,3,0.1,0.1,0.0,2,0,61,67,91.0,10,46,2,1,1,61,67,91.0,1012,222,27,31,87.1,26,27,96.3,5,5,100.0,0,0.0,0.0,1,8,0,0,10,67,67,0,0,0,1,0,0,0,0,0,0,61,0,0,2,1,1,1,0,1,1,100.0,0,3,2,1,1,3,0,0,79,0,18,51,10,3,79,1,1,100.0,0,0.0,46,284,166,2,2,0,2,0,56,1,0,0,0,1,1,0,0,1,1,0,0,0,6,2,2,50.0
Max Kilman,0,0,0,0,0,0,1,0,97,6,1,2,0.0,0.0,0.1,2,0,82,88,93.2,4,73,2,0,0,82,88,93.2,1198,444,42,43,97.7,37,39,94.9,0,2,0.0,0,0.1,0.2,1,6,0,0,4,88,86,1,1,0,0,0,0,0,0,0,0,82,1,0,6,3,2,2,2,0,1,0.0,1,2,0,2,1,7,1,0,97,4,36,57,4,2,97,0,0,,0,,73,478,390,2,0,0,0,0,79,0,1,0,0,4,1,0,0,1,3,0,0,0,5,1,2,33.3
Nélson Semedo,0,0,0,0,1,1,0,0,80,4,0,1,0.0,0.0,0.0,0,0,55,68,80.9,1,50,4,3,3,55,68,80.9,702,141,39,44,88.6,13,17,76.5,1,3,33.3,0,0.0,0.0,0,1,1,1,1,68,61,7,0,0,0,4,7,0,0,0,0,55,0,0,4,1,3,1,0,1,4,25.0,3,1,0,1,0,4,2,0,80,2,19,40,21,1,80,3,3,100.0,0,0.0,50,255,167,4,1,0,3,0,56,10,0,0,0,2,1,1,4,0,1,0,0,0,5,0,0,
Pedro Neto,0,0,0,0,1,1,0,0,66,1,1,2,0.0,0.0,0.2,4,0,39,52,75.0,2,36,7,11,5,39,52,75.0,565,176,25,26,96.2,7,12,58.3,5,8,62.5,0,0.2,0.3,3,0,2,2,2,52,45,7,1,0,0,12,1,4,4,0,0,39,0,1,1,0,0,1,0,0,0,,0,2,0,2,1,2,1,0,66,1,9,28,30,0,66,11,5,45.5,6,54.5,36,346,229,7,6,0,1,0,43,8,0,0,0,0,0,0,12,1,0,0,0,0,8,2,1,66.7
Rui Patrício,0,0,0,0,0,0,0,0,16,0,0,0,0.0,0.0,0.0,0,0,12,16,75.0,0,6,0,0,0,12,16,75.0,196,111,5,5,100.0,5,5,100.0,1,5,20.0,0,0.0,0.0,0,0,0,0,0,16,6,10,1,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,16,15,16,0,0,0,16,0,0,,0,,6,37,18,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Vitinha,0,0,0,0,0,0,0,0,16,0,0,0,0.0,0.0,0.0,0,0,15,16,93.8,1,11,1,0,0,15,16,93.8,220,13,9,10,90.0,2,2,100.0,2,2,100.0,0,0.0,0.0,0,1,0,0,1,16,15,1,1,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,16,1,1,11,4,0,16,0,0,,0,,11,55,22,1,1,0,0,0,13,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,
Willian José,0,0,0,0,3,2,0,0,39,0,0,0,0.3,0.3,0.0,1,0,23,28,82.1,1,22,3,1,0,23,28,82.1,334,41,14,15,93.3,4,8,50.0,3,3,100.0,0,0.0,0.1,0,0,0,0,1,28,26,2,0,0,0,0,1,0,0,0,0,23,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,39,1,6,17,16,6,39,1,0,0.0,1,100.0,22,86,42,3,2,0,5,0,28,5,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,100.0
Willy Boly,0,0,0,0,0,0,0,0,60,4,0,2,0.0,0.0,0.0,0,0,48,50,96.0,2,46,1,0,0,48,50,96.0,784,331,20,20,100.0,21,22,95.5,3,4,75.0,0,0.0,0.0,0,3,0,0,2,50,49,1,1,0,1,0,0,0,0,0,0,48,0,0,4,4,4,0,0,1,1,100.0,0,2,1,1,0,4,3,0,60,5,29,32,0,0,60,0,0,,0,,46,220,84,1,0,0,0,1,47,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,1,0.0
