player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
14 Players,1,1,0,0,23,6,2,0,720,19,4,4,3.2,3.2,2.9,37,2,496,603,82.3,61,414,24,15,6,496,603,82.3,8571,2974,199,225,88.4,208,229,90.8,52,77,67.5,1,2.9,1.4,18,35,12,4,61,603,552,45,10,0,8,16,24,2,0,2,0,496,6,10,19,8,7,10,2,7,20,35.0,13,4,1,3,4,23,12,1,720,64,183,331,209,36,720,15,6,40.0,9,60.0,414,2256,1331,24,21,4,21,10,490,61,2,0,0,14,8,6,16,4,8,0,0,0,50,13,16,44.8
Ezgjan Alioski,0,0,0,0,0,0,0,0,69,4,0,1,0.0,0.0,0.0,3,0,46,58,79.3,4,44,2,1,0,46,58,79.3,659,195,23,26,88.5,16,17,94.1,2,4,50.0,0,0.0,0.1,1,2,1,1,4,58,56,2,0,0,0,2,2,0,0,0,0,46,0,2,4,1,1,2,1,1,2,50.0,1,1,0,1,0,4,1,0,69,2,9,34,26,3,69,1,0,0.0,1,100.0,44,185,97,2,1,0,1,2,46,7,0,0,0,1,1,2,2,0,1,0,0,0,6,1,1,50.0
Hélder Costa,0,0,0,0,1,1,0,0,6,1,0,0,0.6,0.6,0.0,0,0,2,2,100.0,1,2,0,0,0,2,2,100.0,21,18,1,1,100.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,1,2,1,1,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,1,1,1,100.0,0,0,0,0,0,1,0,0,6,0,0,0,6,3,6,0,0,,0,,2,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ian Poveda,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.5,1,0,2,3,66.7,0,3,1,2,1,2,3,66.7,27,0,2,3,66.7,0,0,,0,0,,0,0.5,0.3,1,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,4,0,0,0,4,1,4,2,1,50.0,1,50.0,3,46,28,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Illan Meslier,0,0,0,0,0,0,0,0,40,0,0,0,0.0,0.0,0.0,0,0,33,37,89.2,0,23,0,0,0,33,37,89.2,672,435,11,12,91.7,15,15,100.0,6,9,66.7,0,0.0,0.0,0,0,0,0,0,37,26,11,3,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,40,38,40,0,0,0,40,0,0,,0,,23,180,136,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jack Harrison,0,1,0,0,4,1,0,0,59,0,1,0,0.9,0.9,0.1,6,1,31,48,64.6,7,34,0,1,1,31,48,64.6,401,128,19,22,86.4,8,12,66.7,1,3,33.3,1,0.1,0.1,2,5,3,0,7,48,45,2,1,0,0,3,1,0,0,0,0,31,1,3,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0,59,2,4,21,34,6,59,1,1,100.0,0,0.0,34,107,46,0,3,0,5,4,49,15,0,0,0,0,1,1,3,1,0,0,0,0,4,3,0,100.0
Kalvin Phillips,0,0,0,0,2,1,0,0,93,2,2,1,0.1,0.1,0.0,3,0,78,84,92.9,15,54,0,2,1,78,84,92.9,1815,451,18,20,90.0,34,35,97.1,20,23,87.0,0,0.0,0.1,1,13,2,0,15,84,84,0,0,0,5,0,0,0,0,0,0,78,0,0,2,2,1,1,0,2,4,50.0,2,1,0,1,2,4,0,0,93,0,17,60,16,1,93,2,1,50.0,1,50.0,54,278,134,0,1,0,1,2,67,1,0,0,0,2,1,0,0,2,2,0,0,0,11,1,0,100.0
Liam Cooper,0,0,0,0,0,0,1,0,57,2,0,0,0.0,0.0,0.0,0,0,44,49,89.8,3,39,0,0,0,44,49,89.8,906,346,10,11,90.9,30,31,96.8,4,4,100.0,0,0.0,0.0,0,1,0,0,3,49,46,1,1,0,0,0,0,0,0,0,0,44,2,0,2,2,0,2,0,1,2,50.0,1,0,0,0,0,2,3,0,57,3,26,30,1,1,57,0,0,,0,,39,214,107,0,0,0,1,0,40,0,1,0,0,1,1,0,0,0,2,0,0,0,3,2,6,25.0
Luke Ayling,0,0,0,0,1,0,1,0,97,1,0,0,0.0,0.0,0.2,4,0,67,85,78.8,11,53,5,2,1,67,85,78.8,1052,482,37,43,86.0,25,26,96.2,4,11,36.4,0,0.2,0.2,3,3,2,2,11,85,73,12,1,0,1,3,11,0,0,0,0,67,0,3,1,0,0,1,0,0,1,0.0,1,0,0,0,0,1,3,0,97,5,26,40,31,6,97,2,1,50.0,1,50.0,53,272,168,5,2,0,2,0,61,6,1,0,0,1,1,0,3,0,0,0,0,0,4,2,1,66.7
Mateusz Klich,0,0,0,0,4,0,0,0,89,3,0,1,0.2,0.2,0.5,10,1,55,73,75.3,9,42,4,2,1,55,73,75.3,859,282,21,25,84.0,21,26,80.8,5,7,71.4,0,0.5,0.1,2,6,1,0,9,73,67,4,2,0,1,3,0,2,0,2,0,55,2,2,3,1,3,0,0,1,3,33.3,2,1,1,0,0,3,0,0,89,2,11,46,33,3,89,2,1,50.0,1,50.0,42,240,121,4,4,0,0,1,60,13,0,0,0,4,1,0,3,0,1,0,0,0,9,0,0,
