player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
13 Players,3,2,0,0,16,7,1,0,884,11,4,6,1.0,1.0,0.8,25,6,707,804,87.9,71,645,40,24,15,707,804,87.9,11077,3170,381,408,93.4,258,289,89.3,48,72,66.7,2,0.8,1.1,12,45,10,0,71,804,762,42,8,4,3,23,20,10,5,3,0,707,0,10,11,6,4,6,1,6,11,54.5,5,6,0,6,4,15,6,0,884,39,147,482,262,40,884,24,15,62.5,9,37.5,645,3568,2192,40,42,19,14,9,696,69,1,0,0,8,8,0,23,4,6,0,0,0,58,14,15,48.3
Aymeric Laporte,0,0,0,0,0,0,0,0,103,1,1,0,0.0,0.0,0.0,0,0,85,95,89.5,8,80,0,0,0,85,95,89.5,1358,490,42,45,93.3,41,43,95.3,2,7,28.6,0,0.0,0.0,0,8,0,0,8,95,94,1,0,0,0,0,1,0,0,0,0,85,0,0,1,1,0,1,0,0,0,,0,0,0,0,1,2,4,0,103,12,33,71,0,0,103,0,0,,0,,80,440,291,0,0,0,0,0,82,0,0,0,0,0,0,0,0,1,1,0,0,0,6,2,0,100.0
Bernardo Silva,1,1,0,0,3,3,0,0,72,0,1,0,0.1,0.1,0.1,3,1,61,65,93.8,5,57,6,2,2,61,65,93.8,1025,120,32,33,97.0,21,23,91.3,7,7,100.0,1,0.1,0.1,2,1,0,0,5,65,64,1,0,0,0,2,1,0,0,0,0,61,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,72,0,1,35,36,5,72,2,2,100.0,0,0.0,57,340,207,6,5,3,0,3,63,5,0,0,0,0,0,0,2,1,0,0,0,0,5,0,0,
Ederson,0,0,0,0,0,0,0,0,29,0,0,0,0.0,0.0,0.0,0,0,25,29,86.2,0,24,0,0,0,25,29,86.2,534,337,5,5,100.0,16,17,94.1,4,7,57.1,0,0.0,0.0,0,0,0,0,0,29,27,2,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,29,21,29,0,0,0,29,0,0,,0,,24,114,81,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,
Fernandinho,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,2,2,100.0,0,3,0,0,0,2,2,100.0,31,2,0,0,,2,2,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,3,0,1,1,1,0,3,0,0,,0,,3,5,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Gabriel Jesus,0,1,0,0,4,0,0,0,61,0,0,2,0.4,0.4,0.0,4,1,37,45,82.2,3,42,4,4,4,37,45,82.2,419,55,24,28,85.7,11,12,91.7,0,1,0.0,1,0.0,0.1,1,3,0,0,3,45,43,2,0,1,0,0,0,0,0,0,0,37,0,1,0,0,0,0,0,0,0,,0,2,0,2,0,0,0,0,61,0,2,27,33,9,61,4,4,100.0,0,0.0,42,237,104,4,2,3,6,0,50,16,0,0,0,0,3,0,0,0,0,0,0,0,2,1,2,33.3
João Cancelo,0,0,0,0,2,1,0,0,113,2,1,0,0.1,0.1,0.1,3,1,90,101,89.1,11,74,2,6,3,90,101,89.1,1360,329,53,58,91.4,28,31,90.3,6,8,75.0,0,0.1,0.3,1,5,3,0,11,101,91,10,4,0,0,1,6,0,0,0,0,90,0,1,2,1,1,1,0,2,4,50.0,2,0,0,0,1,3,0,0,113,0,16,63,36,0,113,6,3,50.0,3,50.0,74,443,250,2,8,0,1,2,77,4,0,0,0,0,0,0,1,1,1,0,0,0,10,1,4,20.0
Kevin De Bruyne,0,0,0,0,0,0,0,0,23,0,0,1,0.0,0.0,0.1,0,0,19,21,90.5,4,15,1,0,0,19,21,90.5,307,64,10,10,100.0,7,8,87.5,2,2,100.0,0,0.1,0.0,1,1,2,0,4,21,20,1,0,0,0,0,1,0,0,0,0,19,0,1,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,23,0,3,16,4,0,23,0,0,,0,,15,70,50,1,2,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Kyle Walker,0,0,0,0,0,0,0,0,107,2,0,0,0.0,0.0,0.2,3,1,90,102,88.2,8,73,3,1,1,90,102,88.2,1399,459,47,49,95.9,35,39,89.7,5,8,62.5,0,0.2,0.1,1,7,1,0,8,102,90,12,2,0,0,2,10,0,0,0,0,90,0,2,2,0,1,1,0,2,2,100.0,0,0,0,0,0,2,0,0,107,0,21,63,24,1,107,1,1,100.0,0,0.0,73,327,173,3,4,0,1,1,79,3,0,0,0,2,1,0,2,0,0,0,0,0,4,2,3,40.0
Phil Foden,1,0,0,0,3,2,0,0,70,1,0,0,0.2,0.2,0.1,2,0,50,60,83.3,3,45,1,3,0,50,60,83.3,661,132,33,35,94.3,9,11,81.8,4,9,44.4,0,0.1,0.1,1,4,0,0,3,60,52,8,0,0,0,8,0,8,4,3,0,50,0,1,1,1,1,0,0,0,2,0.0,2,0,0,0,0,1,0,0,70,1,5,31,34,7,70,3,0,0.0,3,100.0,45,174,61,1,1,1,2,1,53,12,0,0,0,2,1,0,8,0,1,0,0,0,5,0,0,
