player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
14 Players,0,0,0,0,10,2,2,1,511,20,18,13,0.7,0.7,0.5,13,0,264,369,71.5,32,214,12,15,10,264,369,71.5,5124,2252,102,130,78.5,118,140,84.3,37,69,53.6,0,0.5,0.4,5,15,7,1,32,369,320,48,12,0,3,11,25,1,0,0,1,264,1,9,20,10,11,5,4,12,19,63.2,7,13,8,5,18,38,34,0,511,73,188,209,121,18,511,15,10,66.7,5,33.3,214,1347,589,12,14,3,23,12,263,32,2,1,0,11,10,1,11,18,10,0,0,0,54,22,14,61.1
Aboubakar Kamara,0,0,0,0,1,1,0,0,9,0,0,1,0.0,0.0,0.0,0,0,2,4,50.0,0,3,0,1,0,2,4,50.0,13,0,1,1,100.0,0,1,0.0,0,0,,0,0.0,0.0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,9,0,0,3,6,0,9,1,0,0.0,1,100.0,3,12,1,0,0,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,75.0
Ademola Lookman,0,0,0,0,2,0,1,0,41,3,1,0,0.1,0.1,0.0,3,0,21,26,80.8,2,23,1,1,0,21,26,80.8,301,102,10,12,83.3,10,10,100.0,0,0,,0,0.0,0.0,0,0,0,0,2,26,25,1,0,0,0,2,0,0,0,0,0,21,0,2,3,1,2,1,0,1,3,33.3,2,0,0,0,1,4,0,0,41,0,6,17,19,4,41,1,0,0.0,1,100.0,23,172,47,1,1,1,8,2,27,7,1,0,0,4,5,0,2,1,1,0,0,0,6,1,0,100.0
Alphonse Areola,0,0,0,0,0,0,0,0,29,0,0,0,0.0,0.0,0.0,0,0,16,24,66.7,0,10,0,0,0,16,24,66.7,665,590,2,2,100.0,2,2,100.0,12,19,63.2,0,0.0,0.0,0,0,0,0,0,24,12,11,3,0,0,0,0,0,0,0,0,16,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,29,27,29,0,0,0,29,0,0,,0,,10,68,54,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
Andre-Frank Zambo Anguissa,0,0,0,0,0,0,0,0,53,2,3,1,0.0,0.0,0.0,1,0,29,40,72.5,7,24,1,3,2,29,40,72.5,466,105,15,19,78.9,13,15,86.7,1,1,100.0,0,0.0,0.0,0,2,2,0,7,40,40,0,0,0,1,0,0,0,0,0,0,29,0,2,2,1,1,0,1,1,4,25.0,3,1,0,1,3,5,0,0,53,0,13,29,12,1,53,3,2,66.7,1,33.3,24,191,50,1,1,0,4,0,32,5,0,0,0,0,1,0,0,3,1,0,0,0,7,4,1,80.0
Antonee Robinson,0,0,0,0,1,0,0,1,37,1,1,0,0.0,0.0,0.1,2,0,24,32,75.0,1,19,2,1,1,24,32,75.0,404,162,13,14,92.9,8,13,61.5,3,3,100.0,0,0.1,0.0,1,1,1,1,1,32,25,7,0,0,0,2,7,0,0,0,0,24,0,2,1,1,0,0,1,1,1,100.0,0,0,0,0,1,2,1,0,37,2,10,17,10,2,37,1,1,100.0,0,0.0,19,153,78,2,3,1,1,1,21,2,0,1,0,1,0,0,2,1,1,0,0,0,3,0,0,
Bobby Reid,0,0,0,0,0,0,1,0,36,2,1,1,0.0,0.0,0.0,1,0,19,23,82.6,5,16,4,0,0,19,23,82.6,303,99,9,11,81.8,8,8,100.0,1,3,33.3,0,0.0,0.0,1,1,2,0,5,23,22,1,0,0,0,1,0,0,0,0,0,19,0,0,2,0,2,0,0,2,2,100.0,0,1,1,0,1,3,3,0,36,4,15,12,11,1,36,0,0,,0,,16,147,98,4,4,0,2,0,16,5,1,0,0,2,0,0,1,1,0,0,0,0,8,0,2,0.0
Harrison Reed,0,0,0,0,1,1,0,0,48,2,3,2,0.1,0.1,0.0,1,0,25,34,73.5,3,15,0,2,1,25,34,73.5,416,134,10,13,76.9,11,14,78.6,2,5,40.0,0,0.0,0.0,0,2,0,0,3,34,31,3,1,0,0,1,1,1,0,0,1,25,0,0,2,1,1,1,0,2,3,66.7,1,2,2,0,3,5,0,0,48,1,10,29,9,1,48,2,1,50.0,1,50.0,15,68,8,0,0,0,0,0,22,0,0,0,0,1,1,0,1,3,1,0,0,0,6,0,0,
Ivan Cavaleiro,0,0,0,0,3,0,0,0,36,0,0,1,0.4,0.4,0.1,3,0,17,24,70.8,4,20,1,3,2,17,24,70.8,274,32,11,15,73.3,3,5,60.0,2,2,100.0,0,0.1,0.0,2,2,0,0,4,24,24,0,0,0,1,2,0,0,0,0,0,17,0,1,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,36,0,3,16,18,6,36,3,2,66.7,1,33.3,20,95,34,1,1,0,4,2,31,9,0,0,0,0,1,1,2,0,0,0,0,0,1,1,5,16.7
Joachim Andersen,0,0,0,0,0,0,0,0,57,1,3,3,0.0,0.0,0.0,0,0,29,42,69.0,1,24,1,2,2,29,42,69.0,652,176,6,8,75.0,16,19,84.2,6,14,42.9,0,0.0,0.0,0,1,0,0,1,42,39,3,3,0,0,0,0,0,0,0,0,29,0,0,1,1,0,0,1,1,1,100.0,0,3,2,1,3,4,9,0,57,13,29,26,3,0,57,2,2,100.0,0,0.0,24,155,93,1,0,0,0,0,28,0,0,0,0,0,1,0,0,3,1,0,0,0,4,3,0,100.0
Joe Bryan,0,0,0,0,0,0,0,0,16,0,0,0,0.0,0.0,0.0,0,0,9,16,56.3,1,5,0,0,0,9,16,56.3,160,85,4,4,100.0,4,6,66.7,1,3,33.3,0,0.0,0.0,0,0,0,0,1,16,9,7,1,0,0,2,6,0,0,0,0,9,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,16,1,7,2,7,0,16,0,0,,0,,5,7,3,0,0,0,0,1,7,0,0,0,0,1,0,0,2,0,0,0,0,0,2,0,0,
