player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
13 Players,0,0,0,0,10,1,2,0,523,24,15,3,0.7,0.7,0.7,19,0,273,395,69.1,34,219,16,27,12,273,395,69.1,5234,2478,118,146,80.8,97,131,74.0,46,85,54.1,0,0.7,0.5,8,17,5,2,34,395,330,64,16,0,3,24,33,6,2,4,0,273,1,5,24,14,6,13,5,13,22,59.1,9,3,0,3,15,39,25,0,523,52,188,189,157,20,523,27,12,44.4,15,55.6,219,1353,564,16,12,5,24,19,273,34,2,0,0,15,11,1,24,15,14,0,0,0,48,20,16,55.6
Ademola Lookman,0,0,0,0,2,1,0,0,58,1,0,0,0.1,0.1,0.2,7,0,34,47,72.3,9,33,7,4,2,34,47,72.3,542,211,18,20,90.0,11,15,73.3,3,5,60.0,0,0.2,0.2,3,3,0,0,9,47,40,7,2,0,0,5,1,3,2,1,0,34,0,2,1,0,0,1,0,0,1,0.0,1,0,0,0,0,1,0,0,58,0,4,22,35,5,58,4,2,50.0,2,50.0,33,329,155,7,3,3,3,2,42,12,0,0,0,1,4,0,5,0,0,0,0,0,7,0,0,
Aleksandar Mitrović,0,0,0,0,1,0,0,0,5,0,0,0,0.1,0.1,0.0,0,0,2,2,100.0,1,3,0,0,0,2,2,100.0,28,6,1,1,100.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,5,0,0,1,4,2,5,0,0,,0,,3,2,0,0,0,0,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,66.7
Alphonse Areola,0,0,0,0,0,0,0,0,28,0,0,0,0.0,0.0,0.0,0,0,21,26,80.8,0,12,0,0,0,21,26,80.8,628,427,7,7,100.0,6,6,100.0,8,13,61.5,0,0.0,0.0,0,1,1,0,0,26,15,11,3,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,28,23,27,1,0,0,28,0,0,,0,,12,58,34,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
Andre-Frank Zambo Anguissa,0,0,0,0,2,0,1,0,53,10,3,1,0.2,0.2,0.2,4,0,26,35,74.3,6,22,6,7,6,26,35,74.3,355,128,16,21,76.2,8,10,80.0,1,2,50.0,0,0.2,0.1,2,1,0,0,6,35,34,1,0,0,0,1,1,0,0,0,0,26,0,0,10,5,2,6,2,4,5,80.0,1,1,0,1,3,13,0,0,53,1,8,21,26,6,53,7,6,85.7,1,14.3,22,187,114,6,3,1,2,4,23,2,1,0,0,2,1,0,1,3,5,0,0,0,8,5,2,71.4
Antonee Robinson,0,0,0,0,1,0,0,0,60,1,3,0,0.1,0.1,0.3,4,0,32,46,69.6,7,21,2,4,1,32,46,69.6,624,267,14,17,82.4,12,17,70.6,6,12,50.0,0,0.3,0.1,2,1,2,1,7,46,34,12,0,0,0,5,12,0,0,0,0,32,0,0,1,0,0,1,0,1,2,50.0,1,0,0,0,3,4,3,0,60,3,14,22,25,1,60,4,1,25.0,3,75.0,21,115,53,2,3,0,2,1,30,10,0,0,0,1,1,0,5,3,0,0,0,0,2,1,0,100.0
Bobby Reid,0,0,0,0,0,0,1,0,34,0,0,0,0.0,0.0,0.0,0,0,14,27,51.9,0,12,0,3,1,14,27,51.9,160,100,7,12,58.3,4,6,66.7,0,4,0.0,0,0.0,0.0,0,0,0,0,0,27,23,4,0,0,0,2,4,0,0,0,0,14,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,34,2,9,14,11,1,34,3,1,33.3,2,66.7,12,40,18,0,0,0,2,0,15,2,1,0,0,3,0,0,2,0,0,0,0,0,1,2,1,66.7
Harrison Reed,0,0,0,0,1,0,0,0,45,4,3,0,0.0,0.0,0.0,0,0,28,36,77.8,2,12,0,0,0,28,36,77.8,464,154,12,15,80.0,10,12,83.3,3,4,75.0,0,0.0,0.0,0,2,0,0,2,36,33,3,2,0,0,0,1,0,0,0,0,28,0,0,4,3,1,2,1,2,6,33.3,4,0,0,0,3,7,0,0,45,0,14,20,11,0,45,0,0,,0,,12,38,10,0,1,0,2,0,21,0,0,0,0,1,1,0,0,3,3,0,0,0,2,1,0,100.0
Ivan Cavaleiro,0,0,0,0,1,0,0,0,45,2,1,0,0.2,0.2,0.1,1,0,13,28,46.4,1,18,1,6,2,13,28,46.4,193,101,7,9,77.8,6,10,60.0,0,3,0.0,0,0.1,0.0,1,0,1,0,1,28,22,6,2,0,0,6,1,3,0,3,0,13,0,1,2,2,1,1,0,2,2,100.0,0,0,0,0,1,3,0,0,45,1,5,20,20,2,45,6,2,33.3,4,66.7,18,100,12,1,1,1,4,6,30,3,0,0,0,2,1,1,6,1,2,0,0,0,5,5,6,45.5
Joachim Andersen,0,0,0,0,0,0,0,0,51,0,1,0,0.0,0.0,0.0,1,0,23,39,59.0,1,17,0,0,0,23,39,59.0,503,97,6,9,66.7,12,18,66.7,4,10,40.0,0,0.0,0.0,0,1,0,0,1,39,36,2,2,0,1,1,0,0,0,0,0,23,1,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,9,0,51,7,31,18,3,1,51,0,0,,0,,17,124,39,0,0,0,0,0,23,0,0,0,0,0,0,0,1,1,0,0,0,0,3,2,1,66.7
Neeskens Kebano,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,1,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,1,6,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
