player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
14 Players,0,0,0,0,9,2,1,0,529,21,7,10,1.6,1.6,1.5,16,0,293,408,71.8,32,291,11,13,10,293,408,71.8,5567,2335,122,155,78.7,119,141,84.4,42,84,50.0,0,1.5,0.9,6,20,5,0,32,408,359,47,15,2,1,5,19,1,1,0,0,293,2,12,21,10,7,9,5,9,28,32.1,19,10,1,9,7,28,32,0,529,81,222,229,87,12,529,13,10,76.9,3,23.1,291,1347,632,11,10,3,19,8,286,30,1,0,0,9,12,2,5,7,10,0,0,0,53,13,12,52.0
Ben Davies,0,0,0,0,0,0,0,0,40,1,1,0,0.0,0.0,0.0,0,0,19,28,67.9,3,19,0,0,0,19,28,67.9,331,140,8,9,88.9,9,10,90.0,2,7,28.6,0,0.0,0.0,0,2,0,0,3,28,21,7,0,0,0,0,7,0,0,0,0,19,0,1,1,1,1,0,0,1,1,100.0,0,0,0,0,1,2,6,0,40,8,25,13,3,0,40,0,0,,0,,19,58,15,0,0,0,1,0,18,0,0,0,0,0,0,0,0,1,1,0,0,0,2,2,0,100.0
Davinson Sánchez,0,0,0,0,0,0,0,0,57,2,2,0,0.0,0.0,0.0,0,0,37,48,77.1,2,40,0,0,0,37,48,77.1,772,267,12,13,92.3,20,22,90.9,5,12,41.7,0,0.0,0.0,0,2,1,0,2,48,48,0,0,0,1,0,0,0,0,0,0,37,0,1,2,2,2,0,0,2,2,100.0,0,0,0,0,2,4,5,0,57,11,43,14,0,0,57,0,0,,0,,40,172,40,0,0,0,1,0,35,0,0,0,0,0,0,0,0,2,2,0,0,0,6,0,0,
Dele Alli,0,0,0,0,1,0,0,0,36,4,2,1,0.5,0.5,0.1,4,0,18,24,75.0,2,19,0,2,1,18,24,75.0,280,71,9,11,81.8,9,10,90.0,0,1,0.0,0,0.1,0.1,2,2,0,0,2,24,23,1,0,0,0,2,0,0,0,0,0,18,0,2,4,1,1,2,1,1,3,33.3,2,1,0,1,2,6,0,0,36,0,6,22,9,3,36,2,1,50.0,1,50.0,19,60,21,0,0,0,2,1,17,0,0,0,0,2,1,0,2,2,1,0,0,0,7,2,4,33.3
Gareth Bale,0,0,0,0,2,0,1,0,30,2,1,1,0.1,0.1,0.0,1,0,8,17,47.1,1,15,1,3,3,8,17,47.1,112,65,6,10,60.0,1,4,25.0,1,2,50.0,0,0.0,0.0,0,1,0,0,1,17,17,0,0,0,0,1,0,0,0,0,0,8,0,1,2,2,0,0,2,0,1,0.0,1,1,0,1,1,3,2,0,30,1,6,11,13,1,30,3,3,100.0,0,0.0,15,89,34,1,1,1,3,2,13,5,1,0,0,2,0,1,1,1,2,0,0,0,3,0,1,0.0
Harry Kane,0,0,0,0,3,2,0,0,37,2,0,0,0.9,0.9,0.0,3,0,19,29,65.5,8,27,3,1,1,19,29,65.5,416,151,6,11,54.5,7,8,87.5,5,7,71.4,0,0.0,0.0,1,6,1,0,8,29,25,3,2,1,0,0,1,0,0,0,0,19,1,1,2,1,1,1,0,1,1,100.0,0,0,0,0,0,2,0,0,37,0,3,20,16,3,37,1,1,100.0,0,0.0,27,176,128,3,4,0,2,2,32,7,0,0,0,0,2,0,0,0,1,0,0,0,4,2,3,40.0
Hugo Lloris,0,0,0,0,0,0,0,0,39,0,0,0,0.0,0.0,0.0,0,0,25,36,69.4,0,17,0,0,0,25,36,69.4,898,721,2,2,100.0,8,8,100.0,15,26,57.7,0,0.0,0.0,0,2,0,0,0,36,18,18,7,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,39,32,39,0,0,0,39,0,0,,0,,17,81,64,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Lucas Moura,0,0,0,0,1,0,0,0,14,0,0,0,0.1,0.1,0.0,0,0,3,7,42.9,1,6,0,0,0,3,7,42.9,40,28,0,2,0.0,2,2,100.0,0,0,,0,0.0,0.0,0,0,0,0,1,7,7,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,14,0,1,9,4,1,14,0,0,,0,,6,33,3,0,1,0,2,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0
Matt Doherty,0,0,0,0,0,0,0,0,69,2,0,4,0.0,0.0,0.0,1,0,40,54,74.1,3,28,1,0,0,40,54,74.1,614,260,25,30,83.3,11,16,68.8,3,6,50.0,0,0.0,0.0,0,1,0,0,3,54,43,11,0,0,0,1,11,0,0,0,0,40,0,1,2,0,0,2,0,1,4,25.0,3,4,1,3,0,2,5,0,69,8,29,30,12,1,69,0,0,,0,,28,111,68,1,1,0,1,0,28,1,0,0,0,0,1,0,1,0,0,0,0,0,3,5,0,100.0
Moussa Sissoko,0,0,0,0,0,0,0,0,15,0,1,0,0.0,0.0,0.0,1,0,7,10,70.0,0,5,1,0,0,7,10,70.0,70,38,5,7,71.4,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,0,15,4,6,8,2,0,15,0,0,,0,,5,50,43,1,2,0,1,1,6,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,
Pierre Højbjerg,0,0,0,0,0,0,0,0,48,2,0,1,0.0,0.0,0.0,0,0,24,38,63.2,2,22,0,0,0,24,38,63.2,397,113,15,19,78.9,6,8,75.0,3,8,37.5,0,0.0,0.0,0,0,0,0,2,38,38,0,0,0,0,0,0,0,0,0,0,24,0,2,2,1,2,0,0,2,4,50.0,2,1,0,1,0,2,3,0,48,5,15,31,3,0,48,0,0,,0,,22,56,25,0,0,0,1,0,21,2,0,0,0,2,1,0,0,0,1,0,0,0,9,1,0,100.0
Son Heung-min,0,0,0,0,2,0,0,0,31,1,0,1,0.1,0.1,0.8,2,0,19,27,70.4,2,22,2,1,1,19,27,70.4,275,53,10,12,83.3,6,10,60.0,1,2,50.0,0,0.8,0.4,2,0,1,0,2,27,24,2,1,0,0,1,0,1,1,0,0,19,1,0,1,1,0,1,0,0,5,0.0,5,1,0,1,0,1,1,0,31,1,4,15,12,2,31,1,1,100.0,0,0.0,22,105,49,2,0,1,1,0,27,11,0,0,0,0,3,1,1,0,1,0,0,0,4,1,2,33.3
Tanguy Ndombele,0,0,0,0,0,0,0,0,45,2,0,1,0.0,0.0,0.0,3,0,32,34,94.1,6,26,1,3,2,32,34,94.1,514,215,14,16,87.5,13,13,100.0,3,3,100.0,0,0.0,0.0,0,4,1,0,6,34,32,2,2,0,0,0,0,0,0,0,0,32,0,0,2,1,0,2,0,0,2,0.0,2,1,0,1,0,2,1,0,45,3,11,31,3,0,45,3,2,66.7,1,33.3,26,147,67,1,1,0,3,2,26,1,0,0,0,2,4,0,0,0,1,0,0,0,5,0,0,
Toby Alderweireld,0,0,0,0,0,0,0,0,54,1,0,1,0.0,0.0,0.0,0,0,37,47,78.7,1,35,0,0,0,37,47,78.7,799,198,8,9,88.9,25,28,89.3,4,10,40.0,0,0.0,0.0,0,0,0,0,1,47,44,3,3,0,0,0,0,0,0,0,0,37,0,0,1,0,0,1,0,0,2,0.0,2,1,0,1,0,1,6,0,54,8,33,22,0,0,54,0,0,,0,,35,140,36,0,0,0,0,0,36,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,1,0.0
Érik Lamela,0,0,0,0,0,0,0,0,14,2,0,0,0.0,0.0,0.5,1,0,5,9,55.6,1,10,2,3,2,5,9,55.6,49,15,2,4,50.0,1,1,100.0,0,0,,0,0.5,0.3,1,0,1,0,1,9,9,0,0,1,0,0,0,0,0,0,0,5,0,1,2,0,0,0,2,1,2,50.0,1,0,0,0,0,2,0,0,14,0,1,3,10,1,14,3,2,66.7,1,33.3,10,69,39,2,0,1,1,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
