player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
14 Players,1,1,0,0,7,2,1,0,445,10,13,12,1.4,1.4,1.3,13,2,230,348,66.1,22,193,16,14,9,230,348,66.1,4188,2169,107,126,84.9,80,118,67.8,30,76,39.5,1,1.3,1.4,6,17,7,0,22,348,296,52,11,1,1,14,27,2,1,1,0,230,0,8,10,3,4,4,2,2,20,10.0,18,12,2,10,13,23,26,0,445,73,168,168,122,17,445,14,9,64.3,5,35.7,193,1621,889,16,16,4,14,8,225,21,1,0,0,9,8,0,14,13,3,0,0,0,60,13,14,48.1
Adam Webster,0,0,0,0,1,1,1,0,41,0,3,0,0.0,0.0,0.0,0,0,16,26,61.5,5,19,1,1,1,16,26,61.5,338,176,5,7,71.4,8,15,53.3,3,4,75.0,0,0.0,0.0,0,3,0,0,5,26,26,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,2,0.0,2,0,0,0,3,3,7,0,41,9,18,18,5,0,41,1,1,100.0,0,0.0,19,187,136,1,3,1,3,1,18,0,1,0,0,1,0,0,0,3,0,0,0,0,5,3,0,100.0
Alexis Mac Allister,0,1,0,0,0,0,0,0,24,0,0,1,0.0,0.0,0.7,2,1,16,22,72.7,2,16,1,1,0,16,22,72.7,183,40,10,12,83.3,4,6,66.7,0,1,0.0,1,0.7,0.7,2,0,1,0,2,22,22,0,0,1,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0,24,0,6,8,12,3,24,1,0,0.0,1,100.0,16,124,62,1,2,0,1,0,18,5,0,0,0,0,1,0,0,0,0,0,0,0,7,0,2,0.0
Ben White,0,0,0,0,2,0,0,0,32,0,1,3,0.1,0.1,0.0,3,0,17,21,81.0,1,11,3,3,2,17,21,81.0,206,43,10,11,90.9,6,6,100.0,0,2,0.0,0,0.0,0.0,0,2,0,0,1,21,21,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,3,0.0,3,3,1,2,1,1,0,0,32,3,6,20,9,1,32,3,2,66.7,1,33.3,11,190,156,3,2,1,1,1,14,0,0,0,0,1,1,0,0,1,0,0,0,0,6,0,0,
Dan Burn,0,0,0,0,1,0,0,0,55,0,2,0,0.5,0.5,0.0,0,0,22,47,46.8,1,19,1,0,0,22,47,46.8,328,172,9,14,64.3,9,21,42.9,1,7,14.3,0,0.0,0.0,0,2,0,0,1,47,33,14,3,0,1,1,11,0,0,0,0,22,0,1,0,0,0,0,0,0,0,,0,0,0,0,2,2,2,0,55,3,15,30,10,2,55,0,0,,0,,19,220,131,1,1,0,1,0,27,1,0,0,0,1,1,0,1,2,0,0,0,0,7,7,4,63.6
Davy Pröpper,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,1,3,1,1,1,2,3,66.7,21,8,2,3,66.7,0,0,,0,0,,0,0.0,0.0,0,0,1,0,1,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,3,0,0,1,2,0,3,1,1,100.0,0,0.0,3,40,23,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Joël Veltman,0,0,0,0,0,0,0,0,54,3,3,2,0.0,0.0,0.0,0,0,28,37,75.7,2,20,3,2,2,28,37,75.7,607,353,10,12,83.3,12,17,70.6,6,8,75.0,0,0.0,0.0,0,3,2,0,2,37,25,12,0,0,0,2,12,0,0,0,0,28,0,0,3,1,1,2,0,1,4,25.0,3,2,0,2,3,6,5,0,54,5,24,17,16,1,54,2,2,100.0,0,0.0,20,174,67,3,2,0,1,0,18,2,0,0,0,0,1,0,2,3,1,0,0,0,6,0,0,
Leandro Trossard,0,0,0,0,1,0,0,0,31,1,0,0,0.1,0.1,0.0,1,1,18,24,75.0,2,19,4,4,2,18,24,75.0,233,73,11,11,100.0,6,9,66.7,0,2,0.0,0,0.0,0.2,0,1,1,0,2,24,24,0,0,0,0,3,0,0,0,0,0,18,0,0,1,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,31,0,2,13,17,3,31,4,2,50.0,2,50.0,19,184,101,4,2,1,0,2,25,3,0,0,0,1,1,0,3,0,0,0,0,0,4,0,2,0.0
Lewis Dunk,0,0,0,0,0,0,0,0,41,0,2,2,0.0,0.0,0.5,1,0,27,31,87.1,1,13,0,0,0,27,31,87.1,500,237,12,12,100.0,10,10,100.0,4,8,50.0,0,0.5,0.2,1,3,0,0,1,31,31,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,1,0.0,1,2,1,1,2,2,6,0,41,13,29,12,1,1,41,0,0,,0,,13,67,24,0,0,0,0,0,12,0,0,0,0,0,1,0,0,2,0,0,0,0,7,0,0,
Neal Maupay,1,0,0,0,2,1,0,0,25,0,0,2,0.7,0.7,0.1,2,0,17,19,89.5,1,16,2,1,1,17,19,89.5,200,18,9,9,100.0,5,5,100.0,0,0,,0,0.1,0.1,1,0,1,0,1,19,18,1,0,0,0,0,0,0,0,0,0,17,0,2,0,0,0,0,0,0,2,0.0,2,2,0,2,0,0,0,0,25,1,3,12,12,4,25,1,1,100.0,0,0.0,16,112,40,2,1,1,2,1,17,4,0,0,0,2,0,0,0,0,0,0,0,0,4,0,3,0.0
Pascal Groß,0,0,0,0,0,0,0,0,43,4,0,0,0.0,0.0,0.0,2,0,23,38,60.5,1,20,0,1,0,23,38,60.5,281,57,15,17,88.2,6,9,66.7,0,6,0.0,0,0.0,0.0,1,0,0,0,1,38,35,3,1,0,0,6,0,2,1,1,0,23,0,3,4,2,2,1,1,1,5,20.0,4,0,0,0,0,4,0,0,43,0,7,19,17,1,43,1,0,0.0,1,100.0,20,88,21,0,1,0,0,1,33,2,0,0,0,1,2,0,6,0,2,0,0,0,3,0,1,0.0
Percy Tau,0,0,0,0,0,0,0,0,10,0,0,1,0.0,0.0,0.0,0,0,2,4,50.0,0,5,0,0,0,2,4,50.0,27,5,1,1,100.0,1,1,100.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0,10,0,2,4,4,0,10,0,0,,0,,5,21,4,0,0,0,3,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0.0
