player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
14 Players,1,1,0,0,11,3,2,0,570,15,6,17,0.9,0.9,0.8,22,2,330,448,73.7,31,341,21,21,11,330,448,73.7,5149,2170,176,195,90.3,102,131,77.9,29,76,38.2,1,0.8,0.5,10,23,4,0,31,448,385,61,12,0,3,15,30,6,6,0,0,330,2,12,15,8,3,11,1,7,15,46.7,8,17,4,13,6,21,16,0,570,73,178,256,143,19,570,21,11,52.4,10,47.6,341,1989,970,21,14,7,16,10,324,31,2,0,0,10,12,2,15,6,8,0,0,0,56,13,22,37.1
Dele Alli,0,1,0,0,2,0,0,0,31,0,0,2,0.1,0.1,0.4,1,0,17,21,81.0,0,19,3,0,0,17,21,81.0,219,74,12,14,85.7,3,3,100.0,1,1,100.0,1,0.4,0.0,2,1,0,0,0,21,17,3,0,0,0,1,0,0,0,0,0,17,1,0,0,0,0,0,0,0,0,,0,2,0,2,0,0,1,0,31,3,9,12,10,3,31,0,0,,0,,19,100,40,3,1,1,0,2,17,7,0,0,0,2,1,0,1,0,0,0,0,0,6,2,1,66.7
Eric Dier,0,0,0,0,0,0,0,0,55,2,1,0,0.0,0.0,0.0,1,0,36,47,76.6,5,34,1,0,0,36,47,76.6,751,310,13,15,86.7,17,21,81.0,5,10,50.0,0,0.0,0.0,0,3,0,0,5,47,45,2,1,0,0,1,1,0,0,0,0,36,0,0,2,1,0,2,0,2,2,100.0,0,0,0,0,1,3,1,0,55,5,20,33,3,0,55,0,0,,0,,34,272,147,1,0,0,1,0,32,1,0,0,0,0,0,0,1,1,1,0,0,0,6,2,4,33.3
Gareth Bale,0,0,0,0,1,0,0,0,34,2,2,4,0.0,0.0,0.0,1,0,13,18,72.2,3,15,0,3,1,13,18,72.2,194,81,6,7,85.7,1,3,33.3,3,3,100.0,0,0.0,0.0,0,1,0,0,3,18,16,2,0,0,0,1,2,0,0,0,0,13,0,1,2,2,0,2,0,2,2,100.0,0,4,1,3,2,4,4,0,34,3,9,15,11,3,34,3,1,33.3,2,66.7,15,107,31,0,0,1,1,0,16,1,0,0,0,0,0,0,1,2,2,0,0,0,1,3,1,75.0
Giovani Lo Celso,0,0,0,0,0,0,0,0,55,3,0,1,0.0,0.0,0.1,3,1,32,45,71.1,5,33,2,5,2,32,45,71.1,398,183,19,22,86.4,8,11,72.7,1,5,20.0,0,0.1,0.1,2,5,0,0,5,45,37,7,3,0,0,4,0,4,4,0,0,32,1,0,3,1,2,1,0,0,2,0.0,2,1,0,1,0,3,1,0,55,2,8,26,24,2,55,5,2,40.0,3,60.0,33,248,141,2,3,0,2,0,32,2,0,0,0,1,1,0,4,0,1,0,0,0,4,2,0,100.0
Harry Kane,0,0,0,0,2,0,0,0,45,1,0,0,0.1,0.1,0.1,4,0,24,33,72.7,4,31,4,0,0,24,33,72.7,349,98,14,17,82.4,6,8,75.0,2,3,66.7,0,0.1,0.1,2,0,1,0,4,33,31,2,1,0,1,2,1,0,0,0,0,24,0,2,1,1,0,1,0,0,1,0.0,1,0,0,0,0,1,0,0,45,0,1,21,23,5,45,0,0,,0,,31,151,68,4,2,2,4,0,34,7,0,0,0,0,2,2,2,0,1,0,0,0,5,1,6,14.3
Hugo Lloris,0,0,0,0,0,0,0,0,42,0,0,0,0.0,0.0,0.0,0,0,22,36,61.1,0,24,0,0,0,22,36,61.1,409,297,11,11,100.0,5,5,100.0,5,19,26.3,0,0.0,0.0,0,0,0,0,0,36,25,11,2,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,42,38,42,0,0,0,42,0,0,,0,,24,119,87,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Lucas Moura,0,0,0,0,0,0,1,0,14,0,0,1,0.0,0.0,0.0,1,0,8,9,88.9,1,10,1,1,1,8,9,88.9,100,35,3,4,75.0,4,4,100.0,0,0,,0,0.0,0.0,1,1,0,0,1,9,9,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,14,0,1,8,6,0,14,1,1,100.0,0,0.0,10,107,41,1,2,0,2,0,8,0,1,0,0,2,1,0,0,0,0,0,0,0,2,0,0,
Pierre Højbjerg,0,0,0,0,0,0,0,0,54,2,2,4,0.0,0.0,0.0,1,0,36,42,85.7,2,35,2,1,1,36,42,85.7,519,155,22,22,100.0,11,15,73.3,2,3,66.7,0,0.0,0.0,0,5,0,0,2,42,41,1,1,0,0,1,0,0,0,0,0,36,0,1,2,0,0,2,0,0,3,0.0,3,4,1,3,2,4,2,0,54,3,12,31,11,0,54,1,1,100.0,0,0.0,35,190,84,2,2,0,2,0,33,1,0,0,0,3,1,0,1,2,0,0,0,0,5,0,1,0.0
Serge Aurier,0,0,0,0,1,1,0,0,57,3,1,1,0.1,0.1,0.0,3,0,33,42,78.6,4,26,2,2,1,33,42,78.6,584,261,14,14,100.0,14,18,77.8,4,5,80.0,0,0.0,0.0,0,2,0,0,4,42,36,6,0,0,0,1,6,0,0,0,0,33,0,4,3,3,1,2,0,2,2,100.0,0,1,0,1,1,4,2,0,57,5,23,27,7,1,57,2,1,50.0,1,50.0,26,100,41,2,1,1,1,3,23,1,0,0,0,1,2,0,1,1,3,0,0,0,9,2,0,100.0
