player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
13 Players,1,0,0,0,13,5,4,0,771,11,8,7,1.4,1.4,0.9,24,1,604,689,87.7,32,550,21,18,10,604,689,87.7,8937,2702,351,372,94.4,188,202,93.1,36,66,54.5,0,0.9,0.7,11,38,9,1,32,689,647,42,12,0,2,10,13,6,2,1,0,604,0,10,11,5,4,4,3,5,14,35.7,9,7,3,4,8,19,8,0,771,66,169,403,204,24,771,18,10,55.6,8,44.4,550,2261,1104,21,23,7,11,5,601,32,4,0,0,15,10,0,10,8,5,0,0,0,47,15,12,55.6
Bernardo Silva,0,0,0,0,0,0,0,0,89,3,0,1,0.0,0.0,0.0,4,0,72,82,87.8,5,64,4,2,2,72,82,87.8,982,139,48,54,88.9,19,21,90.5,2,3,66.7,0,0.0,0.1,0,6,1,0,5,82,80,2,2,0,0,2,0,0,0,0,0,72,0,0,3,2,0,2,1,1,4,25.0,3,1,1,0,0,3,0,0,89,1,15,49,26,2,89,2,2,100.0,0,0.0,64,346,206,4,3,0,2,0,72,3,0,0,0,2,0,0,2,0,2,0,0,0,4,1,3,25.0
Ederson,0,0,0,0,0,0,0,0,49,0,0,0,0.0,0.0,0.0,0,0,29,46,63.0,0,28,0,0,0,29,46,63.0,950,807,6,6,100.0,8,8,100.0,14,30,46.7,0,0.0,0.0,0,1,1,0,0,46,31,15,5,0,0,0,0,0,0,0,0,29,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,49,44,49,0,0,0,49,0,0,,0,,28,123,64,0,0,0,0,0,27,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,100.0
Fernandinho,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,1,1,0,0,0,1,1,100.0,12,12,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,,0,,1,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
João Cancelo,0,0,0,0,0,0,1,0,62,4,3,1,0.0,0.0,0.1,3,0,43,47,91.5,3,36,2,4,3,43,47,91.5,531,195,28,29,96.6,13,14,92.9,0,0,,0,0.1,0.1,3,4,2,1,3,47,42,5,0,0,0,1,5,0,0,0,0,43,0,2,4,1,1,1,2,1,2,50.0,1,1,1,0,3,7,0,0,62,1,10,30,23,2,62,4,3,75.0,1,25.0,36,148,58,2,2,1,3,0,35,1,1,0,0,2,0,0,1,3,1,0,0,0,5,0,1,0.0
Kyle Walker,0,0,0,0,0,0,0,0,72,2,1,1,0.0,0.0,0.0,0,0,59,68,86.8,1,48,1,0,0,59,68,86.8,961,301,28,30,93.3,26,28,92.9,4,8,50.0,0,0.0,0.0,0,3,0,0,1,68,65,3,1,0,0,1,2,0,0,0,0,59,0,1,2,2,1,1,0,2,2,100.0,0,1,1,0,1,3,1,0,72,2,20,46,7,0,72,0,0,,0,,48,198,39,1,1,0,0,1,53,0,0,0,0,1,0,0,1,1,2,0,0,0,4,0,1,0.0
Nathan Aké,0,0,0,0,0,0,1,0,77,1,0,0,0.0,0.0,0.0,0,0,68,72,94.4,3,59,0,1,0,68,72,94.4,793,200,52,53,98.1,14,15,93.3,1,2,50.0,0,0.0,0.0,0,6,0,0,3,72,67,5,1,0,0,0,4,0,0,0,0,68,0,1,1,0,1,0,0,0,0,,0,0,0,0,0,1,1,0,77,2,13,52,12,0,77,1,0,0.0,1,100.0,59,159,69,0,3,0,0,0,66,0,1,0,0,0,1,0,0,0,0,0,0,0,2,1,3,25.0
Phil Foden,0,0,0,0,4,2,0,0,61,0,1,1,0.7,0.7,0.0,2,1,39,49,79.6,3,42,4,3,0,39,49,79.6,399,56,32,35,91.4,4,5,80.0,0,3,0.0,0,0.0,0.0,0,0,0,0,3,49,47,2,0,0,0,4,0,2,0,1,0,39,0,0,0,0,0,0,0,0,0,,0,1,0,1,1,1,1,0,61,1,2,19,40,6,61,3,0,0.0,3,100.0,42,130,78,4,1,2,0,0,51,10,0,0,0,1,2,0,4,1,0,0,0,0,2,2,0,100.0
Raheem Sterling,1,0,0,0,2,1,0,0,67,0,1,0,0.3,0.3,0.0,5,0,52,60,86.7,6,53,2,2,1,52,60,86.7,515,78,37,40,92.5,8,9,88.9,0,1,0.0,0,0.0,0.1,1,5,3,0,6,60,60,0,0,0,1,0,0,0,0,0,0,52,0,1,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,67,1,2,32,33,4,67,2,1,50.0,1,50.0,53,233,111,2,6,1,1,3,66,6,0,0,0,2,1,0,0,1,0,0,0,0,1,0,0,
Riyad Mahrez,0,0,0,0,6,2,0,0,58,1,0,2,0.3,0.3,0.1,4,0,35,43,81.4,2,42,2,6,4,35,43,81.4,438,72,21,23,91.3,11,14,78.6,0,1,0.0,0,0.1,0.2,1,1,1,0,2,43,38,5,1,0,0,2,2,2,2,0,0,35,0,1,1,0,1,0,0,1,3,33.3,2,2,0,2,0,1,0,0,58,1,3,25,30,5,58,6,4,66.7,2,33.3,42,185,82,2,1,2,3,1,46,8,0,0,0,2,2,0,2,0,0,0,0,0,5,3,3,50.0
