player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
14 Players,2,2,0,0,12,5,0,0,702,15,3,9,0.7,0.7,0.5,21,4,545,619,88.0,31,346,22,21,10,545,619,88.0,9048,2805,269,295,91.2,232,249,93.2,36,53,67.9,2,0.5,0.6,9,27,5,0,31,619,574,40,12,0,2,12,15,2,2,0,0,545,5,10,15,9,8,6,1,7,16,43.8,9,9,4,5,3,18,14,1,702,83,282,296,134,17,702,21,10,47.6,11,52.4,346,1965,1112,22,16,7,10,7,543,31,0,0,0,10,12,5,12,3,9,0,1,0,44,10,5,66.7
Andreas Christensen,0,0,0,0,0,0,0,0,28,0,0,1,0.0,0.0,0.0,0,0,23,24,95.8,0,12,0,0,0,23,24,95.8,441,118,10,10,100.0,11,12,91.7,2,2,100.0,0,0.0,0.0,0,0,0,0,0,24,23,1,1,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,1,1,28,5,17,11,0,0,28,0,0,,0,,12,46,25,0,0,0,2,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0
Antonio Rüdiger,0,0,0,0,1,0,0,0,86,0,1,1,0.0,0.0,0.0,0,0,69,79,87.3,3,42,1,0,0,69,79,87.3,1280,590,29,33,87.9,34,36,94.4,6,8,75.0,0,0.0,0.0,0,6,0,0,3,79,78,1,1,0,1,0,0,0,0,0,0,69,0,2,0,0,0,0,0,0,0,,0,1,1,0,1,1,2,0,86,11,43,37,6,0,86,0,0,,0,,42,215,134,1,2,0,0,0,71,0,0,0,0,2,2,0,0,1,0,0,0,0,5,2,1,66.7
Billy Gilmour,0,0,0,0,1,0,0,0,77,0,0,0,0.1,0.1,0.1,2,0,70,76,92.1,7,42,1,1,0,70,76,92.1,1198,285,34,36,94.4,27,30,90.0,7,8,87.5,0,0.1,0.0,2,7,0,0,7,76,74,2,2,0,1,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,77,0,21,45,11,0,77,1,0,0.0,1,100.0,42,220,102,1,0,0,0,0,71,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,
Callum Hudson-Odoi,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,1,1,4,7,57.1,1,2,1,1,0,4,7,57.1,92,42,2,3,66.7,1,2,50.0,1,2,50.0,0,0.0,0.0,0,0,1,0,1,7,5,2,0,0,0,2,0,2,2,0,0,4,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,8,0,0,4,4,1,8,1,0,0.0,1,100.0,2,34,28,1,1,1,0,0,5,2,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,
Christian Pulisic,0,0,0,0,1,0,0,0,50,0,0,0,0.1,0.1,0.0,1,1,40,42,95.2,4,32,4,4,2,40,42,95.2,519,75,26,27,96.3,11,12,91.7,1,1,100.0,0,0.0,0.1,0,1,2,0,4,42,41,1,1,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,50,0,7,28,18,2,50,4,2,50.0,2,50.0,32,269,150,4,2,2,4,3,48,3,0,0,0,0,3,0,0,0,0,0,0,0,3,1,0,100.0
César Azpilicueta,0,1,0,0,0,0,0,0,95,6,2,1,0.0,0.0,0.1,1,1,74,82,90.2,4,39,2,0,0,74,82,90.2,1204,463,34,36,94.4,36,37,97.3,3,6,50.0,1,0.1,0.0,1,3,0,0,4,82,79,3,2,0,0,1,1,0,0,0,0,74,0,1,6,5,5,1,0,2,3,66.7,1,1,1,0,2,8,3,0,95,7,53,38,5,1,95,0,0,,0,,39,240,175,2,2,0,0,1,64,1,0,0,0,0,1,0,1,2,5,0,0,0,7,3,0,100.0
Edouard Mendy,0,0,0,0,0,0,0,0,45,0,0,0,0.0,0.0,0.0,0,0,38,41,92.7,0,20,0,0,0,38,41,92.7,731,356,13,13,100.0,19,19,100.0,6,9,66.7,0,0.0,0.0,0,0,0,0,0,41,32,9,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,45,41,45,0,0,0,45,0,0,,0,,20,99,36,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,100.0
Hakim Ziyech,1,0,0,0,3,3,0,0,44,2,0,1,0.1,0.1,0.1,6,0,31,37,83.8,6,32,4,4,4,31,37,83.8,485,149,16,17,94.1,14,15,93.3,1,4,25.0,0,0.1,0.2,1,2,2,0,6,37,36,1,1,0,0,3,0,0,0,0,0,31,0,1,2,2,0,2,0,2,3,66.7,1,1,0,1,0,2,0,0,44,1,2,25,18,2,44,4,4,100.0,0,0.0,32,175,106,4,1,1,0,2,40,7,0,0,0,2,1,1,3,0,2,0,0,0,2,0,0,
Jorginho,0,0,0,0,0,0,0,0,23,0,0,1,0.0,0.0,0.0,0,0,20,22,90.9,3,8,0,0,0,20,22,90.9,342,96,13,14,92.9,4,4,100.0,3,3,100.0,0,0.0,0.0,0,3,0,0,3,22,19,2,2,0,0,0,0,0,0,0,0,20,1,0,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0,23,1,9,13,1,0,23,0,0,,0,,8,26,5,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
