,minute,player,squad,xg,psxg,outcome,distance,body part,notes,sca_1_player,sca_1_event,sca_2_player,sca_2_event
0,4,Gylfi Sigurðsson,Everton,0.03,0.04,Saved,27.0,Left Foot,,Mason Holgate,Pass (Live),Allan,Pass (Live)
1,5,Dominic Calvert-Lewin,Everton,0.07,0.07,Saved,15.0,Right Foot,,Gylfi Sigurðsson,Pass (Live),Abdoulaye Doucouré,Tackle
2,6,Gabriel Jesus,Manchester City,0.09,0.27,Saved,9.0,Right Foot,,Kevin De Bruyne,Pass (Live),Kyle Walker,Pass (Live)
3,8,John Stones,Manchester City,0.13,,Off Target,9.0,Head,,Riyad Mahrez,Pass (Dead),Riyad Mahrez,Fouled
4,11,Kevin De Bruyne,Manchester City,0.03,0.45,Goal,24.0,Right Foot,,Riyad Mahrez,Pass (Live),Phil Foden,Pass (Live)
5,14,Gabriel Jesus,Manchester City,0.44,0.93,Goal,12.0,Right Foot,,Kevin De Bruyne,Pass (Live),Raheem Sterling,Pass (Live)
6,23,Riyad Mahrez,Manchester City,0.05,,Off Target,15.0,Left Foot,Volley,Kevin De Bruyne,Pass (Dead),Phil Foden,Fouled
7,23,Kevin De Bruyne,Manchester City,0.05,0.15,Saved,15.0,Right Foot,,Riyad Mahrez,Shot,,
8,33,Richarlison,Everton,0.07,,Blocked,15.0,Right Foot,,Allan,Pass (Live),Allan,Take-On
9,36,Gylfi Sigurðsson (pen),Everton,0.79,0.99,Saved,13.0,Right Foot,,Richarlison,Fouled,,
10,36,Richarlison,Everton,0.09,,Blocked,9.0,Left Foot,,Gylfi Sigurðsson,Shot,,
11,38,Lucas Digne,Everton,0.01,,Off Target,29.0,Left Foot,Volley,Richarlison,Shot,,
12,41,Oleksandr Zinchenko,Manchester City,0.05,,Blocked,15.0,Left Foot,Volley,Phil Foden,Pass (Live),Riyad Mahrez,Pass (Live)
13,43,Richarlison,Everton,0.07,,Blocked,21.0,Right Foot,,Richarlison,Take-On,Michael Keane,Pass (Live)
14,43,Riyad Mahrez,Manchester City,0.04,,Woodwork,23.0,Left Foot,,Raheem Sterling,Pass (Live),Phil Foden,Pass (Live)
15,,,,,,,,,,,,,
16,49,Gylfi Sigurðsson,Everton,0.02,,Off Target,32.0,Right Foot,,Abdoulaye Doucouré,Pass (Live),Dominic Calvert-Lewin,Pass (Live)
17,52,Phil Foden,Manchester City,0.07,,Blocked,16.0,Left Foot,,Gabriel Jesus,Pass (Live),Gabriel Jesus,Take-On
18,52,Rúben Dias,Manchester City,0.04,0.04,Saved,17.0,Right Foot,,Kevin De Bruyne,Pass (Dead),Phil Foden,Shot
19,53,Phil Foden,Manchester City,0.41,0.96,Goal,10.0,Right Foot,,Raheem Sterling,Pass (Live),Gabriel Jesus,Pass (Live)
20,58,Rodri,Manchester City,0.07,,Off Target,16.0,Left Foot,,Raheem Sterling,Pass (Live),Kevin De Bruyne,Pass (Live)
21,68,Gabriel Jesus,Manchester City,0.1,,Off Target,15.0,Right Foot,,Raheem Sterling,Pass (Live),Kevin De Bruyne,Pass (Live)
22,71,Sergio Agüero,Manchester City,0.33,0.89,Goal,13.0,Right Foot,,Sergio Agüero,Take-On,Fernandinho,Tackle
23,76,Sergio Agüero,Manchester City,0.17,0.63,Goal,14.0,Head,,Fernandinho,Pass (Live),Rodri,Pass (Live)
24,81,Sergio Agüero,Manchester City,0.05,0.03,Saved,12.0,Right Foot,,Oleksandr Zinchenko,Pass (Live),Fernandinho,Pass (Live)
25,84,Sergio Agüero,Manchester City,0.05,0.1,Saved,10.0,Head,,Kevin De Bruyne,Pass (Dead),Sergio Agüero,Pass (Live)
26,84,Oleksandr Zinchenko,Manchester City,0.02,,Blocked,27.0,Right Foot,,Fernandinho,Pass (Live),John Stones,Pass (Live)
27,85,Fernandinho,Manchester City,0.06,,Off Target,22.0,Right Foot,,Kevin De Bruyne,Pass (Live),Kevin De Bruyne,Take-On
28,88,Raheem Sterling,Manchester City,0.04,,Blocked,18.0,Right Foot,,Fernandinho,Pass (Live),Sergio Agüero,Pass (Live)
29,90+1,Raheem Sterling,Manchester City,0.28,0.34,Saved,15.0,Left Foot,,Kevin De Bruyne,Pass (Live),John Stones,Pass (Live)
