player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
13 Players,1,1,0,0,26,7,2,0,902,11,8,6,2.2,2.2,1.8,49,2,710,810,87.7,71,502,43,15,9,710,810,87.7,12096,3257,340,371,91.6,289,319,90.6,67,85,78.8,1,1.8,1.7,20,81,15,3,71,810,759,48,8,0,3,32,20,13,1,10,1,710,3,11,11,4,5,4,2,5,11,45.5,6,6,0,6,8,19,11,0,902,26,108,446,353,46,902,15,9,60.0,6,40.0,502,2996,1905,43,29,12,17,7,704,70,2,0,0,5,8,3,32,8,4,0,0,1,49,19,14,57.6
Benjamin Mendy,0,0,0,0,1,0,0,0,71,2,1,0,0.0,0.0,0.0,2,0,53,63,84.1,5,27,0,1,1,53,63,84.1,924,174,28,33,84.8,19,21,90.5,6,8,75.0,0,0.0,0.0,0,2,1,0,5,63,52,11,0,0,0,1,11,0,0,0,0,53,0,1,2,1,0,0,2,0,0,,0,0,0,0,1,3,1,0,71,1,11,33,27,2,71,1,1,100.0,0,0.0,27,103,39,0,0,0,2,0,43,11,0,0,0,0,0,0,1,1,1,0,0,0,3,1,1,50.0
Ederson,0,0,0,0,0,0,0,0,23,0,0,0,0.0,0.0,0.0,1,0,22,22,100.0,0,14,0,0,0,22,22,100.0,524,390,3,3,100.0,15,15,100.0,4,4,100.0,0,0.0,0.0,0,1,0,0,0,22,15,7,2,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,23,12,23,0,0,0,23,0,0,,0,,14,148,98,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,
Gabriel Jesus,0,0,0,0,2,0,0,0,24,3,0,0,0.1,0.1,0.0,3,0,13,14,92.9,0,8,0,0,0,13,14,92.9,131,9,11,12,91.7,2,2,100.0,0,0,,0,0.0,0.0,1,0,0,0,0,14,12,2,0,0,0,0,0,0,0,0,0,13,0,0,3,0,3,0,0,2,2,100.0,0,0,0,0,0,3,1,0,24,0,4,8,12,5,24,0,0,,0,,8,25,7,0,0,1,5,0,17,5,0,0,0,0,1,1,0,0,0,0,0,0,3,2,3,40.0
João Cancelo,0,0,0,0,3,1,1,0,114,1,2,2,0.1,0.1,0.1,6,1,82,98,83.7,14,67,7,4,1,82,98,83.7,1358,279,42,45,93.3,31,39,79.5,7,9,77.8,0,0.1,0.1,2,15,4,0,14,98,90,8,0,0,0,4,8,0,0,0,0,82,0,0,1,0,0,1,0,1,2,50.0,1,2,0,2,2,3,2,0,114,1,12,49,54,4,114,4,1,25.0,3,75.0,67,456,248,7,4,1,3,1,89,6,1,0,0,1,0,0,4,2,0,0,0,0,5,2,1,66.7
Kevin De Bruyne,0,0,0,0,4,2,0,0,74,0,0,1,0.2,0.2,0.8,8,0,47,67,70.1,7,39,6,1,1,47,67,70.1,893,316,22,27,81.5,17,21,81.0,7,13,53.8,0,0.8,0.7,5,5,5,2,7,67,55,10,2,0,1,16,0,8,1,5,1,47,2,3,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0,74,0,0,15,60,5,74,1,1,100.0,0,0.0,39,257,174,6,5,2,2,1,58,6,0,0,0,0,1,0,16,0,0,0,0,0,1,0,0,
Kyle Walker,0,0,0,0,1,0,0,0,18,0,0,0,0.0,0.0,0.0,3,0,14,16,87.5,3,9,2,0,0,14,16,87.5,204,33,8,9,88.9,6,6,100.0,0,0,,0,0.0,0.0,0,3,0,0,3,16,16,0,0,0,0,1,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,18,0,0,6,12,2,18,0,0,,0,,9,71,55,2,2,1,1,0,17,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0
Nathan Aké,0,0,0,0,0,0,1,0,108,0,2,0,0.0,0.0,0.0,0,0,96,103,93.2,13,67,5,0,0,96,103,93.2,1745,576,35,38,92.1,55,57,96.5,6,6,100.0,0,0.0,0.0,0,6,0,0,13,103,101,2,1,0,0,0,1,0,0,0,0,96,0,1,0,0,0,0,0,0,0,,0,0,0,0,2,2,2,0,108,4,21,82,5,1,108,0,0,,0,,67,398,282,5,3,0,0,1,87,0,1,0,0,2,0,0,0,2,0,0,0,0,3,6,2,75.0
Phil Foden,0,0,0,0,2,0,0,0,64,3,0,1,0.1,0.1,0.1,3,0,46,55,83.6,2,32,4,3,1,46,55,83.6,605,54,31,34,91.2,10,11,90.9,2,5,40.0,0,0.1,0.1,2,5,1,0,2,55,52,3,0,0,0,6,0,3,0,3,0,46,0,2,3,2,1,2,0,0,0,,0,1,0,1,0,3,0,0,64,1,2,27,37,4,64,3,1,33.3,2,66.7,32,175,114,4,3,1,1,0,49,7,0,0,0,0,1,2,6,0,2,0,0,0,2,1,4,20.0
Raheem Sterling,0,1,0,0,2,2,0,0,65,0,0,0,0.5,0.5,0.6,8,1,53,59,89.8,5,44,10,2,2,53,59,89.8,604,111,43,46,93.5,9,9,100.0,0,0,,1,0.6,0.3,5,2,2,0,5,59,59,0,0,0,0,1,0,0,0,0,0,53,0,3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,65,0,0,15,50,11,65,2,2,100.0,0,0.0,44,330,216,10,4,5,1,2,63,22,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0.0
