player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
12 Players,0,0,0,0,11,2,1,0,613,23,11,11,0.6,0.6,0.6,20,0,444,526,84.4,27,379,11,14,10,444,526,84.4,7328,2494,210,232,90.5,190,212,89.6,30,57,52.6,0,0.6,0.4,10,21,5,0,27,526,488,36,7,0,6,6,14,4,4,0,0,444,2,2,23,16,17,4,2,11,25,44.0,14,11,4,7,11,34,14,0,613,81,290,260,71,9,613,14,10,71.4,4,28.6,379,1814,755,11,11,1,12,2,443,27,1,0,0,13,6,2,6,11,16,0,0,0,53,10,8,55.6
Aaron Wan-Bissaka,0,0,0,0,0,0,0,0,66,4,2,0,0.0,0.0,0.0,0,0,49,56,87.5,5,37,3,0,0,49,56,87.5,635,334,35,36,97.2,12,14,85.7,0,3,0.0,0,0.0,0.0,0,0,0,0,5,56,51,5,0,0,0,1,5,0,0,0,0,49,0,0,4,1,3,1,0,3,4,75.0,1,0,0,0,2,6,4,0,66,5,38,24,4,0,66,0,0,,0,,37,147,70,3,2,0,0,0,44,1,0,0,0,1,0,0,1,2,1,0,0,0,6,2,0,100.0
Anthony Martial,0,0,0,0,0,0,0,0,6,1,0,0,0.0,0.0,0.0,1,0,4,5,80.0,1,6,0,0,0,4,5,80.0,59,11,2,3,66.7,2,2,100.0,0,0,,0,0.0,0.0,1,0,0,0,1,5,5,0,0,0,0,0,0,0,0,0,0,4,0,0,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0,6,0,1,4,1,0,6,0,0,,0,,6,27,10,0,0,0,0,0,7,2,0,0,0,1,1,0,0,0,1,0,0,0,0,0,2,0.0
Bruno Fernandes,0,0,0,0,4,2,0,0,65,2,1,1,0.2,0.2,0.2,4,0,35,53,66.0,4,39,0,2,1,35,53,66.0,565,132,13,19,68.4,14,19,73.7,4,7,57.1,0,0.2,0.1,2,3,0,0,4,53,50,2,0,0,0,2,0,1,1,0,0,35,1,1,2,1,2,0,0,1,4,25.0,3,1,0,1,1,3,1,0,65,2,13,31,21,3,65,2,1,50.0,1,50.0,39,114,56,0,1,0,3,0,54,11,0,0,0,1,1,0,2,1,1,0,0,0,2,0,0,
David de Gea,0,0,0,0,0,0,0,0,31,0,0,0,0.0,0.0,0.0,0,0,24,30,80.0,0,15,0,0,0,24,30,80.0,461,261,8,8,100.0,11,11,100.0,3,9,33.3,0,0.0,0.0,0,1,0,0,0,30,19,11,1,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,31,28,31,0,0,0,31,0,0,,0,,15,78,56,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
Fred,0,0,0,0,0,0,0,0,58,3,0,0,0.0,0.0,0.0,4,0,49,53,92.5,3,32,0,2,2,49,53,92.5,855,320,22,24,91.7,21,22,95.5,6,7,85.7,0,0.0,0.0,1,4,0,0,3,53,51,2,2,0,0,0,0,0,0,0,0,49,0,0,3,1,3,0,0,1,2,50.0,1,0,0,0,0,3,1,0,58,2,18,39,2,0,58,2,2,100.0,0,0.0,32,117,57,0,1,0,1,0,44,0,0,0,0,0,2,0,0,0,1,0,0,0,6,0,1,0.0
Harry Maguire,0,0,0,0,1,0,1,0,83,1,4,4,0.0,0.0,0.0,0,0,53,69,76.8,1,53,0,1,0,53,69,76.8,1096,327,16,19,84.2,29,35,82.9,6,11,54.5,0,0.0,0.0,0,1,0,0,1,69,67,1,1,0,3,0,0,0,0,0,0,53,1,0,1,1,0,1,0,1,2,50.0,1,4,3,1,4,5,2,0,83,17,51,29,3,1,83,1,0,0.0,1,100.0,53,229,73,0,1,0,0,0,58,0,1,0,0,1,0,0,0,4,1,0,0,0,5,3,0,100.0
Luke Shaw,0,0,0,0,0,0,0,0,62,4,0,1,0.0,0.0,0.1,2,0,44,54,81.5,0,35,1,3,3,44,54,81.5,650,289,28,30,93.3,13,16,81.3,3,6,50.0,0,0.1,0.1,2,1,0,0,0,54,42,12,0,0,0,3,9,3,3,0,0,44,0,0,4,4,4,0,0,3,4,75.0,1,1,0,1,0,4,2,0,62,3,30,26,8,0,62,3,3,100.0,0,0.0,35,141,47,1,0,0,1,0,33,1,0,0,0,1,0,1,3,0,4,0,0,0,6,0,1,0.0
Marcus Rashford,0,0,0,0,1,0,0,0,20,0,1,0,0.0,0.0,0.1,1,0,14,16,87.5,1,16,1,3,1,14,16,87.5,174,24,8,8,100.0,5,6,83.3,0,0,,0,0.1,0.1,1,1,1,0,1,16,16,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,2,0.0,2,0,0,0,1,1,0,0,20,0,1,10,9,1,20,3,1,33.3,2,66.7,16,111,31,1,3,0,1,1,18,4,0,0,0,0,0,1,0,1,0,0,0,0,4,0,1,0.0
Mason Greenwood,0,0,0,0,2,0,0,0,30,4,0,1,0.1,0.1,0.0,1,0,21,23,91.3,0,18,1,0,0,21,23,91.3,289,24,14,15,93.3,4,4,100.0,2,3,66.7,0,0.0,0.0,0,0,0,0,0,23,23,0,0,0,1,0,0,0,0,0,0,21,0,0,4,3,2,1,1,0,2,0.0,2,1,0,1,0,4,0,0,30,0,5,20,6,1,30,0,0,,0,,18,88,28,1,1,1,1,0,24,4,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,
