player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
13 Players,0,0,0,0,3,1,3,2,360,20,13,9,0.5,0.5,0.3,6,0,146,231,63.2,6,137,1,9,3,146,231,63.2,2210,885,80,96,83.3,49,65,75.4,8,48,16.7,0,0.3,0.2,2,4,1,0,6,231,186,43,12,0,0,4,8,3,3,0,0,146,2,6,20,10,13,6,1,8,15,53.3,7,9,5,4,13,33,32,0,360,90,197,139,25,2,360,9,3,33.3,6,66.7,137,587,218,1,1,0,17,7,143,6,3,2,0,6,10,2,4,13,10,0,1,1,34,7,12,36.8
Alex McCarthy,0,0,0,0,0,0,0,0,35,0,0,0,0.0,0.0,0.0,0,0,8,32,25.0,0,12,0,0,0,8,32,25.0,284,234,2,3,66.7,1,1,100.0,5,28,17.9,0,0.0,0.0,0,0,0,0,0,32,15,17,7,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,35,28,34,1,0,0,35,0,0,,0,,12,79,55,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alexandre Jankewitz,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,
Allan Tchaptchet,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0,0,1,0.0,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,2,1,2,0,0,0,2,0,0,,0,,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
Che Adams,0,0,0,0,1,0,0,0,28,1,1,1,0.3,0.3,0.0,1,0,11,16,68.8,0,20,0,2,1,11,16,68.8,141,13,8,10,80.0,3,5,60.0,0,0,,0,0.0,0.0,1,0,0,0,0,16,16,0,0,0,0,0,0,0,0,0,0,11,0,1,1,0,0,1,0,0,0,,0,1,1,0,1,2,0,0,28,1,8,14,6,1,28,2,1,50.0,1,50.0,20,57,13,0,1,0,3,1,22,4,0,0,0,0,3,2,0,1,0,0,0,0,5,2,6,25.0
Danny Ings,0,0,0,0,0,0,0,0,26,2,0,0,0.0,0.0,0.0,1,0,10,14,71.4,2,7,0,1,0,10,14,71.4,115,47,6,9,66.7,2,2,100.0,0,0,,0,0.0,0.0,0,1,0,0,2,14,14,0,0,0,0,0,0,0,0,0,0,10,0,1,2,0,0,2,0,1,2,50.0,1,0,0,0,0,2,6,0,26,6,7,17,2,0,26,1,0,0.0,1,100.0,7,31,3,0,0,0,2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0
Jack Stephens,0,0,0,0,0,0,1,0,40,1,1,4,0.0,0.0,0.0,0,0,16,24,66.7,1,14,0,0,0,16,24,66.7,250,81,8,9,88.9,8,11,72.7,0,3,0.0,0,0.0,0.0,0,0,0,0,1,24,23,1,1,0,0,0,0,0,0,0,0,16,0,0,1,0,1,0,0,0,1,0.0,1,4,2,2,1,2,8,0,40,14,29,11,0,0,40,0,0,,0,,14,49,27,0,0,0,1,0,16,0,1,0,0,0,2,0,0,1,0,0,0,0,3,1,0,100.0
James Ward-Prowse,0,0,0,0,2,1,0,0,57,3,5,2,0.2,0.2,0.0,0,0,25,34,73.5,1,20,0,1,0,25,34,73.5,315,87,17,20,85.0,6,7,85.7,1,4,25.0,0,0.0,0.0,0,0,0,0,1,34,29,4,0,0,0,2,0,2,2,0,0,25,1,1,3,2,3,0,0,1,1,100.0,0,2,1,1,5,8,4,0,57,9,29,24,5,0,57,1,0,0.0,1,100.0,20,81,23,0,0,0,3,1,16,0,0,0,0,0,0,0,2,5,2,0,0,0,8,1,2,33.3
Jan Bednarek,0,0,0,0,0,0,0,1,38,2,2,1,0.0,0.0,0.0,1,0,16,26,61.5,0,11,0,0,0,16,26,61.5,304,143,6,8,75.0,7,10,70.0,2,7,28.6,0,0.0,0.0,0,2,0,0,0,26,23,3,1,0,0,0,2,0,0,0,0,16,0,0,2,2,1,1,0,0,1,0.0,1,1,1,0,2,4,5,0,38,11,26,12,0,0,38,0,0,,0,,11,39,16,0,0,0,0,0,13,0,0,1,0,1,0,0,0,2,2,0,1,1,3,2,0,100.0
Kayne Ramsey,0,0,0,0,0,0,1,0,35,5,0,0,0.0,0.0,0.0,0,0,17,23,73.9,0,14,0,0,0,17,23,73.9,242,81,9,10,90.0,7,10,70.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,23,19,3,0,0,0,0,3,0,0,0,0,17,1,0,5,2,4,1,0,3,3,100.0,0,0,0,0,0,5,3,0,35,10,28,7,0,0,35,0,0,,0,,14,31,10,0,0,0,0,0,14,0,1,0,0,1,0,0,0,0,2,0,0,0,6,0,1,0.0
