player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
14 Players,0,0,0,0,11,4,3,1,617,7,12,9,1.0,1.0,0.7,21,0,407,521,78.1,25,300,17,18,13,407,521,78.1,7349,2416,174,202,86.1,182,213,85.4,41,81,50.6,0,0.7,0.6,7,28,9,3,25,521,476,45,7,0,4,22,18,9,3,6,0,407,0,9,7,4,3,3,1,1,6,16.7,5,9,2,7,12,19,23,0,617,55,194,286,148,19,617,18,13,72.2,5,27.8,300,1937,915,17,14,1,16,7,405,23,3,1,0,17,7,0,22,12,4,0,1,0,47,16,22,42.1
Ademola Lookman,0,0,0,0,3,2,0,0,72,1,0,0,0.4,0.4,0.0,2,0,50,60,83.3,4,38,2,6,3,50,60,83.3,665,147,32,35,91.4,15,17,88.2,1,6,16.7,0,0.0,0.1,0,5,2,0,4,60,54,6,2,0,0,7,0,4,3,1,0,50,0,0,1,0,0,1,0,0,1,0.0,1,0,0,0,0,1,1,0,72,0,5,34,34,4,72,6,3,50.0,3,50.0,38,312,87,2,5,1,2,2,52,5,0,0,0,2,0,0,7,0,0,0,0,0,3,0,0,
Aleksandar Mitrović,0,0,0,0,1,1,0,0,28,0,0,3,0.0,0.0,0.0,2,0,13,18,72.2,2,10,1,0,0,13,18,72.2,230,31,5,7,71.4,5,6,83.3,2,2,100.0,0,0.0,0.0,0,1,0,0,2,18,17,1,0,0,0,0,0,0,0,0,0,13,0,2,0,0,0,0,0,0,0,,0,3,0,3,0,0,1,0,28,1,2,11,15,4,28,0,0,,0,,10,71,30,1,1,0,4,1,22,4,0,0,0,1,2,0,0,0,0,0,0,0,1,5,1,83.3
Alphonse Areola,0,0,0,0,0,0,0,0,26,0,0,0,0.0,0.0,0.0,0,0,12,24,50.0,0,11,0,0,0,12,24,50.0,342,301,2,2,100.0,5,5,100.0,4,16,25.0,0,0.0,0.0,0,0,0,0,0,24,13,11,2,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,26,25,26,0,0,0,26,0,0,,0,,11,82,68,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Andre-Frank Zambo Anguissa,0,0,0,0,1,0,0,0,59,0,2,2,0.0,0.0,0.2,3,0,41,50,82.0,2,33,4,3,3,41,50,82.0,584,164,21,23,91.3,17,17,100.0,1,4,25.0,0,0.2,0.1,1,2,1,1,2,50,50,0,0,0,0,1,0,0,0,0,0,41,0,2,0,0,0,0,0,0,0,,0,2,0,2,2,2,0,0,59,0,12,36,14,2,59,3,3,100.0,0,0.0,33,278,144,4,1,0,1,1,40,0,0,0,0,2,1,0,1,2,0,0,0,0,10,2,1,66.7
Antonee Robinson,0,0,0,0,0,0,1,0,78,0,0,0,0.0,0.0,0.1,2,0,43,72,59.7,4,32,5,2,2,43,72,59.7,637,163,28,32,87.5,12,25,48.0,2,9,22.2,0,0.1,0.0,1,1,1,0,4,72,59,13,0,0,1,5,13,0,0,0,0,43,0,3,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,0,78,2,19,35,26,0,78,2,2,100.0,0,0.0,32,225,121,5,4,0,1,1,47,6,1,0,0,1,0,0,5,0,0,0,0,0,8,1,0,100.0
Bobby Reid,0,0,0,0,1,0,0,0,36,0,0,0,0.3,0.3,0.0,0,0,18,30,60.0,2,18,1,2,1,18,30,60.0,279,73,11,15,73.3,5,10,50.0,1,1,100.0,0,0.0,0.0,0,0,1,0,2,30,29,1,0,0,1,1,1,0,0,0,0,18,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,36,2,7,12,18,2,36,2,1,50.0,1,50.0,18,80,34,1,0,0,1,0,27,5,0,0,0,2,2,0,1,0,0,0,0,0,5,0,3,0.0
Joachim Andersen,0,0,0,0,0,0,1,1,63,1,2,0,0.0,0.0,0.0,4,0,55,59,93.2,1,38,0,0,0,55,59,93.2,1324,437,6,8,75.0,39,40,97.5,10,11,90.9,0,0.0,0.0,1,5,1,0,1,59,57,2,2,0,1,0,0,0,0,0,0,55,0,0,1,1,1,0,0,0,2,0.0,2,0,0,0,2,3,3,0,63,7,43,18,2,1,63,0,0,,0,,38,199,77,0,0,0,0,0,48,0,1,1,0,3,1,0,0,2,1,0,1,0,2,2,2,50.0
Joe Bryan,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0,0,1,0.0,0,0,0,0,,0,0,,0,1,0.0,0,0.0,0.0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
Mario Lemina,0,0,0,0,1,0,0,0,53,3,3,1,0.0,0.0,0.3,2,0,36,40,90.0,3,23,1,4,3,36,40,90.0,646,256,13,16,81.3,17,18,94.4,4,4,100.0,0,0.3,0.1,1,4,1,0,3,40,40,0,0,0,0,0,0,0,0,0,0,36,0,1,3,2,1,2,0,0,1,0.0,1,1,0,1,3,6,2,0,53,3,14,36,6,0,53,4,3,75.0,1,25.0,23,174,103,1,0,0,2,0,25,0,0,0,0,2,0,0,0,3,2,0,0,0,6,1,4,20.0
