player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
14 Players,3,1,1,2,9,3,2,0,318,13,7,9,2.2,0.6,0.4,21,5,146,218,67.0,19,153,15,15,7,146,218,67.0,2612,1321,66,80,82.5,47,61,77.0,21,52,40.4,1,0.4,0.4,6,8,5,4,19,218,183,35,7,0,2,11,10,4,4,0,0,146,0,4,13,5,11,2,0,6,19,31.6,13,9,2,7,7,20,22,0,318,58,160,107,55,18,316,15,7,46.7,8,53.3,153,899,528,15,7,6,12,13,146,19,2,0,0,11,10,0,11,7,5,2,0,0,41,10,9,52.6
Allan Saint-Maximin,0,0,0,0,0,0,0,0,36,0,0,1,0.0,0.0,0.2,3,0,20,22,90.9,3,20,1,5,2,20,22,90.9,341,77,10,10,100.0,6,7,85.7,2,3,66.7,0,0.2,0.1,2,2,1,1,3,22,19,3,0,0,1,1,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,36,1,8,17,11,1,36,5,2,40.0,3,60.0,20,124,59,1,2,0,5,6,19,5,0,0,0,0,1,0,1,0,0,0,0,0,4,0,0,
Dwight Gayle,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,0,0,0,0,1,1,100.0,4,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0
Emil Krafth,1,0,0,0,1,1,0,0,27,1,3,1,0.1,0.1,0.0,1,0,13,18,72.2,0,8,0,0,0,13,18,72.2,266,166,6,9,66.7,4,4,100.0,3,3,100.0,0,0.0,0.0,0,0,0,0,0,18,16,2,1,0,0,0,1,0,0,0,0,13,0,0,1,0,1,0,0,1,1,100.0,0,1,0,1,3,4,3,0,27,6,23,2,2,2,27,0,0,,0,,8,24,11,0,0,0,0,0,9,0,0,0,0,1,0,0,0,3,0,0,0,0,3,2,0,100.0
Federico Fernández,0,0,0,0,0,0,0,0,18,0,0,0,0.0,0.0,0.0,0,0,10,12,83.3,0,12,0,0,0,10,12,83.3,178,59,3,4,75.0,6,7,85.7,1,1,100.0,0,0.0,0.0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,18,9,17,0,1,1,18,0,0,,0,,12,55,20,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,50.0
Jacob Murphy,0,0,0,0,2,1,0,0,41,6,1,1,0.1,0.1,0.1,2,0,13,26,50.0,4,19,3,3,2,13,26,50.0,205,169,7,10,70.0,3,6,50.0,2,6,33.3,0,0.1,0.0,1,1,1,0,4,26,21,5,0,0,0,0,5,0,0,0,0,13,0,1,6,4,5,1,0,5,6,83.3,1,1,0,1,1,7,1,0,41,2,21,15,5,2,41,3,2,66.7,1,33.3,19,133,93,3,1,2,1,3,16,1,0,0,0,4,2,0,0,1,4,0,0,0,7,0,0,
Jamal Lewis,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,2,0,0,0,1,2,50.0,8,0,1,1,100.0,0,0,,0,1,0.0,0,0.0,0.0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,3,0,1,1,1,0,3,0,0,,0,,2,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Joe Willock,1,0,0,1,3,1,0,0,33,3,0,1,1.0,0.1,0.0,2,1,12,19,63.2,2,18,6,3,1,12,19,63.2,177,91,5,6,83.3,3,5,60.0,2,4,50.0,0,0.0,0.1,0,2,1,1,2,19,18,1,0,0,0,2,1,0,0,0,0,12,0,1,3,1,3,0,0,0,2,0.0,2,1,0,1,0,3,1,0,33,4,14,12,8,5,32,3,1,33.3,2,66.7,18,169,125,6,1,2,0,0,15,6,0,0,0,0,4,0,2,0,1,1,0,0,5,0,0,
Joelinton,1,0,1,1,2,0,0,0,23,0,0,0,1.0,0.2,0.0,4,3,10,13,76.9,3,14,2,1,1,10,13,76.9,102,40,6,7,85.7,2,3,66.7,0,0,,0,0.0,0.0,0,1,0,0,3,13,13,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,23,0,1,13,9,5,22,1,1,100.0,0,0.0,14,51,26,2,0,2,3,4,20,3,0,0,0,1,1,0,0,0,0,1,0,0,2,2,4,33.3
Jonjo Shelvey,0,1,0,0,1,0,1,0,35,1,1,1,0.1,0.1,0.1,1,1,16,26,61.5,1,13,0,0,0,16,26,61.5,263,99,8,11,72.7,4,5,80.0,2,6,33.3,1,0.1,0.1,1,0,0,0,1,26,23,3,2,0,0,2,0,1,1,0,0,16,0,1,1,0,0,1,0,0,4,0.0,4,1,1,0,1,2,3,0,35,6,16,15,4,0,35,0,0,,0,,13,39,13,0,0,0,1,0,14,0,1,0,0,1,0,0,2,1,0,0,0,0,5,0,1,0.0
