,minute,player,squad,xg,psxg,outcome,distance,body part,notes,sca_1_player,sca_1_event,sca_2_player,sca_2_event
0,2,Miguel Almirón,Newcastle Utd,0.02,0.05,Saved,27.0,Left Foot,,Federico Fernández,Pass (Live),Emil Krafth,Pass (Live)
1,7,David McGoldrick,Sheffield Utd,0.34,,Off Target,16.0,Right Foot,,Enda Stevens,Pass (Live),Ben Osborn,Pass (Live)
2,11,David McGoldrick,Sheffield Utd,0.1,,Off Target,11.0,Right Foot,Volley,John Egan,Pass (Live),Chris Basham,Pass (Live)
3,15,Joelinton,Newcastle Utd,0.06,,Blocked,16.0,Left Foot,,Allan Saint-Maximin,Pass (Live),Allan Saint-Maximin,Take-On
4,15,Jacob Murphy,Newcastle Utd,0.03,,Off Target,30.0,Left Foot,Volley,Jacob Murphy,Pass (Live),Joelinton,Shot
5,26,Jacob Murphy,Newcastle Utd,0.06,,Blocked,30.0,Right Foot,Free kick,Matt Ritchie,Pass (Live),Jacob Murphy,Pass (Dead)
6,27,Jonjo Shelvey,Newcastle Utd,0.28,0.14,Saved,8.0,Head,,Matt Ritchie,Pass (Live),Allan Saint-Maximin,Pass (Live)
7,27,Jonjo Shelvey,Newcastle Utd,0.25,,Off Target,5.0,Head,,Jonjo Shelvey,Shot,,
8,29,Paul Dummett,Newcastle Utd,0.06,,Off Target,10.0,Head,,Jonjo Shelvey,Pass (Dead),Jonjo Shelvey,Shot
9,30,Federico Fernández,Newcastle Utd,0.03,0.05,Saved,14.0,Head,,Matt Ritchie,Pass (Dead),Paul Dummett,Shot
10,32,Matt Ritchie,Newcastle Utd,0.06,,Off Target,26.0,Left Foot,Free kick,Allan Saint-Maximin,Fouled,Allan Saint-Maximin,Take-On
11,36,Paul Dummett,Newcastle Utd,0.06,,Off Target,12.0,Head,,Jonjo Shelvey,Pass (Dead),Joelinton,Fouled
12,45+2,Joelinton,Newcastle Utd,0.28,,Off Target,8.0,Head,,Jacob Murphy,Pass (Live),Emil Krafth,Pass (Dead)
13,45+4,Joe Willock,Newcastle Utd,0.41,0.69,Goal,6.0,Head,,Jacob Murphy,Pass (Live),Allan Saint-Maximin,Pass (Live)
14,,,,,,,,,,,,,
15,48,Miguel Almirón,Newcastle Utd,0.03,,Off Target,26.0,Left Foot,,Joe Willock,Pass (Live),Allan Saint-Maximin,Pass (Live)
16,50,Allan Saint-Maximin,Newcastle Utd,0.02,,Off Target,31.0,Right Foot,,Joe Willock,Pass (Live),Dwight Gayle,Pass (Dead)
17,52,David McGoldrick,Sheffield Utd,0.15,,Off Target,21.0,Right Foot,Free kick,Chris Basham,Fouled,David McGoldrick,Pass (Live)
18,54,Jayden Bogle,Sheffield Utd,0.06,,Off Target,10.0,Head,,John Fleck,Pass (Live),Enda Stevens,Pass (Live)
19,58,Jack Robinson,Sheffield Utd,0.06,,Off Target,11.0,Head,,John Fleck,Pass (Dead),Enda Stevens,Pass (Live)
20,58,Oliver Norwood,Sheffield Utd,0.02,,Off Target,23.0,Right Foot,,Chris Basham,Pass (Live),Jack Robinson,Shot
21,68,Rhian Brewster,Sheffield Utd,0.02,,Blocked,30.0,Left Foot,,David McGoldrick,Pass (Live),John Fleck,Pass (Live)
22,70,John Egan,Sheffield Utd,0.04,0.06,Saved,12.0,Head,,John Fleck,Pass (Dead),Rhian Brewster,Shot
23,76,Joe Willock,Newcastle Utd,0.04,0.04,Saved,30.0,Right Foot,,Joe Willock,Take-On,Joe Willock,Take-On
24,76,David McGoldrick,Sheffield Utd,0.04,,Woodwork,25.0,Right Foot,,David McGoldrick,Take-On,John Fleck,Pass (Live)
25,85,Jonjo Shelvey,Newcastle Utd,0.03,,Off Target,26.0,Right Foot,Volley,,,,
26,88,Rhian Brewster,Sheffield Utd,0.05,,Off Target,12.0,Head,,Oliver Norwood,Pass (Live),Chris Basham,Pass (Live)
27,90+2,Oliver Norwood,Sheffield Utd,0.04,,Off Target,31.0,Right Foot,,David McGoldrick,Pass (Live),David McGoldrick,Take-On
