player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
14 Players,1,0,1,1,16,3,2,0,725,11,8,5,2.1,1.3,1.2,29,0,514,612,84.0,59,432,20,15,7,514,612,84.0,8681,2886,233,254,91.7,161,186,86.6,67,97,69.1,0,1.2,1.1,14,41,20,5,59,612,566,44,12,1,5,24,24,5,3,0,0,514,2,10,11,4,5,3,3,4,8,50.0,4,5,1,4,8,19,18,0,725,35,132,315,284,37,724,15,7,46.7,8,53.3,432,2147,1125,20,22,3,18,7,512,59,2,0,0,13,11,2,24,8,4,0,0,0,46,21,19,52.5
Aaron Ramsdale,0,0,0,0,0,0,0,0,24,0,0,0,0.0,0.0,0.0,1,0,11,22,50.0,0,15,0,0,0,11,22,50.0,487,391,1,1,100.0,2,2,100.0,8,18,44.4,0,0.0,0.0,0,1,0,0,0,22,16,6,4,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,24,17,23,1,0,0,24,0,0,,0,,15,91,73,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ben Osborn,0,0,0,0,0,0,0,0,83,1,0,1,0.0,0.0,0.1,3,0,65,78,83.3,9,56,0,1,1,65,78,83.3,894,360,35,37,94.6,20,24,83.3,2,6,33.3,0,0.1,0.2,2,6,5,2,9,78,72,6,1,0,1,8,5,0,0,0,0,65,0,3,1,1,0,0,1,0,0,,0,1,1,0,0,1,0,0,83,1,12,30,41,3,83,1,1,100.0,0,0.0,56,142,69,0,2,0,1,0,64,13,0,0,0,0,0,0,8,0,1,0,0,0,2,0,1,0.0
Billy Sharp,1,0,1,1,0,0,1,0,15,0,0,0,0.8,0.0,0.0,1,0,3,8,37.5,1,7,1,0,0,3,8,37.5,43,18,2,4,50.0,1,3,33.3,0,0,,0,0.0,0.0,1,1,0,0,1,8,7,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,15,0,0,7,8,2,14,0,0,,0,,7,34,10,1,0,0,4,3,12,4,1,0,0,3,0,0,1,0,0,0,0,0,2,1,1,50.0
Chris Basham,0,0,0,0,0,0,0,0,42,0,2,0,0.0,0.0,0.0,0,0,38,41,92.7,5,30,1,0,0,38,41,92.7,672,193,20,20,100.0,13,14,92.9,5,6,83.3,0,0.0,0.0,0,1,2,0,5,41,39,2,0,0,0,1,2,0,0,0,0,38,0,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,0,0,42,0,12,17,13,0,42,0,0,,0,,30,199,126,1,3,0,0,0,32,1,0,0,0,0,0,0,1,2,0,0,0,0,5,0,1,0.0
David McGoldrick,0,0,0,0,2,1,1,0,52,2,0,0,0.2,0.2,0.0,4,0,33,40,82.5,4,33,0,3,2,33,40,82.5,460,117,18,21,85.7,6,9,66.7,4,4,100.0,0,0.0,0.1,0,2,2,1,4,40,39,1,1,0,0,1,0,0,0,0,0,33,0,0,2,0,0,0,2,1,1,100.0,0,0,0,0,0,2,0,0,52,0,2,13,37,7,52,3,2,66.7,1,33.3,33,106,48,0,3,0,5,2,47,11,1,0,0,2,3,1,1,0,0,0,0,0,0,4,2,66.7
Ethan Ampadu,0,0,0,0,0,0,0,0,97,3,4,0,0.0,0.0,0.3,2,0,72,83,86.7,10,53,2,0,0,72,83,86.7,1414,626,25,29,86.2,29,31,93.5,11,13,84.6,0,0.3,0.5,2,9,2,1,10,83,77,6,0,0,0,1,6,0,0,0,0,72,0,2,3,2,0,3,0,3,3,100.0,0,0,0,0,4,7,5,0,97,6,29,57,12,1,97,0,0,,0,,53,294,173,2,2,0,0,0,61,1,0,0,0,1,2,0,1,4,2,0,0,0,6,7,1,87.5
Jayden Bogle,0,0,0,0,3,2,0,0,59,0,0,0,0.6,0.6,0.1,3,0,39,45,86.7,2,29,1,3,1,39,45,86.7,491,113,17,19,89.5,12,13,92.3,1,3,33.3,0,0.1,0.1,2,2,1,0,2,45,36,9,0,0,0,0,9,0,0,0,0,39,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,59,2,8,17,34,9,59,3,1,33.3,2,66.7,29,133,58,1,0,1,1,0,39,9,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,33.3
John Egan,0,0,0,0,0,0,0,0,63,3,1,0,0.0,0.0,0.0,0,0,49,53,92.5,2,35,2,0,0,49,53,92.5,1083,281,17,19,89.5,20,21,95.2,12,13,92.3,0,0.0,0.0,0,4,0,0,2,53,52,1,0,0,1,0,1,0,0,0,0,49,0,0,3,0,3,0,0,0,0,,0,0,0,0,1,4,6,0,63,6,25,38,0,0,63,0,0,,0,,35,198,112,2,1,0,0,0,39,0,0,0,0,5,0,0,0,1,0,0,0,0,2,4,6,40.0
John Fleck,0,0,0,0,1,0,0,0,79,1,1,0,0.0,0.0,0.1,4,0,62,67,92.5,11,40,3,3,1,62,67,92.5,750,296,41,42,97.6,13,14,92.9,3,4,75.0,0,0.1,0.1,2,6,2,0,11,67,61,6,2,0,0,3,1,3,1,0,0,62,0,1,1,1,1,0,0,0,0,,0,0,0,0,1,2,0,0,79,1,7,35,39,2,79,3,1,33.3,2,66.7,40,188,80,3,4,0,1,1,54,3,0,0,0,0,1,0,3,1,1,0,0,0,10,1,0,100.0
