player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
14 Players,2,1,1,1,14,6,3,0,550,17,11,14,1.9,1.1,1.0,22,4,312,424,73.6,28,280,16,18,11,312,424,73.6,5371,2153,151,173,87.3,116,148,78.4,32,72,44.4,1,1.0,0.5,10,15,9,0,28,424,373,49,18,0,0,10,19,3,0,2,0,312,2,5,17,10,10,5,2,10,20,50.0,10,14,1,13,11,28,24,1,550,70,225,227,107,24,549,18,11,61.1,7,38.9,280,1720,898,16,14,6,14,9,312,28,3,0,0,11,17,2,10,11,10,1,0,0,50,16,22,42.1
Che Adams,1,0,0,0,3,3,0,0,27,1,0,2,0.4,0.4,0.0,0,0,9,14,64.3,4,14,2,2,1,9,14,64.3,189,69,3,4,75.0,4,5,80.0,2,2,100.0,0,0.0,0.1,1,2,2,0,4,14,14,0,0,0,0,0,0,0,0,0,0,9,0,0,1,1,0,0,1,0,0,,0,2,0,2,0,1,0,0,27,0,1,10,16,4,27,2,1,50.0,1,50.0,14,81,37,2,0,2,1,3,19,1,0,0,0,1,1,1,0,0,1,0,0,0,3,3,3,50.0
Danny Ings,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,2,2,100.0,1,0,0,0,0,2,2,100.0,31,8,1,1,100.0,1,1,100.0,0,0,,0,0.0,0.0,0,1,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
Fraser Forster,0,0,0,0,0,0,0,0,47,0,0,0,0.0,0.0,0.0,0,0,22,43,51.2,0,24,0,0,0,22,43,51.2,709,575,3,3,100.0,8,8,100.0,10,31,32.3,0,0.0,0.0,0,0,0,0,0,43,26,17,9,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,47,32,45,2,0,0,47,0,0,,0,,24,106,62,0,0,0,0,0,19,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,
Ibrahima Diallo,0,0,0,0,0,0,0,0,62,2,0,0,0.0,0.0,0.1,3,1,47,54,87.0,5,34,1,1,0,47,54,87.0,766,289,22,25,88.0,18,20,90.0,2,4,50.0,0,0.1,0.1,2,4,2,0,5,54,52,2,2,0,0,0,0,0,0,0,0,47,0,0,2,1,1,1,0,1,1,100.0,0,0,0,0,0,2,1,1,62,3,19,39,5,1,62,1,0,0.0,1,100.0,34,173,95,1,1,0,2,1,42,0,0,0,0,0,3,0,0,0,1,0,0,0,5,1,2,33.3
James Ward-Prowse,1,0,1,1,0,0,0,0,69,1,0,0,0.8,0.0,0.0,1,0,50,59,84.7,2,30,0,2,2,50,59,84.7,718,229,29,31,93.5,19,21,90.5,1,5,20.0,0,0.0,0.0,0,2,0,0,2,59,54,4,2,0,0,4,0,2,0,2,0,50,1,0,1,1,1,0,0,1,3,33.3,2,0,0,0,0,1,2,0,69,4,30,31,9,1,68,2,2,100.0,0,0.0,30,121,56,0,1,0,1,0,48,1,0,0,0,3,2,0,4,0,1,0,0,0,6,2,1,66.7
Jan Bednarek,0,0,0,0,0,0,0,0,68,3,4,4,0.0,0.0,0.0,0,0,29,47,61.7,1,31,0,0,0,29,47,61.7,490,150,16,18,88.9,11,17,64.7,2,7,28.6,0,0.0,0.0,0,0,0,0,1,47,45,2,1,0,0,0,1,0,0,0,0,29,0,3,3,1,2,1,0,2,3,66.7,1,4,1,3,4,7,7,0,68,15,44,24,0,0,68,0,0,,0,,31,109,42,0,0,0,0,0,29,0,0,0,0,2,0,0,0,4,1,0,0,0,4,4,6,40.0
Jannik Vestergaard,0,0,0,0,0,0,1,0,48,1,1,2,0.0,0.0,0.0,0,0,31,37,83.8,1,22,0,1,1,31,37,83.8,477,215,16,16,100.0,14,14,100.0,1,6,16.7,0,0.0,0.0,0,1,0,0,1,37,36,1,1,0,0,0,0,0,0,0,0,31,0,0,1,0,0,1,0,1,1,100.0,0,2,0,2,1,2,6,0,48,9,28,18,3,2,48,1,1,100.0,0,0.0,22,97,57,0,0,0,0,0,29,1,1,0,0,0,0,0,0,1,0,0,0,0,2,3,2,60.0
Kyle Walker-Peters,0,0,0,0,0,0,0,0,54,1,1,1,0.0,0.0,0.1,1,0,35,47,74.5,2,24,1,3,3,35,47,74.5,591,158,16,19,84.2,11,19,57.9,5,5,100.0,0,0.1,0.0,1,1,0,0,2,47,37,10,0,0,0,3,10,0,0,0,0,35,0,0,1,0,1,0,0,0,0,,0,1,0,1,1,2,1,0,54,2,21,28,7,4,54,3,3,100.0,0,0.0,24,165,85,1,1,0,2,2,25,3,0,0,0,1,1,0,3,1,0,0,0,0,8,0,3,0.0
Moussa Djenepo,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,1,0,1,0,0,1,0.0,0,0,0,0,,0,1,0.0,0,0,,0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,2,0,0,0,2,1,2,1,0,0.0,1,100.0,1,12,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
