player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
14 Players,2,2,0,0,14,6,2,0,765,20,10,6,1.3,1.3,1.1,27,4,524,651,80.5,59,505,27,17,10,524,651,80.5,9219,3095,235,264,89.0,238,281,84.7,47,93,50.5,2,1.1,1.3,12,49,13,1,59,651,596,55,11,0,6,27,28,9,8,1,0,524,0,8,20,11,9,8,3,11,13,84.6,2,6,2,4,10,30,23,0,765,52,187,340,246,29,765,17,10,58.8,7,41.2,505,2149,1283,27,19,6,11,11,523,59,2,0,0,11,9,0,27,10,11,0,0,0,51,27,29,48.2
Aaron Ramsdale,0,0,0,0,0,0,0,0,26,0,0,0,0.0,0.0,0.0,0,0,14,23,60.9,0,13,0,0,0,14,23,60.9,309,156,1,1,100.0,11,11,100.0,2,11,18.2,0,0.0,0.0,0,0,0,0,0,23,15,8,3,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,26,22,26,0,0,0,26,0,0,,0,,13,77,19,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,100.0
Billy Sharp,1,0,0,0,2,1,0,0,24,3,0,0,0.5,0.5,0.0,0,0,8,13,61.5,1,14,1,0,0,8,13,61.5,105,6,4,5,80.0,3,5,60.0,0,0,,0,0.0,0.0,0,0,0,0,1,13,13,0,0,0,0,2,0,0,0,0,0,8,0,2,3,1,0,2,1,2,2,100.0,0,0,0,0,0,3,0,0,24,0,1,7,16,4,24,0,0,,0,,14,50,15,1,0,1,2,1,16,7,0,0,0,0,2,0,2,0,1,0,0,0,4,3,4,42.9
Chris Basham,0,1,0,0,0,0,0,0,105,5,2,1,0.0,0.0,0.1,3,2,75,87,86.2,9,68,5,3,2,75,87,86.2,1369,582,36,41,87.8,30,34,88.2,9,12,75.0,1,0.1,0.1,2,5,2,0,9,87,76,11,2,0,1,2,9,0,0,0,0,75,0,0,5,2,4,1,0,3,3,100.0,0,1,1,0,2,7,5,0,105,11,41,39,27,5,105,3,2,66.7,1,33.3,68,283,198,5,2,1,0,4,59,2,0,0,0,1,0,0,2,2,2,0,0,0,8,4,0,100.0
David McGoldrick,0,0,0,0,3,2,1,0,53,1,0,1,0.1,0.1,0.0,2,0,34,43,79.1,6,34,1,5,4,34,43,79.1,596,129,16,20,80.0,14,17,82.4,3,5,60.0,0,0.0,0.0,0,5,1,0,6,43,42,1,0,0,0,0,1,0,0,0,0,34,0,0,1,1,0,1,0,1,1,100.0,0,1,0,1,0,1,2,0,53,1,4,29,22,0,53,5,4,80.0,1,20.0,34,156,68,1,2,0,1,0,39,8,1,0,0,1,1,0,0,0,1,0,0,0,3,2,4,33.3
Ethan Ampadu,0,0,0,0,2,1,0,0,116,2,3,3,0.1,0.1,0.0,0,0,83,99,83.8,10,66,5,1,0,83,99,83.8,1534,622,30,34,88.2,44,50,88.0,9,14,64.3,0,0.0,0.0,0,7,2,0,10,99,94,5,1,0,1,0,4,0,0,0,0,83,0,1,2,2,2,0,0,1,2,50.0,1,3,1,2,3,5,4,0,116,4,26,63,28,1,116,1,0,0.0,1,100.0,66,442,319,5,4,0,1,0,80,4,0,0,0,0,1,0,0,3,2,0,0,0,5,7,2,77.8
George Baldock,0,0,0,0,0,0,0,0,21,0,0,0,0.0,0.0,0.0,0,0,16,19,84.2,0,14,2,0,0,16,19,84.2,163,28,16,17,94.1,0,2,0.0,0,0,,0,0.0,0.0,0,1,0,0,0,19,13,6,0,0,0,1,6,0,0,0,0,16,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,21,0,2,9,11,0,21,0,0,,0,,14,71,43,2,0,0,1,0,14,3,0,0,0,2,1,0,1,0,0,0,0,0,1,0,0,
Jayden Bogle,1,0,0,0,3,1,0,0,49,1,1,0,0.2,0.2,0.0,3,0,30,32,93.8,5,30,2,1,0,30,32,93.8,515,210,17,17,100.0,10,11,90.9,3,3,100.0,0,0.0,0.0,1,4,2,0,5,32,26,6,0,0,0,0,6,0,0,0,0,30,0,1,1,1,1,0,0,1,1,100.0,0,0,0,0,1,2,2,0,49,2,7,13,29,4,49,1,0,0.0,1,100.0,30,86,48,2,1,1,3,3,31,11,0,0,0,1,2,0,0,1,1,0,0,0,1,4,4,50.0
John Egan,0,1,0,0,0,0,0,0,84,1,2,0,0.0,0.0,0.4,1,1,66,77,85.7,3,63,1,0,0,66,77,85.7,1271,545,19,21,90.5,38,41,92.7,8,13,61.5,1,0.4,0.3,1,4,1,0,3,77,75,2,1,0,0,0,1,0,0,0,0,66,0,0,1,1,0,1,0,0,0,,0,0,0,0,2,3,2,0,84,5,38,43,4,3,84,0,0,,0,,63,308,214,1,1,0,1,0,55,1,0,0,0,1,0,0,0,2,1,0,0,0,12,1,3,25.0
John Fleck,0,0,0,0,1,1,1,0,95,3,1,0,0.0,0.0,0.2,8,1,67,88,76.1,17,69,6,0,0,67,88,76.1,997,313,37,39,94.9,28,36,77.8,1,11,9.1,0,0.2,0.3,2,12,2,0,17,88,80,8,2,0,0,10,0,5,5,0,0,67,0,1,3,2,0,3,0,1,1,100.0,0,0,0,0,1,4,2,0,95,2,10,43,42,4,95,0,0,,0,,69,276,192,6,6,1,0,1,70,5,1,0,0,2,2,0,10,1,2,0,0,0,5,0,3,0.0
