player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
13 Players,0,0,0,0,9,1,2,0,620,16,9,9,1.0,1.0,1.0,16,0,405,533,76.0,56,296,6,13,6,405,533,76.0,7556,2643,177,210,84.3,170,199,85.4,50,93,53.8,0,1.0,1.1,8,52,13,1,56,533,478,51,7,0,2,43,23,12,3,5,4,405,4,11,16,9,4,10,2,8,22,36.4,14,9,2,7,9,25,11,0,620,32,108,248,268,28,620,13,6,46.2,7,53.8,296,1368,681,6,16,2,11,7,400,56,2,0,0,13,7,4,43,9,9,0,0,0,46,30,28,51.7
Aaron Ramsdale,0,0,0,0,0,0,0,0,26,0,0,0,0.0,0.0,0.0,0,0,14,24,58.3,0,12,0,0,0,14,24,58.3,591,557,2,2,100.0,5,5,100.0,7,17,41.2,0,0.0,0.0,0,4,0,0,0,24,17,7,1,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,26,20,25,1,0,0,26,0,0,,0,,12,64,32,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
Billy Sharp,0,0,0,0,1,0,0,0,27,1,0,2,0.7,0.7,0.0,0,0,13,18,72.2,0,12,0,2,1,13,18,72.2,182,17,6,9,66.7,6,7,85.7,0,0,,0,0.0,0.0,0,0,0,0,0,18,15,3,0,0,0,1,0,0,0,0,0,13,0,1,1,0,0,1,0,0,0,,0,2,0,2,0,1,0,0,27,0,2,5,20,8,27,2,1,50.0,1,50.0,12,101,0,0,1,0,3,3,21,14,0,0,0,0,2,3,1,0,0,0,0,0,0,2,1,66.7
Chris Basham,0,0,0,0,0,0,0,0,41,3,1,0,0.0,0.0,0.0,1,0,26,30,86.7,2,16,1,0,0,26,30,86.7,363,93,16,17,94.1,10,12,83.3,0,1,0.0,0,0.0,0.0,0,2,0,0,2,30,29,1,0,0,0,1,1,0,0,0,0,26,0,0,3,3,1,2,0,2,2,100.0,0,0,0,0,1,4,3,0,41,3,9,26,6,1,41,0,0,,0,,16,70,40,1,0,0,2,0,20,1,0,0,0,1,0,0,1,1,3,0,0,0,4,4,2,66.7
David McGoldrick,0,0,0,0,1,0,0,0,24,0,0,0,0.0,0.0,0.0,0,0,16,22,72.7,2,14,0,1,1,16,22,72.7,242,19,8,11,72.7,4,5,80.0,2,3,66.7,0,0.0,0.0,0,1,0,0,2,22,20,2,1,0,0,2,1,0,0,0,0,16,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,24,0,0,7,17,0,24,1,1,100.0,0,0.0,14,71,21,0,0,0,1,1,21,3,0,0,0,1,0,0,2,0,0,0,0,0,1,1,1,50.0
Enda Stevens,0,0,0,0,1,0,0,0,74,3,1,2,0.1,0.1,0.0,1,0,55,62,88.7,8,36,1,3,2,55,62,88.7,1065,441,24,26,92.3,20,21,95.2,10,13,76.9,0,0.0,0.1,0,10,5,0,8,62,51,10,0,0,0,1,10,0,0,0,0,55,1,0,3,1,0,3,0,2,5,40.0,3,2,0,2,1,4,2,0,74,2,13,33,30,2,74,3,2,66.7,1,33.3,36,144,85,1,3,0,1,1,40,2,0,0,0,1,0,0,1,1,1,0,0,0,8,1,1,50.0
George Baldock,0,0,0,0,1,0,0,0,57,0,1,0,0.0,0.0,0.7,1,0,45,53,84.9,6,28,0,1,0,45,53,84.9,708,200,24,26,92.3,20,20,100.0,1,5,20.0,0,0.7,0.5,1,2,0,0,6,53,46,7,0,0,0,6,7,0,0,0,0,45,0,3,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0,57,0,5,19,33,5,57,1,0,0.0,1,100.0,28,103,37,0,1,0,0,0,37,10,0,0,0,4,1,0,6,1,0,0,0,0,6,1,0,100.0
Jack O'Connell,0,0,0,0,0,0,0,0,63,2,1,2,0.0,0.0,0.0,0,0,39,53,73.6,5,27,0,1,0,39,53,73.6,673,223,17,18,94.4,16,21,76.2,5,11,45.5,0,0.0,0.0,0,4,1,0,5,53,53,0,0,0,0,1,0,0,0,0,0,39,0,1,2,1,0,1,1,0,1,0.0,1,2,2,0,1,3,0,0,63,1,19,30,14,0,63,1,0,0.0,1,100.0,27,104,64,0,3,1,2,0,44,1,0,0,0,0,0,1,1,1,1,0,0,0,5,1,6,14.3
John Egan,0,0,0,0,1,0,1,0,57,1,0,0,0.0,0.0,0.0,0,0,33,48,68.8,6,34,0,0,0,33,48,68.8,702,292,8,15,53.3,22,24,91.7,3,7,42.9,0,0.0,0.0,0,7,0,0,6,48,47,0,0,0,0,1,0,0,0,0,0,33,1,0,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,3,0,57,3,17,35,5,2,57,0,0,,0,,34,171,136,0,0,0,0,0,33,0,1,0,0,2,0,0,1,0,0,0,0,0,4,4,1,80.0
John Fleck,0,0,0,0,1,0,0,0,56,2,1,1,0.0,0.0,0.1,4,0,31,47,66.0,5,22,0,3,1,31,47,66.0,485,181,19,23,82.6,9,14,64.3,3,6,50.0,0,0.1,0.1,2,8,1,0,5,47,39,7,1,0,0,9,1,5,1,0,4,31,1,1,2,2,1,1,0,1,6,16.7,5,1,0,1,1,3,0,0,56,0,5,19,32,5,56,3,1,33.3,2,66.7,22,111,58,0,3,1,1,2,30,7,0,0,0,1,0,0,9,1,2,0,0,0,4,0,2,0.0
