player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
14 Players,0,0,0,0,18,3,0,0,572,23,13,18,1.6,1.6,0.8,30,0,348,437,79.6,33,250,22,23,9,348,437,79.6,5447,2243,186,215,86.5,126,147,85.7,24,54,44.4,0,0.8,0.6,12,30,9,1,33,437,388,47,12,0,2,16,21,4,0,4,0,348,2,6,23,15,7,14,2,10,17,58.8,7,18,2,16,13,36,13,0,572,54,161,255,167,20,572,23,9,39.1,14,60.9,250,1910,1104,22,23,3,15,21,345,33,0,0,0,10,12,2,16,13,15,0,0,0,59,10,16,38.5
Alex McCarthy,0,0,0,0,0,0,0,0,38,0,0,0,0.0,0.0,0.0,0,0,27,33,81.8,0,12,0,0,0,27,33,81.8,426,300,10,10,100.0,8,8,100.0,4,10,40.0,0,0.0,0.0,0,0,0,0,0,33,23,10,3,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,38,28,38,0,0,0,38,0,0,,0,,12,51,41,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Che Adams,0,0,0,0,2,2,0,0,17,0,0,0,0.7,0.7,0.0,3,0,7,11,63.6,1,8,1,0,0,7,11,63.6,79,13,4,5,80.0,2,2,100.0,0,2,0.0,0,0.0,0.0,0,0,1,0,1,11,10,0,0,0,0,1,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,17,0,0,7,11,1,17,0,0,,0,,8,43,20,1,1,0,2,1,12,3,0,0,0,1,1,0,1,0,0,0,0,0,1,1,3,25.0
Danny Ings,0,0,0,0,3,0,0,0,26,0,0,1,0.1,0.1,0.0,2,0,15,17,88.2,5,12,1,2,1,15,17,88.2,241,90,6,6,100.0,9,11,81.8,0,0,,0,0.0,0.0,0,2,1,0,5,17,17,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,26,0,0,12,14,3,26,2,1,50.0,1,50.0,12,53,11,1,0,0,3,1,22,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,40.0
Ibrahima Diallo,0,0,0,0,0,0,0,0,16,0,0,0,0.0,0.0,0.1,1,0,16,16,100.0,2,7,0,0,0,16,16,100.0,251,74,8,8,100.0,7,7,100.0,1,1,100.0,0,0.1,0.0,1,3,0,0,2,16,16,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,16,0,2,9,5,0,16,0,0,,0,,7,26,7,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jack Stephens,0,0,0,0,1,1,0,0,68,3,2,0,0.3,0.3,0.1,4,0,46,55,83.6,5,35,5,2,1,46,55,83.6,774,415,22,25,88.0,21,23,91.3,3,7,42.9,0,0.1,0.0,2,8,0,0,5,55,53,2,2,0,0,0,0,0,0,0,0,46,0,0,3,2,0,3,0,2,2,100.0,0,0,0,0,2,5,2,0,68,2,20,41,8,1,68,2,1,50.0,1,50.0,35,412,291,5,3,0,1,1,47,0,0,0,0,0,0,0,0,2,2,0,0,0,6,1,0,100.0
James Ward-Prowse,0,0,0,0,3,0,0,0,68,4,2,1,0.1,0.1,0.1,5,0,42,56,75.0,6,21,3,2,2,42,56,75.0,764,286,21,25,84.0,15,17,88.2,5,12,41.7,0,0.1,0.1,2,7,0,0,6,56,45,11,6,0,2,10,0,4,0,4,0,42,0,0,4,2,0,4,0,0,1,0.0,1,1,0,1,2,6,1,0,68,1,7,44,19,0,68,2,2,100.0,0,0.0,21,140,78,3,4,0,1,3,37,0,0,0,0,1,1,0,10,2,2,0,0,0,9,0,0,
Jannik Vestergaard,0,0,0,0,1,0,0,0,69,1,1,1,0.0,0.0,0.0,2,0,43,59,72.9,3,37,2,0,0,43,59,72.9,856,432,20,21,95.2,17,23,73.9,6,13,46.2,0,0.0,0.0,1,4,1,0,3,59,58,0,0,0,0,0,0,0,0,0,0,43,1,1,1,1,1,0,0,0,0,,0,1,0,1,1,2,4,0,69,12,42,25,4,1,69,0,0,,0,,37,378,281,2,3,0,1,1,46,0,0,0,0,0,0,0,0,1,1,0,0,0,7,1,1,50.0
Kyle Walker-Peters,0,0,0,0,0,0,0,0,70,2,1,4,0.0,0.0,0.0,1,0,43,55,78.2,2,28,3,4,2,43,55,78.2,570,221,25,30,83.3,15,20,75.0,1,2,50.0,0,0.0,0.0,0,1,1,0,2,55,37,18,1,0,0,1,17,0,0,0,0,43,0,1,2,1,0,2,0,1,1,100.0,0,4,1,3,1,3,0,0,70,2,13,35,22,3,70,4,2,50.0,2,50.0,28,153,49,3,1,2,2,3,34,6,0,0,0,4,3,1,1,1,1,0,0,0,7,1,1,50.0
Mohammed Salisu,0,0,0,0,0,0,0,0,36,4,4,2,0.0,0.0,0.3,1,0,19,23,82.6,0,12,0,0,0,19,23,82.6,256,76,12,14,85.7,5,6,83.3,1,1,100.0,0,0.3,0.0,1,2,0,0,0,23,23,0,0,0,0,0,0,0,0,0,0,19,0,1,4,3,1,3,0,2,2,100.0,0,2,0,2,4,8,1,0,36,3,9,24,3,1,36,0,0,,0,,12,93,48,0,0,0,0,0,14,2,0,0,0,1,0,0,0,4,3,0,0,0,5,3,2,60.0
