player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
14 Players,2,1,1,1,9,3,2,0,600,9,13,7,1.2,0.4,0.3,14,3,365,498,73.3,31,333,19,26,8,365,498,73.3,6767,2488,140,173,80.9,162,195,83.1,49,89,55.1,1,0.3,0.2,7,23,4,1,31,498,444,53,15,0,7,19,27,6,2,0,1,365,1,16,9,2,4,4,1,6,15,40.0,9,7,1,6,13,22,14,0,600,46,177,296,132,14,599,26,8,30.8,18,69.2,333,1653,721,19,11,4,10,5,360,29,2,0,0,9,8,1,19,13,2,0,0,0,61,18,17,51.4
Adama Traoré,0,0,0,0,1,0,0,0,45,0,1,2,0.0,0.0,0.0,2,0,15,24,62.5,3,24,6,12,5,15,24,62.5,223,47,8,12,66.7,7,9,77.8,0,0,,0,0.0,0.0,1,0,1,0,3,24,24,0,0,0,0,2,0,0,0,0,0,15,0,1,0,0,0,0,0,0,1,0.0,1,2,0,2,1,1,2,0,45,1,3,24,19,3,45,12,5,41.7,7,58.3,24,239,113,6,2,2,6,0,29,7,0,0,0,0,0,0,2,1,0,0,0,0,7,4,4,50.0
Conor Coady,0,0,0,0,0,0,0,0,62,0,2,1,0.0,0.0,0.0,0,0,53,57,93.0,1,46,0,0,0,53,57,93.0,1274,506,9,9,100.0,28,30,93.3,16,18,88.9,0,0.0,0.0,0,2,0,0,1,57,54,3,3,0,1,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,,0,1,1,0,2,2,3,0,62,10,37,26,0,0,62,0,0,,0,,46,171,50,0,0,0,0,0,42,0,0,0,0,0,0,0,0,2,0,0,0,0,9,0,0,
Fernando Marçal,0,0,0,0,0,0,0,0,13,0,0,0,0.0,0.0,0.0,0,0,9,13,69.2,1,4,0,0,0,9,13,69.2,171,82,3,3,100.0,5,5,100.0,1,2,50.0,0,0.0,0.0,0,0,0,0,1,13,8,5,0,0,1,0,5,0,0,0,0,9,0,3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,13,0,1,7,5,0,13,0,0,,0,,4,17,3,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,
Fábio Silva,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,0,0,0,0,1,2,50.0,7,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
Jonny Castro,0,0,0,0,0,0,0,0,54,1,0,0,0.0,0.0,0.0,0,0,34,47,72.3,3,26,3,4,1,34,47,72.3,415,120,25,30,83.3,6,9,66.7,2,3,66.7,0,0.0,0.0,1,2,0,0,3,47,34,13,2,0,0,3,11,0,0,0,0,34,0,3,1,0,0,1,0,0,1,0.0,1,0,0,0,0,1,0,0,54,1,10,26,18,3,54,4,1,25.0,3,75.0,26,110,47,3,0,1,0,1,30,4,0,0,0,0,1,0,3,0,0,0,0,0,4,1,1,50.0
João Moutinho,0,0,0,0,1,0,0,0,56,0,3,0,0.0,0.0,0.0,3,0,37,52,71.2,3,29,0,0,0,37,52,71.2,521,114,18,24,75.0,13,17,76.5,2,7,28.6,0,0.0,0.0,0,4,0,0,3,52,46,6,2,0,0,5,0,4,1,0,1,37,0,0,0,0,0,0,0,0,3,0.0,3,0,0,0,3,3,1,0,56,2,6,33,18,0,56,0,0,,0,,29,118,31,0,2,0,0,0,34,3,0,0,0,1,2,0,5,3,0,0,0,0,5,2,1,66.7
Leander Dendoncker,0,0,0,0,0,0,0,0,73,3,1,0,0.0,0.0,0.0,0,0,49,61,80.3,4,43,1,0,0,49,61,80.3,987,373,16,20,80.0,23,25,92.0,7,12,58.3,0,0.0,0.0,0,1,0,0,4,61,60,1,1,0,3,0,0,0,0,0,0,49,0,1,3,1,1,2,0,3,3,100.0,0,0,0,0,1,4,4,0,73,7,28,45,0,0,73,0,0,,0,,43,170,81,1,0,0,1,0,46,0,0,0,0,0,0,1,0,1,1,0,0,0,4,2,1,66.7
Max Kilman,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,1,0,0,0,0,1,0.0,0,0,0,0,,0,0,,0,1,0.0,0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,,0,,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Nélson Semedo,0,0,0,0,1,0,0,0,61,1,1,1,0.0,0.0,0.0,2,1,32,50,64.0,2,35,3,2,0,32,50,64.0,471,76,19,21,90.5,11,18,61.1,1,5,20.0,0,0.0,0.0,1,1,1,0,2,50,40,10,0,0,0,1,10,0,0,0,0,32,0,3,1,0,1,0,0,1,2,50.0,1,1,0,1,1,2,1,0,61,0,13,32,16,2,61,2,0,0.0,2,100.0,35,142,75,3,2,1,1,1,33,5,0,0,0,0,2,0,1,1,0,0,0,0,5,1,2,33.3
