player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
14 Players,1,1,0,0,15,4,2,0,616,13,13,8,1.1,1.1,0.8,29,2,391,504,77.6,42,349,27,28,18,391,504,77.6,6917,2523,166,199,83.4,161,189,85.2,45,74,60.8,1,0.8,0.5,12,26,8,2,42,504,467,35,14,0,3,20,8,5,2,1,0,391,2,14,13,7,5,7,1,4,17,23.5,13,8,3,5,13,26,20,0,616,58,173,308,138,20,616,28,18,64.3,10,35.7,349,2146,1053,27,18,4,18,4,386,41,2,0,0,15,13,2,20,13,7,0,0,0,60,24,19,55.8
Aboubakar Kamara,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.1,2,0,3,3,100.0,0,4,2,2,1,3,3,100.0,57,3,1,1,100.0,0,0,,1,1,100.0,0,0.1,0.0,1,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,5,0,0,2,3,0,5,2,1,50.0,1,50.0,4,39,21,2,1,0,1,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,50.0
Ademola Lookman,0,1,0,0,0,0,0,0,22,0,0,0,0.0,0.0,0.5,3,1,13,17,76.5,3,17,4,2,1,13,17,76.5,204,130,6,7,85.7,3,5,60.0,2,2,100.0,1,0.5,0.1,3,1,2,1,3,17,16,1,0,0,0,2,0,1,1,0,0,13,0,1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,22,0,2,10,10,2,22,2,1,50.0,1,50.0,17,142,100,4,4,1,3,1,19,5,0,0,0,2,1,0,2,0,0,0,0,0,3,0,0,
Alphonse Areola,0,0,0,0,0,0,0,0,29,0,0,0,0.0,0.0,0.0,0,0,16,26,61.5,0,16,0,0,0,16,26,61.5,565,423,2,2,100.0,4,4,100.0,10,20,50.0,0,0.0,0.0,0,0,0,0,0,26,17,9,3,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,29,24,28,1,0,0,29,0,0,,0,,16,90,63,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0
Andre-Frank Zambo Anguissa,0,0,0,0,2,2,1,0,53,2,2,0,0.0,0.0,0.0,3,0,32,38,84.2,3,30,1,9,6,32,38,84.2,425,111,21,24,87.5,9,11,81.8,1,1,100.0,0,0.0,0.0,1,2,0,0,3,38,38,0,0,0,0,0,0,0,0,0,0,32,0,0,2,1,1,1,0,0,0,,0,0,0,0,2,4,0,0,53,3,10,34,9,1,53,9,6,66.7,3,33.3,30,199,64,1,0,0,1,0,28,3,1,0,0,1,1,0,0,2,1,0,0,0,6,2,6,25.0
Antonee Robinson,0,0,0,0,2,0,0,0,75,1,3,2,0.1,0.1,0.1,4,1,42,64,65.6,4,46,7,4,3,42,64,65.6,647,200,22,26,84.6,17,24,70.8,3,7,42.9,0,0.1,0.0,2,4,0,0,4,64,59,5,1,0,0,7,4,0,0,0,0,42,0,4,1,1,0,1,0,0,1,0.0,1,2,0,2,3,4,0,0,75,0,17,36,24,2,75,4,3,75.0,1,25.0,46,399,170,7,4,1,2,1,52,8,0,0,0,1,0,0,7,3,1,0,0,0,7,4,2,66.7
Bobby Reid,0,0,0,0,2,0,0,0,38,1,0,0,0.1,0.1,0.1,2,0,27,32,84.4,2,23,2,3,3,27,32,84.4,394,137,11,13,84.6,10,10,100.0,2,2,100.0,0,0.1,0.1,1,1,1,0,2,32,30,1,0,0,0,1,0,0,0,0,0,27,1,2,1,1,0,0,1,0,0,,0,0,0,0,0,1,2,0,38,1,5,18,15,4,38,3,3,100.0,0,0.0,23,91,48,2,1,1,2,1,27,7,0,0,0,0,1,0,1,0,1,0,0,0,6,1,2,33.3
Harrison Reed,0,0,0,0,0,0,0,0,62,6,3,2,0.0,0.0,0.0,2,0,46,50,92.0,9,26,1,0,0,46,50,92.0,826,240,19,19,100.0,21,23,91.3,5,7,71.4,0,0.0,0.1,1,4,1,0,9,50,47,3,2,0,0,0,0,1,0,0,0,46,0,0,6,2,1,5,0,2,5,40.0,3,2,1,1,3,9,1,0,62,3,11,40,11,0,62,0,0,,0,,26,103,60,1,1,0,1,0,31,1,0,0,0,6,1,0,0,3,2,0,0,0,9,1,2,33.3
Ivan Cavaleiro,1,0,0,0,2,1,0,0,45,0,2,1,0.1,0.1,0.0,4,0,25,37,67.6,2,25,3,1,1,25,37,67.6,345,54,10,14,71.4,10,14,71.4,1,5,20.0,0,0.0,0.1,1,0,1,0,2,37,30,7,3,0,0,6,0,3,1,1,0,25,0,1,0,0,0,0,0,0,1,0.0,1,1,0,1,2,2,0,0,45,0,3,23,19,1,45,1,1,100.0,0,0.0,25,214,68,3,2,0,3,0,31,9,0,0,0,0,3,2,6,2,0,0,0,0,2,0,1,0.0
Joachim Andersen,0,0,0,0,0,0,1,0,66,0,0,1,0.0,0.0,0.0,2,0,47,59,79.7,6,41,1,0,0,47,59,79.7,1047,412,11,16,68.8,29,33,87.9,7,9,77.8,0,0.0,0.0,0,4,0,0,6,59,58,1,1,0,1,0,0,0,0,0,0,47,0,1,0,0,0,0,0,0,1,0.0,1,1,1,0,0,0,3,0,66,6,25,35,6,2,66,0,0,,0,,41,254,154,1,1,0,0,0,44,1,1,0,0,1,2,0,0,0,0,0,0,0,6,4,1,80.0
