,minute,player,squad,xg,psxg,outcome,distance,body part,notes,sca_1_player,sca_1_event,sca_2_player,sca_2_event
0,5,Anwar El Ghazi,Aston Villa,0.49,0.8,Goal,2.0,Right Foot,Volley,Bertrand Traoré,Pass (Live),Ollie Watkins,Pass (Live)
1,15,John McGinn,Aston Villa,0.03,,Off Target,28.0,Left Foot,,Jack Grealish,Pass (Live),Bertrand Traoré,Pass (Live)
2,21,John McGinn,Aston Villa,0.04,,Off Target,12.0,Head,,Bertrand Traoré,Pass (Dead),Anwar El Ghazi,Fouled
3,24,Ollie Watkins,Aston Villa,0.05,,Off Target,8.0,Head,,Matty Cash,Pass (Live),Bertrand Traoré,Pass (Live)
4,40,Matt Phillips,West Brom,0.05,0.28,Saved,34.0,Right Foot,Free kick,Grady Diangana,Fouled,Matt Phillips,Pass (Live)
5,45+2,Anwar El Ghazi,Aston Villa,0.08,,Blocked,28.0,Right Foot,Free kick,Bertrand Traoré,Fouled,Douglas Luiz,Pass (Live)
6,,,,,,,,,,,,,
7,47,Anwar El Ghazi,Aston Villa,0.02,0.02,Saved,33.0,Right Foot,,Jack Grealish,Pass (Live),Tyrone Mings,Pass (Live)
8,48,Jack Grealish,Aston Villa,0.04,0.19,Saved,17.0,Right Foot,,Douglas Luiz,Pass (Live),Ollie Watkins,Pass (Live)
9,51,John McGinn,Aston Villa,0.32,,Off Target,11.0,Head,,Jack Grealish,Pass (Live),Ollie Watkins,Pass (Live)
10,55,Anwar El Ghazi,Aston Villa,0.03,,Blocked,30.0,Right Foot,,Tyrone Mings,Pass (Live),Douglas Luiz,Pass (Live)
11,59,Anwar El Ghazi,Aston Villa,0.02,0.03,Saved,31.0,Right Foot,,Matt Targett,Pass (Live),Anwar El Ghazi,Pass (Live)
12,61,Ollie Watkins,Aston Villa,0.06,0.16,Saved,13.0,Left Foot,,Jack Grealish,Pass (Live),Douglas Luiz,Pass (Live)
13,71,Bertrand Traoré,Aston Villa,0.07,,Blocked,12.0,Left Foot,,Douglas Luiz,Pass (Live),Jack Grealish,Pass (Live)
14,75,Anwar El Ghazi,Aston Villa,0.07,0.13,Saved,16.0,Left Foot,,Matt Targett,Pass (Live),Ollie Watkins,Pass (Live)
15,84,Bertrand Traoré,Aston Villa,0.07,0.46,Goal,21.0,Left Foot,,Jack Grealish,Pass (Live),,
16,86,Bertrand Traoré,Aston Villa,0.05,0.07,Saved,11.0,Head,,Jack Grealish,Pass (Live),Anwar El Ghazi,Pass (Live)
17,88,Anwar El Ghazi (pen),Aston Villa,0.79,0.92,Goal,13.0,Right Foot,,Jack Grealish,Fouled,John McGinn,Pass (Live)
18,90,Anwar El Ghazi,Aston Villa,0.06,0.12,Saved,15.0,Right Foot,,Anwar El Ghazi,Take-On,Jack Grealish,Pass (Live)
19,90+3,Douglas Luiz,Aston Villa,0.02,,Off Target,32.0,Right Foot,,Jack Grealish,Pass (Live),Anwar El Ghazi,Pass (Live)
20,90+4,John McGinn,Aston Villa,0.05,,Off Target,21.0,Left Foot,,Jack Grealish,Pass (Live),John McGinn,Pass (Live)
