,minute,player,squad,xg,psxg,outcome,distance,body part,notes,sca_1_player,sca_1_event,sca_2_player,sca_2_event
0,10,Okay Yokuşlu,West Brom,0.02,,Off Target,35.0,Right Foot,Volley,Ainsley Maitland-Niles,Pass (Live),,
1,11,Kyle Bartley,West Brom,0.32,0.34,Goal,4.0,Head,,Conor Gallagher,Pass (Dead),Okay Yokuşlu,Shot
2,16,Aaron Connolly,Brighton,0.07,,Blocked,16.0,Right Foot,,Neal Maupay,Pass (Live),Leandro Trossard,Pass (Live)
3,19,Pascal Groß (pen),Brighton,0.79,,Woodwork,13.0,Right Foot,,,Fouled,Aaron Connolly,Shot
4,26,Mbaye Diagne,West Brom,0.14,,Off Target,6.0,Head,,Darnell Furlong,Pass (Live),Matheus Pereira,Pass (Live)
5,34,Lewis Dunk,Brighton,0.08,0.06,Saved,27.0,Right Foot,Free kick,Alexis Mac Allister,Fouled,Neal Maupay,Pass (Live)
6,35,Mbaye Diagne,West Brom,0.02,,Off Target,32.0,Left Foot,Volley,,,,
7,45+1,Aaron Connolly,Brighton,0.08,0.22,Saved,13.0,Right Foot,,Alexis Mac Allister,Pass (Live),Leandro Trossard,Pass (Live)
8,45+2,Neal Maupay,Brighton,0.13,,Off Target,9.0,Right Foot,,Pascal Groß,Pass (Live),Joël Veltman,Pass (Live)
9,45+4,Ainsley Maitland-Niles,West Brom,0.25,0.41,Saved,17.0,Right Foot,,Matheus Pereira,Pass (Live),Ainsley Maitland-Niles,Pass (Live)
10,45+4,Neal Maupay,Brighton,0.12,0.11,Saved,6.0,Right Foot,,,,,
11,,,,,,,,,,,,,
12,52,Neal Maupay,Brighton,0.06,0.33,Saved,12.0,Right Foot,,Adam Lallana,Pass (Live),Neal Maupay,Pass (Live)
13,52,Aaron Connolly,Brighton,0.55,,Off Target,8.0,Right Foot,Volley,Neal Maupay,Shot,,
14,53,Conor Gallagher,West Brom,0.04,,Blocked,15.0,Right Foot,,Matheus Pereira,Pass (Dead),Matheus Pereira,Fouled
15,59,Yves Bissouma,Brighton,0.03,,Off Target,30.0,Right Foot,,,,,
16,62,Joël Veltman,Brighton,0.11,,Off Target,7.0,Head,,Pascal Groß,Pass (Live),Leandro Trossard,Pass (Live)
17,67,Leandro Trossard,Brighton,0.06,0.18,Saved,21.0,Right Foot,,Neal Maupay,Pass (Live),Joël Veltman,Pass (Live)
18,75,Danny Welbeck (pen),Brighton,0.79,,Woodwork,13.0,Right Foot,,Pascal Groß,Fouled,Adam Lallana,Pass (Live)
19,77,Joël Veltman,Brighton,0.05,0.09,Saved,15.0,Right Foot,,Pascal Groß,Pass (Live),Danny Welbeck,Pass (Live)
20,77,Pascal Groß,Brighton,0.03,,Off Target,25.0,Left Foot,,Leandro Trossard,Pass (Live),Pascal Groß,Pass (Live)
21,90+3,Jakub Moder,Brighton,0.02,,Blocked,33.0,Right Foot,,Yves Bissouma,Pass (Live),Pascal Groß,Pass (Live)
