player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
14 Players,0,0,0,0,13,6,2,0,634,14,6,7,0.8,0.8,0.7,22,0,396,538,73.6,30,282,12,7,2,396,538,73.6,7216,2718,166,194,85.6,169,209,80.9,54,107,50.5,0,0.7,0.5,11,29,8,3,30,538,479,57,17,1,5,21,25,8,1,2,0,396,2,13,14,8,7,6,1,3,12,25.0,9,7,1,6,6,20,26,0,634,80,225,270,140,20,634,7,2,28.6,5,71.4,282,1511,715,12,7,3,15,8,393,30,2,0,0,15,16,2,21,6,8,0,0,0,50,28,25,52.8
Ahmed Hegazi,0,0,0,0,0,0,0,0,70,0,1,2,0.0,0.0,0.0,1,0,38,57,66.7,2,28,0,0,0,38,57,66.7,742,399,13,18,72.2,19,26,73.1,6,11,54.5,0,0.0,0.0,0,1,0,0,2,57,55,1,1,0,0,0,0,0,0,0,0,38,1,1,0,0,0,0,0,0,0,,0,2,0,2,1,1,7,0,70,15,52,19,0,0,70,0,0,,0,,28,102,33,0,0,0,3,0,32,0,0,0,0,0,0,0,0,1,0,0,0,0,8,5,2,71.4
Branislav Ivanović,0,0,0,0,3,1,0,0,65,1,1,0,0.4,0.4,0.0,1,0,34,48,70.8,0,14,0,0,0,34,48,70.8,653,239,10,11,90.9,21,23,91.3,2,13,15.4,0,0.0,0.0,0,0,0,0,0,48,46,2,2,0,0,0,0,0,0,0,0,34,0,0,1,1,1,0,0,0,0,,0,0,0,0,1,2,8,0,65,14,38,22,5,4,65,0,0,,0,,14,44,12,0,0,0,1,0,27,0,0,0,0,1,0,0,0,1,1,0,0,0,4,3,2,60.0
Callum Robinson,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,1,3,33.3,0,4,0,1,0,1,3,33.3,5,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,5,0,0,2,3,0,5,1,0,0.0,1,100.0,4,26,0,0,0,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,25.0
Conor Gallagher,0,0,0,0,1,0,0,0,51,4,0,1,0.0,0.0,0.1,2,0,36,41,87.8,6,24,0,1,0,36,41,87.8,663,181,18,18,100.0,12,14,85.7,6,7,85.7,0,0.1,0.0,2,4,1,0,6,41,41,0,0,0,2,2,0,0,0,0,0,36,0,1,4,1,1,3,0,0,3,0.0,3,1,0,1,0,4,1,0,51,1,9,31,11,0,51,1,0,0.0,1,100.0,24,143,62,0,0,0,1,2,35,5,0,0,0,1,2,0,2,0,1,0,0,0,5,2,3,40.0
Conor Townsend,0,0,0,0,1,1,0,0,72,1,0,1,0.0,0.0,0.1,2,0,54,69,78.3,3,30,1,0,0,54,69,78.3,869,432,29,33,87.9,22,28,78.6,3,7,42.9,0,0.1,0.1,2,3,1,1,3,69,60,9,0,0,0,1,9,0,0,0,0,54,0,1,1,1,1,0,0,1,1,100.0,0,1,1,0,0,1,1,0,72,2,22,36,14,2,72,0,0,,0,,30,107,77,1,0,0,1,0,52,2,0,0,0,1,2,0,1,0,1,0,0,0,3,5,2,71.4
Darnell Furlong,0,0,0,0,1,1,0,0,79,3,3,0,0.1,0.1,0.0,2,0,41,69,59.4,3,34,3,1,1,41,69,59.4,799,307,14,18,77.8,20,31,64.5,7,15,46.7,0,0.0,0.0,1,4,2,1,3,69,54,15,0,0,0,7,15,0,0,0,0,41,0,4,3,2,3,0,0,1,1,100.0,0,0,0,0,3,6,2,0,79,2,23,34,22,3,79,1,1,100.0,0,0.0,34,223,115,3,1,0,2,0,42,2,0,0,0,1,3,0,7,3,2,0,0,0,8,2,3,40.0
Filip Krovinović,0,0,0,0,1,0,0,0,66,2,0,0,0.0,0.0,0.0,2,0,55,63,87.3,6,36,0,0,0,55,63,87.3,888,220,22,25,88.0,26,29,89.7,4,4,100.0,0,0.0,0.0,0,8,0,0,6,63,60,3,2,0,1,1,1,0,0,0,0,55,0,1,2,1,1,0,1,0,1,0.0,1,0,0,0,0,2,1,0,66,0,9,40,17,1,66,0,0,,0,,36,181,81,0,0,0,0,0,54,3,0,0,0,2,2,0,1,0,1,0,0,0,6,1,1,50.0
Grady Diangana,0,0,0,0,1,1,0,0,40,1,0,0,0.0,0.0,0.0,4,0,24,32,75.0,1,31,3,3,1,24,32,75.0,329,63,16,21,76.2,5,5,100.0,2,3,66.7,0,0.0,0.0,1,3,0,0,1,32,30,1,0,0,0,1,0,1,0,0,0,24,1,1,1,1,0,1,0,1,2,50.0,1,0,0,0,0,1,0,0,40,0,3,16,21,1,40,3,1,33.3,2,66.7,31,149,73,3,3,0,2,5,41,12,0,0,0,3,4,0,1,0,1,0,0,0,1,3,2,60.0
Jake Livermore,0,0,0,0,0,0,1,0,46,2,1,0,0.0,0.0,0.0,0,0,34,41,82.9,3,22,0,0,0,34,41,82.9,648,164,11,14,78.6,18,20,90.0,5,6,83.3,0,0.0,0.0,0,2,0,0,3,41,41,0,0,0,1,0,0,0,0,0,0,34,0,0,2,1,0,2,0,0,2,0.0,2,0,0,0,1,3,2,0,46,3,14,29,3,1,46,0,0,,0,,22,129,66,0,0,0,0,0,31,0,1,0,0,3,1,0,0,1,1,0,0,0,3,4,2,66.7
Karlan Grant,0,0,0,0,1,0,0,0,23,0,0,0,0.1,0.1,0.1,1,0,11,16,68.8,0,6,1,0,0,11,16,68.8,130,12,8,9,88.9,3,5,60.0,0,0,,0,0.1,0.0,1,0,0,0,0,16,15,1,0,0,0,2,0,0,0,0,0,11,0,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,23,2,3,8,12,5,23,0,0,,0,,6,54,30,1,1,1,1,0,15,2,0,0,0,0,0,1,2,0,0,0,0,0,0,1,5,16.7
Matheus Pereira,0,0,0,0,3,2,0,0,58,0,0,2,0.1,0.1,0.3,7,0,37,48,77.1,5,25,3,0,0,37,48,77.1,664,236,17,18,94.4,10,15,66.7,8,12,66.7,0,0.3,0.3,4,2,4,1,5,48,35,13,6,1,0,7,0,7,1,2,0,37,0,1,0,0,0,0,0,0,2,0.0,2,2,0,2,0,0,0,0,58,0,5,24,29,2,58,0,0,,0,,25,164,65,3,2,1,2,0,34,2,0,0,0,2,1,1,7,0,0,0,0,0,10,0,0,
Matt Phillips,0,0,0,0,0,0,1,0,4,0,0,1,0.0,0.0,0.0,0,0,2,2,100.0,0,2,1,0,0,2,2,100.0,65,7,1,1,100.0,0,0,,1,1,100.0,0,0.0,0.0,0,1,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,4,0,0,2,2,1,4,0,0,,0,,2,28,20,1,0,1,1,0,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
Romaine Sawyers,0,0,0,0,1,0,0,0,10,0,0,0,0.0,0.0,0.0,0,0,5,7,71.4,1,3,0,1,0,5,7,71.4,97,60,2,3,66.7,2,2,100.0,1,1,100.0,0,0.0,0.0,0,1,0,0,1,7,6,1,1,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,10,0,2,7,1,0,10,1,0,0.0,1,100.0,3,13,4,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0
Sam Johnstone,0,0,0,0,0,0,0,0,45,0,0,0,0.0,0.0,0.0,0,0,24,42,57.1,0,23,0,0,0,24,42,57.1,664,398,4,4,100.0,11,11,100.0,9,27,33.3,0,0.0,0.0,0,0,0,0,0,42,31,11,5,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,45,41,45,0,0,0,45,0,0,,0,,23,148,77,0,0,0,0,0,16,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,
