player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
13 Players,0,0,0,1,12,2,2,0,596,12,5,6,1.8,1.0,0.7,23,0,402,500,80.4,37,329,12,13,9,402,500,80.4,6831,2340,181,202,89.6,173,199,86.9,32,59,54.2,0,0.7,1.0,8,28,13,6,37,500,453,45,10,0,0,19,17,5,1,1,0,402,2,7,12,7,7,5,0,7,12,58.3,5,6,1,5,5,17,24,0,596,60,173,265,163,22,595,13,9,69.2,4,30.8,329,1355,639,12,13,0,15,10,398,36,2,0,0,9,9,2,19,5,7,1,0,0,35,23,21,52.3
Ademola Lookman,0,0,0,1,1,1,0,0,43,1,0,1,0.9,0.1,0.0,5,0,29,36,80.6,3,21,1,2,2,29,36,80.6,402,71,14,16,87.5,11,12,91.7,1,1,100.0,0,0.0,0.0,1,1,1,0,3,36,31,4,1,0,0,0,0,3,0,0,0,29,1,1,1,1,1,0,0,0,2,0.0,2,1,0,1,0,1,0,0,43,0,3,17,24,3,42,2,2,100.0,0,0.0,21,101,55,1,2,0,1,4,27,2,0,0,0,0,3,1,0,0,1,0,0,0,3,0,0,
Aleksandar Mitrović,0,0,0,0,3,0,1,0,41,2,0,1,0.6,0.6,0.1,2,0,18,25,72.0,2,12,1,0,0,18,25,72.0,227,61,7,12,58.3,6,6,100.0,0,0,,0,0.1,0.1,1,1,2,1,2,25,25,0,0,0,0,1,0,0,0,0,0,18,0,0,2,2,0,2,0,0,0,,0,1,0,1,0,2,1,0,41,1,3,22,16,5,41,0,0,,0,,12,38,19,1,2,0,4,0,28,5,1,0,0,3,0,1,1,0,2,0,0,0,0,8,10,44.4
Alphonse Areola,0,0,0,0,0,0,0,0,31,0,0,0,0.0,0.0,0.0,0,0,14,26,53.8,0,11,0,0,0,14,26,53.8,526,497,4,4,100.0,2,2,100.0,8,19,42.1,0,0.0,0.0,0,0,0,0,0,26,11,14,3,0,0,0,0,0,0,0,0,14,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,31,25,31,0,0,0,31,0,0,,0,,11,26,13,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,100.0
Andre-Frank Zambo Anguissa,0,0,0,0,2,0,0,0,46,3,1,0,0.1,0.1,0.0,0,0,32,37,86.5,4,31,4,2,2,32,37,86.5,460,89,21,22,95.5,9,11,81.8,1,2,50.0,0,0.0,0.0,0,2,1,0,4,37,37,0,0,0,0,1,0,0,0,0,0,32,0,1,3,2,1,2,0,2,3,66.7,1,0,0,0,1,4,0,0,46,2,12,22,14,2,46,2,2,100.0,0,0.0,31,191,106,4,4,0,2,0,31,2,0,0,0,0,1,0,1,1,2,0,0,0,6,2,2,50.0
Antonee Robinson,0,0,0,0,0,0,0,0,71,2,0,0,0.0,0.0,0.0,4,0,38,59,64.4,2,36,1,3,2,38,59,64.4,581,201,16,19,84.2,18,27,66.7,2,7,28.6,0,0.0,0.0,0,1,1,1,2,59,49,10,0,0,0,4,10,0,0,0,0,38,0,2,2,1,2,0,0,2,2,100.0,0,0,0,0,0,2,5,0,71,8,24,27,20,0,71,3,2,66.7,1,33.3,36,144,77,1,1,0,2,2,41,7,0,0,0,1,1,0,4,0,1,0,0,0,4,2,0,100.0
Bobby Reid,0,0,0,0,2,1,0,0,45,0,0,1,0.1,0.1,0.0,2,0,31,37,83.8,6,29,1,2,1,31,37,83.8,395,131,20,22,90.9,8,10,80.0,1,1,100.0,0,0.0,0.1,1,4,2,0,6,37,36,1,0,0,0,2,0,0,0,0,0,31,0,1,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0,45,1,5,18,22,6,45,2,1,50.0,1,50.0,29,103,38,1,2,0,3,1,32,8,0,0,0,1,0,0,2,0,0,0,0,0,5,1,2,33.3
Harrison Reed,0,0,0,0,0,0,0,0,82,1,1,0,0.0,0.0,0.4,2,0,72,76,94.7,7,50,0,0,0,72,76,94.7,1194,371,37,38,97.4,30,30,100.0,5,7,71.4,0,0.4,0.4,1,8,2,1,7,76,73,3,3,0,0,1,0,0,0,0,0,72,0,0,1,0,1,0,0,1,2,50.0,1,0,0,0,1,2,3,0,82,4,17,51,14,0,82,0,0,,0,,50,187,97,0,0,0,1,1,60,0,0,0,0,1,0,0,1,1,0,0,0,0,4,0,1,0.0
Ivan Cavaleiro,0,0,0,0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,1,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Joachim Andersen,0,0,0,0,0,0,0,0,50,0,0,1,0.0,0.0,0.0,0,0,42,46,91.3,0,25,0,0,0,42,46,91.3,833,237,7,9,77.8,34,34,100.0,1,2,50.0,0,0.0,0.0,0,0,0,0,0,46,45,1,1,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,,0,1,0,1,0,0,2,0,50,5,24,23,3,2,50,0,0,,0,,25,89,42,0,0,0,1,0,41,0,0,0,0,1,1,0,0,0,0,0,0,0,1,3,2,60.0
