,minute,player,squad,xg,psxg,outcome,distance,body part,notes,sca_1_player,sca_1_event,sca_2_player,sca_2_event
0,5,Hélder Costa,Leeds United,0.03,,Off Target,19.0,Left Foot,,Mateusz Klich,Pass (Live),Luke Ayling,Pass (Live)
1,11,Patrick Bamford,Leeds United,0.04,,Blocked,20.0,Left Foot,,Raphinha,Pass (Live),Stuart Dallas,Pass (Live)
2,18,Tomáš Souček,West Ham,0.06,,Off Target,10.0,Head,,Michail Antonio,Pass (Live),Aaron Cresswell,Pass (Live)
3,21,Jesse Lingard (pen),West Ham,0.79,0.99,Saved,13.0,Right Foot,,Jesse Lingard,Fouled,Saïd Benrahma,Pass (Live)
4,21,Jesse Lingard,West Ham,0.51,0.75,Goal,5.0,Left Foot,,Jesse Lingard,Shot,,
5,27,Aaron Cresswell,West Ham,0.08,,Blocked,25.0,Left Foot,Free kick,Michail Antonio,Fouled,Saïd Benrahma,Pass (Live)
6,28,Craig Dawson,West Ham,0.22,0.16,Goal,4.0,Head,,Aaron Cresswell,Pass (Dead),Aaron Cresswell,Shot
7,33,Saïd Benrahma,West Ham,0.03,,Off Target,29.0,Right Foot,,,,,
8,34,Jesse Lingard,West Ham,0.04,,Off Target,19.0,Right Foot,,Saïd Benrahma,Pass (Live),Jesse Lingard,Pass (Live)
9,37,Saïd Benrahma,West Ham,0.03,0.21,Saved,29.0,Right Foot,,Jesse Lingard,Pass (Live),Michail Antonio,Pass (Live)
10,45+1,Craig Dawson,West Ham,0.19,,Blocked,6.0,Head,,Aaron Cresswell,Pass (Dead),,
11,,,,,,,,,,,,,
12,48,Patrick Bamford,Leeds United,0.32,,Off Target,16.0,Left Foot,,Diego Llorente,Pass (Live),Stuart Dallas,Pass (Live)
13,49,Raphinha,Leeds United,0.08,,Off Target,13.0,Left Foot,Volley,Ezgjan Alioski,Pass (Live),Tyler Roberts,Pass (Live)
14,50,Raphinha,Leeds United,0.07,0.23,Saved,15.0,Left Foot,"Deflected, Volley",Stuart Dallas,Pass (Live),Stuart Dallas,Pass (Live)
15,52,Pablo Fornals,West Ham,0.02,,Woodwork,30.0,Right Foot,Volley,Michail Antonio,Pass (Live),Declan Rice,Pass (Live)
16,53,Raphinha,Leeds United,0.04,,Off Target,18.0,Left Foot,,Raphinha,Interception,,
17,56,Saïd Benrahma,West Ham,0.03,,Off Target,32.0,Right Foot,,Saïd Benrahma,Take-On,Tomáš Souček,Pass (Live)
18,60,Patrick Bamford,Leeds United,0.03,,Off Target,23.0,Right Foot,,Tyler Roberts,Pass (Live),Tyler Roberts,Take-On
19,62,Declan Rice,West Ham,0.09,,Blocked,14.0,Right Foot,Volley,Saïd Benrahma,Fouled,Michail Antonio,Pass (Live)
20,63,Declan Rice,West Ham,0.07,,Blocked,17.0,Right Foot,"Deflected, Volley",Declan Rice,Shot,,
21,64,Raphinha,Leeds United,0.09,0.04,Saved,16.0,Left Foot,,Ezgjan Alioski,Pass (Live),Jack Harrison,Pass (Live)
22,67,Rodrigo,Leeds United,0.03,,Blocked,28.0,Left Foot,,Stuart Dallas,Pass (Live),Rodrigo,Pass (Live)
23,71,Stuart Dallas,Leeds United,0.06,,Blocked,22.0,Right Foot,,Ezgjan Alioski,Pass (Live),Jack Harrison,Pass (Live)
24,72,Diego Llorente,Leeds United,0.03,,Blocked,15.0,Head,,Kalvin Phillips,Pass (Dead),,
25,72,Luke Ayling,Leeds United,0.08,,Blocked,8.0,Left Foot,,Diego Llorente,Shot,,
26,74,Jack Harrison,Leeds United,0.04,,Off Target,17.0,Left Foot,,,,,
27,76,Declan Rice,West Ham,0.03,,Off Target,24.0,Right Foot,,Jesse Lingard,Pass (Dead),Tomáš Souček,Fouled
28,77,Patrick Bamford,Leeds United,0.07,,Off Target,16.0,Left Foot,,Jack Harrison,Pass (Live),Rodrigo,Pass (Live)
29,77,Patrick Bamford,Leeds United,0.36,,Off Target,11.0,Right Foot,,Raphinha,Pass (Live),Patrick Bamford,Shot
30,80,Rodrigo,Leeds United,0.03,,Off Target,26.0,Left Foot,,Patrick Bamford,Pass (Live),Stuart Dallas,Pass (Live)
31,90,Jarrod Bowen,West Ham,0.02,0.45,Saved,31.0,Left Foot,,,,,
32,90,Kalvin Phillips,Leeds United,0.02,,Off Target,29.0,Right Foot,,Kalvin Phillips,Take-On,,
33,90+1,Pablo Fornals,West Ham,0.04,,Blocked,30.0,Right Foot,,Michail Antonio,Pass (Live),,
