player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
13 Players,2,1,0,0,15,4,3,0,783,13,12,6,0.9,0.9,0.5,25,3,557,686,81.2,65,417,27,17,11,557,686,81.2,9615,3277,248,284,87.3,251,284,88.4,46,86,53.5,1,0.5,1.1,11,48,14,3,65,686,642,43,10,4,2,31,18,9,3,5,0,557,1,13,13,8,2,8,3,6,18,33.3,12,6,0,6,12,25,8,1,783,55,244,326,216,45,783,17,11,64.7,6,35.3,417,2295,1151,27,9,6,18,4,554,64,3,0,0,13,7,1,31,12,8,0,0,0,60,28,17,62.2
Daniel Amartey,0,0,0,0,0,0,0,0,31,0,0,0,0.0,0.0,0.0,0,0,27,30,90.0,3,13,1,0,0,27,30,90.0,476,243,9,11,81.8,15,15,100.0,2,2,100.0,0,0.0,0.0,0,1,0,0,3,30,26,3,1,0,0,0,2,0,0,0,0,27,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,31,1,16,11,4,0,31,0,0,,0,,13,91,51,1,1,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
Dennis Praet,0,0,0,0,0,0,0,0,37,0,0,0,0.0,0.0,0.0,0,0,27,32,84.4,1,16,4,1,0,27,32,84.4,375,114,18,18,100.0,9,12,75.0,0,1,0.0,0,0.0,0.0,0,1,0,0,1,32,32,0,0,0,0,1,0,0,0,0,0,27,0,1,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,0,0,37,0,4,15,18,3,37,1,0,0.0,1,100.0,16,131,74,4,0,0,3,0,27,3,0,0,0,0,0,0,1,0,0,0,0,0,4,0,1,0.0
Jamie Vardy,0,0,0,0,2,1,0,0,35,0,0,1,0.1,0.1,0.1,3,0,20,28,71.4,0,12,3,1,0,20,28,71.4,259,38,13,18,72.2,6,8,75.0,1,1,100.0,0,0.1,0.2,1,1,0,0,0,28,24,4,0,0,0,2,0,0,0,0,0,20,0,1,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,1,0,35,1,1,13,21,9,35,1,0,0.0,1,100.0,12,79,39,3,0,1,0,0,22,8,0,0,0,1,0,1,2,0,0,0,0,0,0,6,3,66.7
Jonny Evans,0,0,0,0,0,0,0,0,84,1,3,0,0.0,0.0,0.0,1,0,67,78,85.9,7,47,0,0,0,67,78,85.9,1340,497,17,19,89.5,43,45,95.6,6,11,54.5,0,0.0,0.0,0,5,0,0,7,78,77,1,1,0,0,0,0,0,0,0,0,67,0,1,1,1,1,0,0,0,0,,0,0,0,0,3,4,2,0,84,11,57,25,2,0,84,0,0,,0,,47,210,117,0,0,0,0,0,59,0,0,0,0,2,0,0,0,3,1,0,0,0,9,1,0,100.0
Kasper Schmeichel,0,0,0,0,0,0,0,0,43,0,0,0,0.0,0.0,0.0,0,0,35,42,83.3,0,30,0,0,0,35,42,83.3,949,478,5,5,100.0,18,18,100.0,12,19,63.2,0,0.0,0.0,0,0,0,0,0,42,35,7,5,0,1,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,43,36,43,0,0,0,43,0,0,,0,,30,133,74,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
Kelechi Iheanacho,2,0,0,0,6,3,0,0,50,1,0,0,0.4,0.4,0.0,3,0,27,36,75.0,4,35,3,2,2,27,36,75.0,346,36,11,14,78.6,10,13,76.9,1,3,33.3,0,0.0,0.0,1,1,2,0,4,36,35,1,0,1,0,1,0,1,0,0,0,27,0,1,1,0,0,0,1,0,0,,0,0,0,0,0,1,0,1,50,0,1,21,28,6,50,2,2,100.0,0,0.0,35,190,84,3,1,0,6,0,46,14,0,0,0,0,3,0,1,0,0,0,0,0,3,1,2,33.3
Luke Thomas,0,0,0,0,0,0,0,0,28,0,1,0,0.0,0.0,0.0,0,0,18,24,75.0,2,12,0,0,0,18,24,75.0,298,152,10,12,83.3,7,8,87.5,1,2,50.0,0,0.0,0.0,0,1,1,0,2,24,23,1,0,0,0,0,1,0,0,0,0,18,0,1,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,28,0,8,11,9,1,28,0,0,,0,,12,34,17,0,0,0,1,0,14,1,0,0,0,0,0,0,0,1,0,0,0,0,5,1,3,25.0
Marc Albrighton,0,0,0,0,1,0,0,0,42,0,0,0,0.1,0.1,0.2,6,1,24,39,61.5,4,21,4,3,3,24,39,61.5,344,87,17,21,81.0,5,7,71.4,2,9,22.2,0,0.2,0.1,3,1,3,1,4,39,35,4,0,0,0,12,0,4,0,4,0,24,0,3,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,0,0,42,0,2,10,30,5,42,3,3,100.0,0,0.0,21,157,45,4,1,2,0,1,31,13,0,0,0,1,0,0,12,0,0,0,0,0,2,0,0,
Ricardo Pereira,0,1,0,0,0,0,1,0,84,3,0,2,0.0,0.0,0.1,5,1,56,67,83.6,12,36,1,2,1,56,67,83.6,931,282,28,32,87.5,24,28,85.7,4,6,66.7,1,0.1,0.1,3,6,4,1,12,67,66,1,0,0,0,3,1,0,0,0,0,56,0,0,3,1,0,1,2,0,3,0.0,3,2,0,2,0,3,2,0,84,2,19,28,37,11,84,2,1,50.0,1,50.0,36,113,47,1,1,1,2,0,60,10,1,0,0,1,0,0,3,0,1,0,0,0,3,1,1,50.0
Timothy Castagne,0,0,0,0,1,0,0,0,75,0,1,0,0.1,0.1,0.0,1,0,65,73,89.0,5,44,2,0,0,65,73,89.0,1000,390,39,42,92.9,20,23,87.0,5,5,100.0,0,0.0,0.0,0,8,1,1,5,73,70,3,0,0,0,3,3,0,0,0,0,65,0,2,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0,75,0,21,36,18,1,75,0,0,,0,,44,228,117,2,1,0,0,1,57,9,0,0,0,0,0,0,3,1,0,0,0,0,3,1,1,50.0
Wesley Fofana,0,0,0,0,2,0,1,0,92,5,3,0,0.1,0.1,0.0,0,0,59,75,78.7,3,50,2,2,1,59,75,78.7,1010,277,26,31,83.9,30,35,85.7,2,5,40.0,0,0.0,0.0,0,4,0,0,3,75,66,9,0,0,0,0,9,0,0,0,0,59,0,0,5,5,1,4,0,4,5,80.0,1,0,0,0,3,8,1,0,92,2,34,50,8,3,92,2,1,50.0,1,50.0,50,333,167,2,1,0,2,1,56,1,1,0,0,5,1,0,0,3,5,0,0,0,9,10,5,66.7
Wilfred Ndidi,0,0,0,0,2,0,1,0,79,2,3,2,0.1,0.1,0.0,1,0,61,66,92.4,8,48,1,2,2,61,66,92.4,1015,305,27,29,93.1,28,30,93.3,4,4,100.0,0,0.0,0.0,0,10,1,0,8,66,66,0,0,0,1,0,0,0,0,0,0,61,0,1,2,0,0,2,0,2,3,66.7,1,2,0,2,3,5,1,0,79,2,15,54,12,3,79,2,2,100.0,0,0.0,48,302,127,1,2,0,4,0,53,1,1,0,0,3,1,0,0,3,0,0,0,0,9,4,1,80.0
