player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
13 Players,1,1,0,0,6,2,1,0,515,19,8,9,0.5,0.5,0.4,12,2,290,414,70.0,33,276,19,7,3,290,414,70.0,5702,2387,109,131,83.2,124,158,78.5,46,100,46.0,1,0.4,0.3,5,34,3,2,33,414,375,39,12,0,3,16,17,1,1,0,0,290,0,7,19,11,11,7,1,8,20,40.0,12,9,3,6,8,27,24,0,515,55,170,241,109,17,515,7,3,42.9,4,57.1,276,1495,748,19,7,3,8,1,285,32,1,0,0,10,9,0,16,8,11,0,0,0,60,16,22,42.1
Callum Robinson,0,0,0,0,1,0,0,0,29,0,0,0,0.0,0.0,0.0,1,0,13,23,56.5,1,17,2,1,1,13,23,56.5,175,33,8,10,80.0,3,7,42.9,1,3,33.3,0,0.0,0.0,0,0,1,0,1,23,23,0,0,0,0,4,0,0,0,0,0,13,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,29,1,1,12,16,1,29,1,1,100.0,0,0.0,17,113,38,2,1,0,1,0,24,8,0,0,0,0,3,0,4,0,0,0,0,0,5,2,3,40.0
Conor Gallagher,0,0,0,0,1,1,1,0,52,2,1,1,0.1,0.1,0.0,2,0,31,40,77.5,4,33,1,1,0,31,40,77.5,609,173,11,13,84.6,9,13,69.2,8,10,80.0,0,0.0,0.0,1,3,0,0,4,40,40,0,0,0,0,1,0,0,0,0,0,31,0,0,2,2,0,2,0,0,4,0.0,4,1,0,1,1,3,1,0,52,2,11,30,13,4,52,1,0,0.0,1,100.0,33,154,46,1,1,1,1,0,32,3,1,0,0,1,2,0,1,1,2,0,0,0,12,0,1,0.0
Dara O'Shea,0,0,0,0,0,0,0,0,76,7,2,3,0.0,0.0,0.0,0,0,30,56,53.6,3,26,0,0,0,30,56,53.6,613,420,14,20,70.0,7,12,58.3,7,18,38.9,0,0.0,0.0,0,6,0,0,3,56,40,16,5,0,1,0,11,0,0,0,0,30,0,3,7,3,5,2,0,2,2,100.0,0,3,2,1,2,9,5,0,76,6,32,33,11,2,76,0,0,,0,,26,88,20,0,2,0,2,1,27,1,0,0,0,1,1,0,0,2,3,0,0,0,4,3,3,50.0
Darnell Furlong,0,0,0,0,1,0,0,0,17,2,0,0,0.2,0.2,0.0,1,0,5,10,50.0,1,5,0,0,0,5,10,50.0,99,44,3,4,75.0,1,4,25.0,1,2,50.0,0,0.0,0.0,0,0,1,1,1,10,8,2,0,0,0,2,2,0,0,0,0,5,0,0,2,2,2,0,0,0,0,,0,0,0,0,0,2,1,0,17,1,5,5,7,2,17,0,0,,0,,5,8,3,0,0,0,0,0,6,1,0,0,0,0,0,0,2,0,2,0,0,0,1,2,1,66.7
Hal Robson-Kanu,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,6,0,1,0,0,1,0.0,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,4,0,0,0,4,0,4,1,0,0.0,1,100.0,6,24,10,0,1,0,1,0,6,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,
Jake Livermore,0,0,0,0,0,0,0,0,33,2,1,3,0.0,0.0,0.0,0,0,12,22,54.5,1,15,0,0,0,12,22,54.5,206,49,5,7,71.4,5,9,55.6,1,4,25.0,0,0.0,0.0,0,1,0,0,1,22,22,0,0,0,0,1,0,0,0,0,0,12,0,0,2,0,1,1,0,2,3,66.7,1,3,1,2,1,3,3,0,33,4,10,18,5,0,33,0,0,,0,,15,36,11,0,0,0,0,0,13,0,0,0,0,0,0,0,1,1,0,0,0,0,6,1,3,25.0
Kamil Grosicki,0,1,0,0,0,0,0,0,32,1,0,0,0.0,0.0,0.1,2,1,19,27,70.4,2,19,6,1,0,19,27,70.4,306,65,7,9,77.8,10,13,76.9,1,4,25.0,1,0.1,0.0,2,2,0,0,2,27,26,1,0,0,0,3,0,1,1,0,0,19,0,0,1,0,1,0,0,1,4,25.0,3,0,0,0,0,1,1,0,32,1,5,9,18,1,32,1,0,0.0,1,100.0,19,160,105,6,0,1,0,0,19,7,0,0,0,1,0,0,3,0,0,0,0,0,4,0,1,0.0
Kieran Gibbs,0,0,0,0,0,0,0,0,59,1,1,0,0.0,0.0,0.3,2,0,44,56,78.6,4,33,3,0,0,44,56,78.6,746,208,17,19,89.5,23,26,88.5,3,7,42.9,0,0.3,0.1,2,4,1,1,4,56,52,4,0,0,0,3,4,0,0,0,0,44,0,1,1,1,0,1,0,0,0,,0,0,0,0,1,2,2,0,59,3,15,34,11,1,59,0,0,,0,,33,220,133,3,2,0,0,0,37,5,0,0,0,0,0,0,3,1,1,0,0,0,5,2,2,50.0
Kyle Bartley,0,0,0,0,0,0,0,0,41,0,2,1,0.0,0.0,0.0,0,0,23,30,76.7,1,20,0,0,0,23,30,76.7,516,271,5,6,83.3,14,16,87.5,4,8,50.0,0,0.0,0.0,0,2,0,0,1,30,30,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,,0,1,0,1,2,2,6,0,41,6,24,16,1,1,41,0,0,,0,,20,103,66,0,0,0,0,0,23,0,0,0,0,1,0,0,0,2,0,0,0,0,1,2,3,40.0
