player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
14 Players,0,0,0,0,11,2,1,0,771,17,8,11,0.5,0.5,0.4,21,0,576,676,85.2,44,481,27,31,20,576,676,85.2,9311,2825,268,283,94.7,239,277,86.3,42,73,57.5,0,0.4,0.4,8,46,6,4,44,676,628,46,9,1,0,18,24,3,1,1,0,576,2,11,17,10,9,7,1,5,21,23.8,16,11,1,10,8,25,6,0,771,40,165,462,154,17,771,31,20,64.5,11,35.5,481,2613,1349,27,19,2,17,13,574,44,1,0,0,11,7,2,18,8,10,0,0,1,48,21,19,52.5
Adama Traoré,0,0,0,0,0,0,0,0,38,0,0,1,0.0,0.0,0.0,0,0,18,32,56.3,3,28,9,10,8,18,32,56.3,174,62,12,14,85.7,4,11,36.4,0,4,0.0,0,0.0,0.0,0,3,0,0,3,32,32,0,0,1,0,8,0,0,0,0,0,18,0,2,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,38,0,0,22,19,0,38,10,8,80.0,2,20.0,28,271,154,9,4,0,1,2,36,6,0,0,0,1,0,0,8,0,0,0,0,0,1,2,0,100.0
Conor Coady,0,0,0,0,0,0,1,0,50,2,0,1,0.0,0.0,0.0,0,0,40,45,88.9,2,33,1,1,1,40,45,88.9,725,339,20,21,95.2,13,14,92.9,6,9,66.7,0,0.0,0.0,0,4,0,0,2,45,45,0,0,0,0,0,0,0,0,0,0,40,0,0,2,1,1,1,0,1,3,33.3,2,1,1,0,0,2,0,0,50,3,27,24,0,0,50,1,1,100.0,0,0.0,33,216,82,1,0,0,0,0,39,1,1,0,0,3,0,0,0,0,1,0,0,0,2,1,0,100.0
Fábio Silva,0,0,0,0,2,0,0,0,24,0,1,0,0.1,0.1,0.0,2,0,17,18,94.4,0,17,1,1,0,17,18,94.4,189,0,11,11,100.0,4,4,100.0,0,0,,0,0.0,0.0,1,0,0,0,0,18,16,2,0,0,0,0,0,0,0,0,0,17,0,1,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,24,0,0,13,11,4,24,1,0,0.0,1,100.0,17,77,25,1,0,0,1,3,21,2,0,0,0,0,1,0,0,1,0,0,0,0,3,1,2,33.3
João Moutinho,0,0,0,0,2,0,0,0,82,1,0,1,0.1,0.1,0.0,4,0,75,78,96.2,8,56,2,0,0,75,78,96.2,1427,266,27,27,100.0,40,40,100.0,8,10,80.0,0,0.0,0.0,1,8,0,0,8,78,74,3,2,0,0,0,0,1,0,0,0,75,1,0,1,0,1,0,0,0,4,0.0,4,1,0,1,0,1,0,0,82,0,9,63,12,0,82,0,0,,0,,56,324,183,2,2,0,1,0,67,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,3,0.0
Ki-Jana Hoever,0,0,0,0,0,0,0,0,22,0,0,0,0.0,0.0,0.1,1,0,17,21,81.0,2,12,0,0,0,17,21,81.0,305,83,8,8,100.0,7,10,70.0,2,2,100.0,0,0.1,0.0,1,1,1,1,2,21,18,3,1,0,0,2,2,0,0,0,0,17,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,22,0,1,16,5,1,22,0,0,,0,,12,30,16,0,0,0,0,0,15,1,0,0,0,0,1,0,2,0,0,0,0,0,2,1,0,100.0
Nélson Semedo,0,0,0,0,0,0,0,0,65,2,1,0,0.0,0.0,0.0,2,0,48,57,84.2,3,38,1,6,5,48,57,84.2,610,134,33,35,94.3,11,13,84.6,1,3,33.3,0,0.0,0.0,0,4,1,0,3,57,46,11,0,0,0,1,11,0,0,0,0,48,0,2,2,1,0,2,0,1,1,100.0,0,0,0,0,1,3,0,0,65,0,8,42,15,3,65,6,5,83.3,1,16.7,38,150,49,1,0,0,2,0,44,6,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,50.0
Pedro Neto,0,0,0,0,2,0,0,0,53,0,0,1,0.1,0.1,0.2,6,0,37,40,92.5,3,37,6,7,3,37,40,92.5,471,118,21,21,100.0,12,12,100.0,1,3,33.3,0,0.2,0.1,3,4,1,1,3,40,35,5,0,0,0,3,0,2,1,1,0,37,0,1,0,0,0,0,0,0,2,0.0,2,1,0,1,0,0,0,0,53,0,1,29,26,3,53,7,3,42.9,4,57.1,37,340,195,6,6,2,4,2,44,12,0,0,0,1,2,0,3,0,0,0,0,0,5,0,2,0.0
Raúl Jiménez,0,0,0,0,2,1,0,0,50,0,1,0,0.1,0.1,0.0,0,0,29,35,82.9,1,25,1,3,1,29,35,82.9,305,25,16,16,100.0,5,9,55.6,1,1,100.0,0,0.0,0.0,0,1,1,0,1,35,35,0,0,0,0,1,0,0,0,0,0,29,0,1,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0,50,1,4,27,19,6,50,3,1,33.3,2,66.7,25,93,40,1,0,0,6,3,42,7,0,0,0,0,1,2,1,1,0,0,0,1,5,2,3,40.0
Romain Saïss,0,0,0,0,0,0,0,0,84,0,2,4,0.0,0.0,0.0,0,0,60,75,80.0,8,55,0,1,1,60,75,80.0,1045,519,25,28,89.3,31,38,81.6,4,8,50.0,0,0.0,0.0,0,7,0,0,8,75,74,0,0,0,0,0,0,0,0,0,0,60,1,0,0,0,0,0,0,0,1,0.0,1,4,0,4,2,2,1,0,84,4,30,53,1,0,84,1,1,100.0,0,0.0,55,269,139,0,0,0,0,0,58,0,0,0,0,0,0,0,0,2,0,0,0,0,7,5,4,55.6
