,minute,player,squad,xg,psxg,outcome,distance,body part,notes,sca_1_player,sca_1_event,sca_2_player,sca_2_event
0,8,Benjamin Mendy,Manchester City,0.03,,Blocked,27.0,Right Foot,,Benjamin Mendy,Take-On,Rodri,Pass (Live)
1,11,Kevin De Bruyne,Manchester City,0.06,0.23,Saved,30.0,Right Foot,Free kick,Gabriel Jesus,Fouled,Benjamin Mendy,Pass (Live)
2,16,Pedro Neto,Wolves,0.06,,Blocked,24.0,Left Foot,,Daniel Podence,Pass (Live),João Moutinho,Pass (Live)
3,20,Kevin De Bruyne (pen),Manchester City,0.79,0.99,Goal,13.0,Right Foot,,Kevin De Bruyne,Fouled,Phil Foden,Pass (Live)
4,30,Raheem Sterling,Manchester City,0.05,0.05,Saved,15.0,Left Foot,,Phil Foden,Pass (Live),Phil Foden,Take-On
5,32,Phil Foden,Manchester City,0.31,0.32,Goal,13.0,Left Foot,,Raheem Sterling,Pass (Live),Kevin De Bruyne,Pass (Live)
6,39,Phil Foden,Manchester City,0.05,,Off Target,14.0,Left Foot,,Kevin De Bruyne,Pass (Live),Raheem Sterling,Pass (Live)
7,41,Raúl Jiménez,Wolves,0.03,,Off Target,12.0,Head,,Adama Traoré,Pass (Live),Pedro Neto,Pass (Live)
8,43,Kevin De Bruyne,Manchester City,0.25,0.28,Saved,12.0,Left Foot,,Gabriel Jesus,Pass (Live),Raheem Sterling,Pass (Live)
9,44,Rodri,Manchester City,0.02,,Off Target,22.0,Right Foot,,Kevin De Bruyne,Pass (Live),Benjamin Mendy,Pass (Live)
10,,,,,,,,,,,,,
11,53,Gabriel Jesus,Manchester City,0.13,0.06,Saved,17.0,Left Foot,,Gabriel Jesus,Take-On,Kevin De Bruyne,Pass (Live)
12,54,Daniel Podence,Wolves,0.07,,Off Target,16.0,Left Foot,,Adama Traoré,Pass (Live),Pedro Neto,Pass (Live)
13,56,Rúben Neves,Wolves,0.04,,Blocked,21.0,Left Foot,,Pedro Neto,Pass (Live),Rúben Neves,Pass (Live)
14,59,Daniel Podence,Wolves,0.11,,Off Target,20.0,Right Foot,,João Moutinho,Pass (Live),Raúl Jiménez,Pass (Live)
15,60,Raúl Jiménez,Wolves,0.09,,Off Target,10.0,Left Foot,,Adama Traoré,Pass (Live),Rúben Neves,Pass (Live)
16,63,Kyle Walker,Manchester City,0.06,,Blocked,21.0,Right Foot,,Kevin De Bruyne,Pass (Live),Gabriel Jesus,Pass (Live)
17,63,Fernandinho,Manchester City,0.05,,Off Target,13.0,Right Foot,,Fernandinho,Tackle,,
18,65,Rúben Neves,Wolves,0.03,,Blocked,19.0,Right Foot,,Pedro Neto,Pass (Live),Willy Boly,Pass (Live)
19,74,Pedro Neto,Wolves,0.04,,Blocked,22.0,Left Foot,Deflected,Conor Coady,Pass (Live),Willy Boly,Pass (Live)
20,78,Raúl Jiménez,Wolves,0.04,0.11,Goal,12.0,Head,,Daniel Podence,Pass (Live),Daniel Podence,Take-On
21,80,Kevin De Bruyne,Manchester City,0.03,0.09,Saved,38.0,Right Foot,Free kick,Raheem Sterling,Fouled,Kevin De Bruyne,Pass (Live)
22,87,Willy Boly,Wolves,0.03,,Off Target,17.0,Head,,Rúben Neves,Pass (Dead),Raúl Jiménez,Fouled
23,90+4,Gabriel Jesus,Manchester City,0.03,0.17,Saved,27.0,Right Foot,,Kevin De Bruyne,Pass (Live),,
24,90+5,Gabriel Jesus,Manchester City,0.06,0.14,Goal,12.0,Right Foot,Deflected,Kevin De Bruyne,Pass (Live),,
