player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
14 Players,2,1,1,1,8,3,1,0,603,14,14,8,2.1,1.3,1.2,16,4,404,470,86.0,32,425,20,22,7,404,470,86.0,6398,2437,218,234,93.2,127,147,86.4,38,59,64.4,1,1.2,1.0,7,22,7,1,32,470,424,45,14,3,0,6,17,2,0,2,0,404,1,6,14,7,8,5,1,11,23,47.8,12,8,4,4,14,28,29,1,603,74,209,272,130,15,602,22,7,31.8,15,68.2,425,2176,966,20,21,2,21,4,400,32,1,0,0,3,14,1,6,14,7,1,0,0,50,12,9,57.1
Alex Telles,0,0,0,0,1,0,0,0,66,1,5,0,0.0,0.0,0.1,3,1,45,53,84.9,5,37,2,1,0,45,53,84.9,700,314,28,30,93.3,11,15,73.3,5,7,71.4,0,0.1,0.1,1,5,1,0,5,53,38,15,2,0,0,3,11,2,0,2,0,45,0,0,1,0,1,0,0,1,4,25.0,3,0,0,0,5,6,3,0,66,3,16,37,14,0,66,1,0,0.0,1,100.0,37,165,88,2,1,0,1,0,36,1,0,0,0,0,0,0,3,5,0,0,0,0,3,1,1,50.0
Amad Diallo,0,0,0,0,1,1,0,0,55,2,0,0,0.0,0.0,0.4,2,0,37,41,90.2,7,47,7,6,2,37,41,90.2,470,120,19,21,90.5,12,13,92.3,1,1,100.0,0,0.4,0.2,1,4,1,0,7,41,40,0,0,1,0,0,0,0,0,0,0,37,1,0,2,2,1,1,0,0,0,,0,0,0,0,0,2,0,0,55,0,4,32,20,1,55,6,2,33.3,4,66.7,47,297,149,7,6,0,4,2,46,4,0,0,0,0,3,0,0,0,2,0,0,0,5,1,1,50.0
Anthony Elanga,1,0,0,0,2,1,0,0,53,4,1,0,0.4,0.4,0.0,2,0,27,33,81.8,2,40,0,5,2,27,33,81.8,324,33,20,22,90.9,3,5,60.0,2,3,66.7,0,0.0,0.0,1,0,0,0,2,33,32,1,0,0,0,2,0,0,0,0,0,27,0,1,4,2,3,1,0,4,5,80.0,1,0,0,0,1,5,1,0,53,1,9,20,26,5,53,5,2,40.0,3,60.0,40,172,27,0,1,0,4,1,39,9,0,0,0,0,3,0,2,1,2,0,0,0,5,0,1,0.0
Axel Tuanzebe,0,0,0,0,0,0,0,0,40,2,1,2,0.0,0.0,0.0,0,0,22,25,88.0,0,22,0,0,0,22,25,88.0,404,138,11,11,100.0,8,8,100.0,3,6,50.0,0,0.0,0.0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,22,0,0,2,1,1,1,0,2,2,100.0,0,2,2,0,1,3,7,0,40,16,36,4,0,0,40,0,0,,0,,22,75,5,0,0,0,1,0,19,0,0,0,0,1,0,0,0,1,1,0,0,0,7,0,1,0.0
Brandon Williams,0,0,0,0,1,1,0,0,83,0,1,1,0.2,0.2,0.0,1,0,57,67,85.1,4,56,2,2,0,57,67,85.1,788,375,36,39,92.3,14,19,73.7,3,4,75.0,0,0.0,0.0,0,3,1,0,4,67,61,6,1,0,0,0,5,0,0,0,0,57,0,1,0,0,0,0,0,0,0,,0,1,0,1,1,1,6,0,83,7,36,35,13,2,83,2,0,0.0,2,100.0,56,394,216,2,5,0,2,0,55,4,0,0,0,1,1,0,0,1,0,0,0,0,6,0,0,
Daniel James,0,1,0,0,1,0,0,0,28,1,0,2,0.4,0.4,0.5,2,1,14,18,77.8,2,21,2,2,0,14,18,77.8,177,62,7,9,77.8,5,6,83.3,0,0,,1,0.5,0.3,3,0,2,1,2,18,18,0,0,0,0,1,0,0,0,0,0,14,0,1,1,0,1,0,0,1,3,33.3,2,2,1,1,0,1,0,0,28,2,5,11,12,4,28,2,0,0.0,2,100.0,21,103,38,2,1,1,2,0,20,7,0,0,0,0,2,1,1,0,0,0,0,0,2,0,1,0.0
Dean Henderson,0,0,0,0,0,0,1,0,30,0,0,0,0.0,0.0,0.0,0,0,22,30,73.3,0,19,0,0,0,22,30,73.3,690,514,1,1,100.0,13,13,100.0,8,16,50.0,0,0.0,0.0,0,1,0,0,0,30,19,11,1,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,30,28,30,0,0,0,30,0,0,,0,,19,74,45,0,0,0,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Donny van de Beek,0,0,0,0,1,0,0,0,62,2,2,1,0.0,0.0,0.0,1,1,44,49,89.8,4,44,1,2,1,44,49,89.8,662,197,25,26,96.2,15,17,88.2,3,4,75.0,0,0.0,0.0,0,2,1,0,4,49,46,3,3,0,0,0,0,0,0,0,0,44,0,1,2,2,0,1,1,2,3,66.7,1,1,0,1,2,4,1,0,62,4,14,38,11,0,62,2,1,50.0,1,50.0,44,171,62,1,1,0,1,1,41,1,0,0,0,0,3,0,0,2,2,1,0,0,6,1,0,100.0
Eric Bailly,0,0,0,0,1,0,0,0,42,0,2,0,0.1,0.1,0.0,1,0,28,31,90.3,1,26,0,1,1,28,31,90.3,546,288,10,11,90.9,14,15,93.3,4,5,80.0,0,0.0,0.0,0,1,0,0,1,31,28,3,2,0,0,0,1,0,0,0,0,28,0,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,5,0,42,7,25,16,1,1,42,1,1,100.0,0,0.0,26,131,53,0,1,0,0,0,23,0,0,0,0,1,0,0,0,2,0,0,0,0,2,5,2,71.4
