,minute,player,squad,xg,psxg,outcome,distance,body part,notes,sca_1_player,sca_1_event,sca_2_player,sca_2_event
0,4,Martin Ødegaard,Arsenal,0.21,,Blocked,5.0,Head,,Ben White,Shot,,
1,4,Ben White,Arsenal,0.08,,Off Target,6.0,Head,,Bukayo Saka,Pass (Dead),,
2,5,Yoane Wissa,Brentford,0.03,,Blocked,24.0,Left Foot,,Mathias Jensen,Pass (Live),Christian Nørgaard,Fouled
3,8,Bukayo Saka,Arsenal,0.04,,Off Target,8.0,Left Foot,,Martin Ødegaard,Pass (Live),Bukayo Saka,Pass (Live)
4,11,Bukayo Saka,Arsenal,0.11,0.03,Saved,13.0,Left Foot,Deflected,Granit Xhaka,Pass (Live),Martin Ødegaard,Pass (Live)
5,12,Bryan Mbeumo,Brentford,0.07,,Blocked,17.0,Left Foot,,Josh Dasilva,Pass (Live),Josh Dasilva,Take-On
6,17,Alexandre Lacazette,Arsenal,0.03,,Off Target,14.0,Head,,Cédric Soares,Pass (Live),Martin Ødegaard,Pass (Live)
7,22,Thomas Partey,Arsenal,0.02,,Off Target,24.0,Right Foot,,Martin Ødegaard,Pass (Live),Cédric Soares,Pass (Live)
8,25,Alexandre Lacazette,Arsenal,0.05,,Off Target,25.0,Right Foot,,Granit Xhaka,Pass (Live),,
9,29,Martin Ødegaard,Arsenal,0.04,,Blocked,25.0,Left Foot,,Martin Ødegaard,Take-On,Thomas Partey,Pass (Live)
10,32,Alexandre Lacazette,Arsenal,0.11,,Blocked,4.0,Right Foot,,Cédric Soares,Pass (Live),Bukayo Saka,Pass (Live)
11,34,Bukayo Saka,Arsenal,0.02,,Off Target,20.0,Left Foot,Volley,Alexandre Lacazette,Shot,,
12,37,Ben White,Arsenal,0.04,0.03,Saved,22.0,Right Foot,Volley,Emile Smith Rowe,Pass (Live),Thomas Partey,Pass (Live)
13,38,Cédric Soares,Arsenal,0.03,,Blocked,18.0,Right Foot,,Kieran Tierney,Pass (Live),Alexandre Lacazette,Pass (Live)
14,39,Emile Smith Rowe,Arsenal,0.06,,Off Target,16.0,Left Foot,Volley,Cédric Soares,Shot,,
15,42,Bukayo Saka,Arsenal,0.04,,Blocked,17.0,Left Foot,,Alexandre Lacazette,Pass (Live),Granit Xhaka,Pass (Live)
16,45+1,Thomas Partey,Arsenal,0.03,,Blocked,18.0,Right Foot,,Granit Xhaka,Pass (Live),Kieran Tierney,Pass (Dead)
17,45+1,Thomas Partey,Arsenal,0.03,,Blocked,16.0,Right Foot,,Thomas Partey,Shot,,
18,,,,,,,,,,,,,
19,48,Emile Smith Rowe,Arsenal,0.09,0.25,Goal,16.0,Right Foot,,Alexandre Lacazette,Pass (Live),Bukayo Saka,Pass (Live)
20,50,Yoane Wissa,Brentford,0.03,0.03,Saved,33.0,Right Foot,,,,,
21,59,Thomas Partey,Arsenal,0.05,,Off Target,12.0,Left Foot,Volley,Granit Xhaka,Pass (Live),Kieran Tierney,Pass (Dead)
22,60,Bukayo Saka,Arsenal,0.03,0.06,Saved,30.0,Left Foot,,Granit Xhaka,Pass (Live),Thomas Partey,Pass (Live)
23,62,Kieran Tierney,Arsenal,0.04,,Blocked,15.0,Left Foot,,Bukayo Saka,Pass (Live),Martin Ødegaard,Pass (Live)
24,73,Christian Nørgaard,Brentford,0.03,,Off Target,18.0,Right Foot,Volley,Shandon Baptiste,Take-On,Bryan Mbeumo,Pass (Live)
25,76,Martin Ødegaard,Arsenal,0.32,0.31,Saved,13.0,Left Foot,,,,,
26,76,Nicolas Pépé,Arsenal,0.22,,Blocked,5.0,Left Foot,,Martin Ødegaard,Shot,,
27,79,Bukayo Saka,Arsenal,0.07,0.52,Goal,17.0,Left Foot,,Thomas Partey,Pass (Live),,
28,85,Thomas Partey,Arsenal,0.04,0.33,Saved,26.0,Right Foot,,,,,
29,90+3,Vitaly Janelt,Brentford,0.06,,Blocked,21.0,Left Foot,,Vitaly Janelt,Take-On,Saman Ghoddos,Fouled
30,90+3,Christian Nørgaard,Brentford,0.45,0.18,Goal,11.0,Left Foot,,Vitaly Janelt,Shot,,
