player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
14 Players,1,1,0,0,6,2,1,0,358,21,1,16,1.1,1.1,1.1,12,2,163,254,64.2,10,152,4,12,8,163,254,64.2,3024,1435,73,98,74.5,63,78,80.8,21,61,34.4,1,1.1,0.7,6,11,5,1,10,254,215,39,10,1,2,6,13,2,2,0,0,163,0,7,21,8,19,1,1,10,17,58.8,7,16,7,9,1,22,30,1,358,80,177,113,75,16,358,12,8,66.7,4,33.3,152,802,352,4,5,1,7,8,161,10,1,0,0,9,8,0,6,1,8,0,1,0,38,15,8,65.2
Abdoulaye Doucouré,0,0,0,0,0,0,0,0,5,0,0,1,0.0,0.0,0.0,0,0,2,2,100.0,0,0,0,0,0,2,2,100.0,15,1,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,1,1,0,0,0,1,0,5,1,3,2,0,0,5,0,0,,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,
Alex Iwobi,0,0,0,0,0,0,0,0,37,4,0,1,0.0,0.0,0.1,2,1,21,30,70.0,2,17,1,2,1,21,30,70.0,266,90,12,16,75.0,8,10,80.0,0,3,0.0,0,0.1,0.1,1,0,2,0,2,30,25,5,0,0,1,0,5,0,0,0,0,21,0,0,4,2,4,0,0,3,5,60.0,2,1,0,1,0,4,4,1,37,5,17,8,12,2,37,2,1,50.0,1,50.0,17,98,57,1,1,0,0,1,17,1,0,0,0,1,0,0,0,0,2,0,1,0,5,1,0,100.0
Anthony Gordon,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,1,0,6,6,100.0,1,3,0,1,1,6,6,100.0,62,30,3,3,100.0,2,2,100.0,0,0,,0,0.0,0.0,1,1,1,0,1,6,6,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,7,0,1,4,2,0,7,1,1,100.0,0,0.0,3,11,6,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0
Asmir Begović,0,0,0,0,0,0,0,0,36,0,0,0,0.0,0.0,0.0,0,0,15,29,51.7,0,15,0,0,0,15,29,51.7,622,583,2,2,100.0,4,4,100.0,9,22,40.9,0,0.0,0.0,0,0,0,0,0,29,16,13,5,0,0,0,0,0,0,0,0,15,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,36,31,36,0,0,0,36,0,0,,0,,15,106,61,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,100.0
Dele Alli,0,0,0,0,0,0,0,0,23,0,0,4,0.0,0.0,0.0,2,0,6,9,66.7,1,8,1,3,1,6,9,66.7,98,23,2,3,66.7,4,6,66.7,0,0,,0,0.0,0.0,1,0,0,0,1,9,8,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,4,1,3,0,0,3,0,23,4,11,6,7,2,23,3,1,33.3,2,66.7,8,62,20,1,0,0,2,2,7,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0.0
Demarai Gray,0,0,0,0,3,1,0,0,43,2,0,3,0.1,0.1,0.0,1,0,21,32,65.6,1,20,2,1,1,21,32,65.6,292,23,11,15,73.3,9,11,81.8,0,3,0.0,0,0.0,0.0,0,0,0,0,1,32,23,9,2,0,0,4,0,2,2,0,0,21,0,2,2,0,2,0,0,1,1,100.0,0,3,0,3,0,2,0,0,43,0,7,16,22,4,43,1,1,100.0,0,0.0,20,147,67,2,2,1,3,4,23,3,0,0,0,0,2,0,4,0,0,0,0,0,4,0,0,
Dominic Calvert-Lewin,0,1,0,0,1,0,0,0,25,1,0,0,0.0,0.0,1.0,3,1,9,20,45.0,2,14,0,1,1,9,20,45.0,128,69,5,11,45.5,4,4,100.0,0,0,,1,1.0,0.6,2,3,1,0,2,20,20,0,0,0,0,0,0,0,0,0,0,9,0,1,1,1,0,0,1,0,0,,0,0,0,0,0,1,1,0,25,1,2,12,11,3,25,1,1,100.0,0,0.0,14,85,16,0,0,0,0,0,20,1,0,0,0,4,2,0,0,0,1,0,0,0,4,7,4,63.6
Donny van de Beek,1,0,0,0,1,1,0,0,16,3,1,0,0.9,0.9,0.0,0,0,8,10,80.0,1,6,0,0,0,8,10,80.0,104,11,5,6,83.3,3,3,100.0,0,1,0.0,0,0.0,0.0,0,1,0,0,1,10,10,0,0,0,0,0,0,0,0,0,0,8,0,0,3,2,2,1,0,1,1,100.0,0,0,0,0,1,4,0,0,16,1,6,5,5,1,16,0,0,,0,,6,15,8,0,1,0,0,0,8,0,0,0,0,0,0,0,0,1,2,0,0,0,4,0,0,
Isaac Price,0,0,0,0,1,0,0,0,5,0,0,1,0.1,0.1,0.0,0,0,1,2,50.0,0,3,0,0,0,1,2,50.0,16,0,0,0,,1,2,50.0,0,0,,0,0.0,0.0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,5,0,1,2,2,2,5,0,0,,0,,3,10,2,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
