player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
14 Players,1,1,0,1,13,5,4,0,545,13,9,9,1.8,1.0,0.9,24,2,358,451,79.4,29,306,16,9,5,358,451,79.4,5755,1917,176,205,85.9,144,171,84.2,29,56,51.8,1,0.9,0.5,11,17,5,1,29,451,402,47,10,0,2,16,19,7,5,1,0,358,2,5,13,10,6,6,1,5,9,55.6,4,9,2,7,9,22,17,0,545,55,195,236,121,15,544,9,5,55.6,4,44.4,306,1727,748,16,11,1,14,6,355,29,4,0,0,12,8,2,16,9,10,0,1,0,41,15,5,75.0
Alex Telles,0,0,0,0,1,1,1,0,70,2,2,0,0.0,0.0,0.0,4,0,40,61,65.6,1,26,2,1,1,40,61,65.6,518,257,29,34,85.3,7,17,41.2,3,5,60.0,0,0.0,0.1,1,2,0,0,1,61,45,15,1,0,0,5,12,2,1,1,0,40,1,2,2,2,1,1,0,0,0,,0,0,0,0,2,4,4,0,70,2,26,27,17,0,70,1,1,100.0,0,0.0,26,102,64,2,1,0,0,1,38,1,1,0,0,2,0,0,5,2,2,0,1,0,3,2,0,100.0
Anthony Elanga,0,0,0,0,3,2,0,0,24,0,0,3,0.2,0.2,0.0,1,0,12,13,92.3,1,13,0,0,0,12,13,92.3,145,25,10,10,100.0,2,2,100.0,0,0,,0,0.0,0.0,0,0,0,0,1,13,13,0,0,0,0,0,0,0,0,0,0,12,0,1,0,0,0,0,0,0,0,,0,3,1,2,0,0,2,0,24,1,4,7,13,2,24,0,0,,0,,13,54,27,0,3,0,2,1,17,7,0,0,0,1,2,0,0,0,0,0,0,0,0,1,1,50.0
Bruno Fernandes,0,0,0,1,2,0,1,0,45,3,0,0,0.9,0.1,0.2,7,0,26,36,72.2,3,23,1,1,0,26,36,72.2,467,158,12,14,85.7,8,10,80.0,5,10,50.0,0,0.2,0.0,4,1,1,0,3,36,27,8,0,0,0,6,0,5,4,0,0,26,1,0,3,3,1,2,0,1,2,50.0,1,0,0,0,0,3,0,0,45,0,8,21,16,1,44,1,0,0.0,1,100.0,23,154,62,1,1,0,2,0,29,1,1,0,0,1,2,0,6,0,3,0,0,0,3,0,0,
Cristiano Ronaldo,1,0,0,0,3,1,1,0,40,1,0,0,0.5,0.5,0.1,5,0,20,30,66.7,4,21,2,1,0,20,30,66.7,267,59,12,16,75.0,6,9,66.7,1,3,33.3,0,0.1,0.0,2,1,1,0,4,30,27,3,1,0,0,1,1,0,0,0,0,20,0,0,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0,40,0,3,23,14,6,40,1,0,0.0,1,100.0,21,119,46,2,1,1,3,1,31,6,1,0,0,1,0,2,1,0,1,0,0,0,2,2,2,50.0
David de Gea,0,0,0,0,0,0,0,0,25,0,0,0,0.0,0.0,0.0,0,0,17,20,85.0,0,11,0,0,0,17,20,85.0,353,179,5,5,100.0,10,10,100.0,2,5,40.0,0,0.0,0.0,0,0,0,0,0,20,13,7,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,25,25,25,0,0,0,25,0,0,,0,,11,40,6,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Diogo Dalot,0,0,0,0,2,1,0,0,63,3,0,1,0.1,0.1,0.0,2,0,48,56,85.7,5,34,1,0,0,48,56,85.7,770,271,23,24,95.8,20,25,80.0,4,6,66.7,0,0.0,0.0,1,1,1,0,5,56,49,7,2,0,0,1,5,0,0,0,0,48,0,0,3,1,2,0,1,2,3,66.7,1,1,1,0,0,3,1,0,63,2,24,25,14,1,63,0,0,,0,,34,138,63,1,0,0,1,0,41,2,0,0,0,0,0,0,1,0,1,0,0,0,7,2,0,100.0
Jadon Sancho,0,0,0,0,0,0,0,0,39,1,3,1,0.0,0.0,0.0,2,1,21,27,77.8,4,28,3,5,3,21,27,77.8,249,81,14,18,77.8,6,7,85.7,0,0,,0,0.0,0.1,0,0,0,0,4,27,26,1,0,0,0,0,1,0,0,0,0,21,0,1,1,1,0,1,0,0,0,,0,1,0,1,3,4,0,0,39,0,6,19,17,2,39,5,3,60.0,2,40.0,28,212,53,3,3,0,3,2,23,6,0,0,0,1,2,0,0,3,1,0,0,0,9,0,0,
Jesse Lingard,0,0,0,0,0,0,0,0,9,0,0,1,0.0,0.0,0.0,0,0,4,6,66.7,0,6,0,0,0,4,6,66.7,59,0,2,2,100.0,2,3,66.7,0,1,0.0,0,0.0,0.0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,9,0,0,5,4,0,9,0,0,,0,,6,12,3,0,0,0,1,1,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Juan Mata,0,0,0,0,0,0,0,0,12,2,0,0,0.0,0.0,0.0,0,0,10,12,83.3,1,10,2,0,0,10,12,83.3,163,28,7,8,87.5,2,2,100.0,1,2,50.0,0,0.0,0.0,0,1,0,0,1,12,12,0,0,0,1,1,0,0,0,0,0,10,0,0,2,2,1,1,0,2,3,66.7,1,0,0,0,0,2,0,0,12,0,1,7,5,0,12,0,0,,0,,10,73,48,2,1,0,0,0,9,1,0,0,0,0,0,0,1,0,2,0,0,0,2,0,0,
Marcus Rashford,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,5,6,83.3,0,4,0,0,0,5,6,83.3,63,0,4,5,80.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,6,0,2,1,3,0,6,0,0,,0,,4,39,7,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0
Nemanja Matić,0,1,0,0,0,0,0,0,46,0,2,1,0.0,0.0,0.5,1,1,37,42,88.1,1,19,0,1,1,37,42,88.1,511,166,20,21,95.2,12,14,85.7,2,3,66.7,1,0.5,0.2,1,2,1,1,1,42,37,5,5,0,0,1,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,,0,1,0,1,2,2,0,0,46,1,13,27,7,1,46,1,1,100.0,0,0.0,19,111,71,0,0,0,1,0,28,0,0,0,0,2,0,0,1,2,0,0,0,0,1,3,0,100.0
Raphaël Varane,0,0,0,0,0,0,0,0,66,0,1,0,0.0,0.0,0.0,0,0,45,56,80.4,1,38,0,0,0,45,56,80.4,885,264,13,16,81.3,24,26,92.3,7,13,53.8,0,0.0,0.0,0,1,0,0,1,56,55,1,1,0,1,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,8,0,66,17,42,25,0,0,66,0,0,,0,,38,164,67,0,0,0,0,0,42,0,0,0,0,0,0,0,0,1,0,0,0,0,3,2,0,100.0
