player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
14 Players,1,1,0,0,26,5,1,0,651,12,4,16,3.1,3.1,2.8,46,2,446,551,80.9,62,417,25,27,18,446,551,80.9,7837,2607,211,238,88.7,192,219,87.7,39,73,53.4,1,2.8,2.1,21,39,19,1,62,551,506,43,10,4,4,18,20,5,2,1,1,446,2,6,12,6,5,5,2,6,15,40.0,9,16,0,16,4,16,9,2,651,31,141,323,196,47,651,27,18,66.7,9,33.3,417,2313,1278,25,12,12,11,12,443,61,1,0,0,8,8,2,18,4,6,0,0,0,67,11,12,47.8
Aaron Ramsdale,0,0,0,0,0,0,0,0,30,0,0,0,0.0,0.0,0.0,0,0,22,28,78.6,0,22,0,0,0,22,28,78.6,488,263,7,7,100.0,9,10,90.0,6,11,54.5,0,0.0,0.0,0,0,0,0,0,28,24,4,1,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,30,17,30,0,0,0,30,0,0,,0,,22,100,45,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Alexandre Lacazette,0,0,0,0,8,2,0,0,39,1,0,1,1.2,1.2,0.1,7,0,19,27,70.4,3,28,1,5,3,19,27,70.4,216,58,15,18,83.3,3,4,75.0,0,0,,0,0.1,0.1,2,3,2,0,3,27,27,0,0,0,0,2,0,0,0,0,0,19,0,2,1,0,1,0,0,1,1,100.0,0,1,0,1,0,1,0,0,39,0,4,11,27,11,39,5,3,60.0,2,40.0,28,250,85,1,0,2,0,3,32,9,0,0,0,1,1,0,2,0,0,0,0,0,4,1,1,50.0
Ben White,0,0,0,0,1,0,0,0,83,0,1,2,0.1,0.1,0.1,2,0,60,72,83.3,10,59,2,1,0,60,72,83.3,1166,427,21,24,87.5,33,36,91.7,6,12,50.0,0,0.1,0.2,1,10,0,0,10,72,70,2,2,1,1,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,,0,2,0,2,1,1,3,0,83,3,25,55,3,2,83,1,0,0.0,1,100.0,59,313,225,2,0,0,0,1,57,2,0,0,0,1,1,0,0,1,0,0,0,0,7,5,2,71.4
Bukayo Saka,0,0,0,0,5,1,1,0,37,0,0,1,0.4,0.4,0.7,7,0,19,30,63.3,1,27,6,3,2,19,30,63.3,239,91,16,20,80.0,2,6,33.3,1,2,50.0,0,0.7,0.6,6,0,1,0,1,30,27,3,0,0,0,4,1,2,1,0,0,19,0,1,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0,37,0,1,7,29,14,37,3,2,66.7,1,33.3,27,194,136,6,1,6,0,1,32,21,1,0,0,2,0,0,4,0,0,0,0,0,1,1,0,100.0
Cédric Soares,0,0,0,0,0,0,0,0,53,1,0,1,0.0,0.0,0.0,2,0,43,48,89.6,7,36,1,0,0,43,48,89.6,763,265,21,21,100.0,16,17,94.1,6,10,60.0,0,0.0,0.0,0,3,1,0,7,48,41,7,1,0,1,2,6,0,0,0,0,43,0,0,1,1,1,0,0,0,1,0.0,1,1,0,1,0,1,0,0,53,0,9,29,15,0,53,0,0,,0,,36,135,59,1,0,0,1,1,37,2,0,0,0,0,1,0,2,0,1,0,0,0,5,0,1,0.0
Eddie Nketiah,0,1,0,0,0,0,0,0,9,1,0,2,0.0,0.0,0.7,3,1,3,3,100.0,1,7,0,2,2,3,3,100.0,39,18,2,2,100.0,1,1,100.0,0,0,,1,0.7,0.1,1,1,0,0,1,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,1,0,0,,0,2,0,2,0,1,0,0,9,0,0,5,4,2,9,2,2,100.0,0,0.0,7,29,16,0,0,0,3,0,5,1,0,0,0,0,0,1,0,0,1,0,0,0,2,0,1,0.0
Gabriel Magalhães,0,0,0,0,1,0,0,0,81,2,0,0,0.0,0.0,0.0,1,0,65,73,89.0,5,51,0,0,0,65,73,89.0,1139,283,25,26,96.2,38,40,95.0,2,6,33.3,0,0.0,0.0,0,2,0,0,5,73,70,3,0,0,0,0,0,0,0,0,0,65,0,1,2,0,2,0,0,2,2,100.0,0,0,0,0,0,2,1,2,81,7,39,41,2,1,81,0,0,,0,,51,294,198,0,0,0,0,0,51,0,0,0,0,0,2,0,0,0,0,0,0,0,10,2,3,40.0
Gabriel Martinelli,0,0,0,0,4,1,0,0,35,1,2,1,0.4,0.4,0.2,5,0,19,25,76.0,2,24,3,1,1,19,25,76.0,304,43,10,14,71.4,9,11,81.8,0,0,,0,0.2,0.2,2,0,2,0,2,25,25,0,0,0,0,1,0,0,0,0,0,19,0,0,1,0,0,1,0,1,2,50.0,1,1,0,1,2,3,0,0,35,0,0,15,21,7,35,1,1,100.0,0,0.0,24,142,68,3,1,2,2,2,26,7,0,0,0,1,0,0,1,2,0,0,0,0,4,1,2,33.3
Granit Xhaka,0,0,0,0,2,0,0,0,61,3,1,1,0.1,0.1,0.2,4,0,38,53,71.7,9,31,2,2,2,38,53,71.7,701,260,16,22,72.7,17,21,81.0,4,6,66.7,0,0.2,0.1,2,6,2,0,9,53,48,5,2,0,2,1,3,0,0,0,0,38,0,1,3,1,1,1,1,1,2,50.0,1,1,0,1,1,4,0,0,61,0,3,39,22,3,61,2,2,100.0,0,0.0,31,149,54,2,1,0,1,1,35,5,0,0,0,0,0,0,1,1,1,0,0,0,9,1,1,50.0
Kieran Tierney,0,0,0,0,0,0,0,0,80,1,0,2,0.0,0.0,0.4,5,0,57,71,80.3,7,40,4,1,0,57,71,80.3,1162,459,21,23,91.3,29,33,87.9,7,13,53.8,0,0.4,0.4,2,4,2,1,7,71,61,9,1,0,0,4,8,0,0,0,0,57,1,0,1,1,0,1,0,0,0,,0,2,0,2,0,1,3,0,80,3,21,43,16,1,80,1,0,0.0,1,100.0,40,256,157,4,3,0,0,0,47,2,0,0,0,0,0,0,4,0,1,0,0,0,4,0,0,
Martin Ødegaard,0,0,0,0,2,0,0,0,52,1,0,3,0.2,0.2,0.1,4,1,34,45,75.6,9,32,3,4,3,34,45,75.6,517,145,19,20,95.0,13,15,86.7,1,6,16.7,0,0.1,0.2,1,1,6,0,9,45,35,9,2,2,0,3,2,3,1,1,1,34,1,1,1,1,0,1,0,0,1,0.0,1,3,0,3,0,1,0,0,52,0,0,24,28,2,52,4,3,75.0,1,25.0,32,179,88,3,2,1,1,2,35,7,0,0,0,2,0,1,3,0,1,0,0,0,3,0,0,
Nicolas Pépé,1,0,0,0,1,1,0,0,20,0,0,1,0.7,0.7,0.0,1,0,12,15,80.0,1,14,1,2,1,12,15,80.0,118,20,10,11,90.9,1,3,33.3,0,0,,0,0.0,0.1,0,0,1,0,1,15,14,1,1,0,0,1,0,0,0,0,0,12,0,0,0,0,0,0,0,0,2,0.0,2,1,0,1,0,0,0,0,20,0,1,6,13,3,20,2,1,50.0,1,50.0,14,55,19,1,0,1,1,0,14,4,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,
Nuno Tavares,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,1,0,5,5,100.0,1,3,1,2,1,5,5,100.0,69,18,3,3,100.0,2,2,100.0,0,0,,0,0.0,0.0,1,1,0,0,1,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,7,0,2,5,1,0,7,2,1,50.0,1,50.0,3,51,45,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
