player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
14 Players,0,0,0,0,11,1,1,0,700,15,12,7,1.1,1.1,1.1,19,0,493,604,81.6,45,422,15,21,15,493,604,81.6,8154,2588,254,279,91.0,177,208,85.1,49,90,54.4,0,1.1,1.0,9,34,6,1,45,604,559,44,9,1,4,21,19,7,6,1,0,493,1,11,15,11,4,10,1,9,16,56.3,7,7,1,6,12,27,7,0,700,41,148,361,194,17,700,21,15,71.4,6,28.6,422,1957,973,15,16,6,21,8,490,45,1,0,0,8,10,1,21,12,11,0,0,0,58,10,10,50.0
Armando Broja,0,0,0,0,0,0,0,0,28,0,1,0,0.0,0.0,0.0,3,0,14,21,66.7,1,16,3,3,3,14,21,66.7,178,20,8,12,66.7,4,5,80.0,1,2,50.0,0,0.0,0.1,1,1,1,0,1,21,21,0,0,0,0,1,0,0,0,0,0,14,0,1,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,1,0,28,2,2,9,17,4,28,3,3,100.0,0,0.0,16,142,78,3,0,4,3,1,24,5,0,0,0,0,1,1,1,1,0,0,0,0,4,0,5,0.0
Che Adams,0,0,0,0,2,1,0,0,26,1,0,1,0.6,0.6,0.0,1,0,10,12,83.3,0,16,0,1,1,10,12,83.3,132,6,7,8,87.5,1,1,100.0,1,1,100.0,0,0.0,0.0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,10,0,1,1,0,0,1,0,0,0,,0,1,0,1,0,1,1,0,26,1,1,10,15,2,26,1,1,100.0,0,0.0,16,121,23,0,0,0,6,1,22,10,0,0,0,0,3,0,0,0,0,0,0,0,1,0,2,0.0
Fraser Forster,0,0,0,0,0,0,0,0,36,0,0,0,0.0,0.0,0.0,0,0,21,31,67.7,0,25,0,0,0,21,31,67.7,632,418,1,1,100.0,11,11,100.0,9,19,47.4,0,0.0,0.0,0,0,0,0,0,31,25,6,2,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,36,29,36,0,0,0,36,0,0,,0,,25,109,85,0,0,0,0,0,19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
Ibrahima Diallo,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.1,2,0,8,8,100.0,0,6,0,0,0,8,8,100.0,160,7,3,3,100.0,4,4,100.0,1,1,100.0,0,0.1,0.0,2,0,0,0,0,8,7,1,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,8,0,0,4,4,0,8,0,0,,0,,6,35,10,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jack Stephens,0,0,0,0,0,0,0,0,75,3,2,0,0.0,0.0,0.0,0,0,58,70,82.9,5,49,0,1,1,58,70,82.9,1099,432,22,23,95.7,28,33,84.8,7,13,53.8,0,0.0,0.0,0,2,0,0,5,70,68,2,2,0,1,0,0,0,0,0,0,58,0,0,3,2,1,2,0,2,4,50.0,2,0,0,0,2,5,1,0,75,2,30,44,1,1,75,1,1,100.0,0,0.0,49,207,104,0,0,0,0,0,49,0,0,0,0,0,0,0,0,2,2,0,0,0,11,1,1,50.0
James Ward-Prowse,0,0,0,0,2,0,0,0,86,1,2,1,0.1,0.1,0.0,3,0,65,79,82.3,5,42,0,1,0,65,79,82.3,1047,275,37,39,94.9,16,21,76.2,9,16,56.3,0,0.0,0.1,0,5,0,0,5,79,70,9,2,1,1,9,0,7,6,1,0,65,0,0,1,1,0,1,0,0,1,0.0,1,1,0,1,2,3,0,0,86,1,9,51,26,0,86,1,0,0.0,1,100.0,42,129,61,0,2,0,0,1,62,2,0,0,0,0,0,0,9,2,1,0,0,0,5,1,0,100.0
Jan Bednarek,0,0,0,0,1,0,0,0,83,2,2,1,0.1,0.1,0.0,1,0,66,76,86.8,2,46,0,0,0,66,76,86.8,1137,423,29,30,96.7,29,34,85.3,7,11,63.6,0,0.0,0.0,0,6,0,0,2,76,75,1,1,0,0,0,0,0,0,0,0,66,0,0,2,1,1,1,0,1,1,100.0,0,1,1,0,2,4,0,0,83,4,29,52,2,1,83,0,0,,0,,46,157,45,0,0,0,0,0,53,0,0,0,0,0,1,0,0,2,1,0,0,0,10,2,1,66.7
Kyle Walker-Peters,0,0,0,0,0,0,0,0,25,0,1,2,0.0,0.0,0.0,0,0,15,20,75.0,2,15,1,3,3,15,20,75.0,190,41,11,12,91.7,2,3,66.7,1,1,100.0,0,0.0,0.0,0,1,0,0,2,20,17,3,0,0,0,2,3,0,0,0,0,15,0,2,0,0,0,0,0,0,1,0.0,1,2,0,2,1,1,0,0,25,0,0,10,16,1,25,3,3,100.0,0,0.0,15,65,18,1,0,0,2,1,17,3,0,0,0,1,1,0,2,1,0,0,0,0,1,1,0,100.0
Mohamed Elyounoussi,0,0,0,0,0,0,0,0,27,1,0,0,0.0,0.0,0.0,0,0,15,18,83.3,3,13,4,0,0,15,18,83.3,219,34,10,10,100.0,4,4,100.0,1,3,33.3,0,0.0,0.0,0,1,0,0,3,18,18,0,0,0,0,2,0,0,0,0,0,15,0,1,1,1,1,0,0,0,0,,0,0,0,0,0,1,1,0,27,1,3,7,17,2,27,0,0,,0,,13,140,91,4,3,0,2,2,17,1,0,0,0,0,1,0,2,0,1,0,0,0,1,1,0,100.0
