player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
14 Players,0,0,0,0,20,1,1,0,726,19,4,13,1.3,1.3,1.2,39,0,494,608,81.3,69,424,25,15,7,494,608,81.3,8799,3019,205,238,86.1,215,245,87.8,53,87,60.9,0,1.2,1.1,18,42,23,8,69,608,570,38,6,2,4,36,14,10,2,8,0,494,0,6,19,12,10,7,2,12,20,60.0,8,13,1,12,4,23,16,0,726,47,162,339,231,33,726,15,7,46.7,8,53.3,424,2442,1448,25,16,3,24,9,492,69,1,0,0,12,7,0,36,4,12,0,0,0,55,16,17,48.5
Ashley Young,0,0,0,0,0,0,0,0,32,1,0,0,0.0,0.0,0.1,2,0,20,28,71.4,3,16,1,2,1,20,28,71.4,322,142,10,13,76.9,7,9,77.8,2,3,66.7,0,0.1,0.1,2,1,3,2,3,28,24,4,0,0,0,4,4,0,0,0,0,20,0,1,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,1,0,32,1,5,15,12,0,32,2,1,50.0,1,50.0,16,87,50,1,0,0,0,0,19,3,0,0,0,0,2,0,4,0,0,0,0,0,1,1,0,100.0
Calum Chambers,0,0,0,0,0,0,0,0,93,1,0,1,0.0,0.0,0.0,3,0,74,86,86.0,11,57,2,0,0,74,86,86.0,1467,661,25,27,92.6,40,43,93.0,9,16,56.3,0,0.0,0.0,0,9,1,0,11,86,85,1,1,0,0,0,0,0,0,0,0,74,0,0,1,0,0,1,0,1,2,50.0,1,1,1,0,0,1,6,0,93,7,41,49,4,1,93,0,0,,0,,57,331,255,2,1,0,0,0,63,1,0,0,0,1,0,0,0,0,0,0,0,0,6,5,5,50.0
Danny Ings,0,0,0,0,3,0,0,0,30,0,1,0,0.7,0.7,0.0,1,0,17,19,89.5,3,16,2,1,0,17,19,89.5,239,29,8,8,100.0,3,4,75.0,2,2,100.0,0,0.0,0.0,1,1,0,0,3,19,17,2,0,0,1,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,1,0,30,1,2,11,18,5,30,1,0,0.0,1,100.0,16,71,34,2,2,1,2,2,19,6,0,0,0,4,0,0,0,1,0,0,0,0,3,1,1,50.0
Douglas Luiz,0,0,0,0,1,0,0,0,32,1,0,1,0.0,0.0,0.0,1,0,27,28,96.4,3,17,0,0,0,27,28,96.4,444,129,14,15,93.3,11,11,100.0,2,2,100.0,0,0.0,0.0,0,4,0,0,3,28,27,1,1,0,0,0,0,0,0,0,0,27,0,0,1,0,1,0,0,1,1,100.0,0,1,0,1,0,1,0,0,32,0,6,21,5,0,32,0,0,,0,,17,66,34,0,0,0,1,0,23,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0.0
Emi Buendía,0,0,0,0,3,1,0,0,55,2,1,2,0.1,0.1,0.8,7,0,33,43,76.7,5,26,0,1,1,33,43,76.7,455,88,20,25,80.0,9,11,81.8,1,4,25.0,0,0.8,0.5,5,0,3,0,5,43,42,1,0,2,0,0,1,0,0,0,0,33,0,0,2,1,0,2,0,2,3,66.7,1,2,0,2,1,3,0,0,55,1,2,25,28,3,55,1,1,100.0,0,0.0,26,149,66,0,1,0,2,1,36,8,0,0,0,0,0,0,0,1,1,0,0,0,3,1,1,50.0
Emiliano Martínez,0,0,0,0,0,0,0,0,24,0,0,0,0.0,0.0,0.0,0,0,18,22,81.8,0,13,0,0,0,18,22,81.8,363,208,7,7,100.0,8,8,100.0,3,7,42.9,0,0.0,0.0,0,0,0,0,0,22,15,7,1,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,24,20,22,2,0,0,24,0,0,,0,,13,65,42,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,100.0
Jacob Ramsey,0,0,0,0,4,0,0,0,76,4,0,3,0.1,0.1,0.0,2,0,57,60,95.0,9,52,4,2,1,57,60,95.0,998,264,24,27,88.9,24,24,100.0,8,8,100.0,0,0.0,0.1,0,7,2,1,9,60,59,1,1,0,0,1,0,0,0,0,0,57,0,0,4,4,3,1,0,2,5,40.0,3,3,0,3,0,4,1,0,76,2,14,45,20,3,76,2,1,50.0,1,50.0,52,397,216,4,3,1,4,0,59,5,0,0,0,0,1,0,1,0,4,0,0,0,8,0,1,0.0
John McGinn,0,0,0,0,2,0,0,0,72,2,0,4,0.0,0.0,0.1,5,0,49,60,81.7,13,35,3,2,2,49,60,81.7,1049,435,17,20,85.0,20,25,80.0,11,13,84.6,0,0.1,0.1,2,10,5,1,13,60,58,2,2,0,0,3,0,0,0,0,0,49,0,1,2,2,1,0,1,1,2,50.0,1,4,0,4,0,2,1,0,72,5,10,38,24,0,72,2,2,100.0,0,0.0,35,238,163,3,3,0,2,2,46,0,0,0,0,2,2,0,3,0,2,0,0,0,5,2,1,66.7
Leon Bailey,0,0,0,0,0,0,0,0,22,0,0,0,0.0,0.0,0.0,2,0,11,16,68.8,0,15,1,1,0,11,16,68.8,209,16,3,4,75.0,4,6,66.7,2,3,66.7,0,0.0,0.0,0,0,0,0,0,16,14,2,0,0,1,4,0,2,2,0,0,11,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,22,0,1,9,12,4,22,1,0,0.0,1,100.0,15,81,30,1,1,0,3,2,17,5,0,0,0,0,0,0,4,0,0,0,0,0,2,2,0,100.0
