player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
14 Players,2,1,0,0,10,4,2,0,546,20,8,13,0.6,0.6,0.3,14,3,320,437,73.2,34,272,8,9,4,320,437,73.2,6166,2343,102,129,79.1,191,230,83.0,26,68,38.2,1,0.3,0.4,7,22,3,1,34,437,390,47,15,0,0,13,19,3,0,2,1,320,0,8,20,15,8,9,3,10,19,52.6,9,13,5,8,8,28,19,0,546,75,252,218,86,11,546,9,4,44.4,5,55.6,272,1309,670,8,5,1,11,6,317,34,2,0,0,17,11,0,13,8,15,0,0,0,47,10,15,40.0
Christian Nørgaard,0,0,0,0,0,0,0,0,77,5,4,0,0.0,0.0,0.1,2,0,45,58,77.6,11,33,1,1,0,45,58,77.6,832,332,16,18,88.9,28,34,82.4,1,4,25.0,0,0.1,0.0,1,8,1,0,11,58,53,5,3,0,0,0,0,0,0,0,0,45,0,1,5,3,1,3,1,3,5,60.0,2,0,0,0,4,9,2,0,77,3,26,40,13,1,77,1,0,0.0,1,100.0,33,145,81,1,1,0,2,1,40,4,0,0,0,3,2,0,0,4,3,0,0,0,10,1,1,50.0
Ethan Pinnock,0,0,0,0,0,0,0,0,69,4,1,2,0.0,0.0,0.0,1,0,43,59,72.9,4,25,0,0,0,43,59,72.9,789,353,17,22,77.3,24,31,77.4,2,4,50.0,0,0.0,0.0,0,2,0,0,4,59,53,6,0,0,0,0,6,0,0,0,0,43,0,2,4,3,2,2,0,1,1,100.0,0,2,1,1,1,5,3,0,69,4,39,29,1,0,69,0,0,,0,,25,68,40,0,0,0,0,1,34,0,0,0,0,0,1,0,0,1,3,0,0,0,6,3,2,60.0
Frank Onyeka,0,0,0,0,1,1,1,0,41,2,1,3,0.0,0.0,0.0,0,0,22,31,71.0,3,25,1,0,0,22,31,71.0,415,60,8,10,80.0,12,15,80.0,2,5,40.0,0,0.0,0.0,0,3,0,0,3,31,31,0,0,0,0,0,0,0,0,0,0,22,0,0,2,2,0,1,1,1,4,25.0,3,3,1,2,1,3,1,0,41,2,15,23,4,0,41,0,0,,0,,25,163,107,1,0,0,1,1,33,2,1,0,0,2,3,0,0,1,2,0,0,0,3,1,4,20.0
Ivan Toney,0,0,0,0,2,0,1,0,29,1,0,1,0.1,0.1,0.0,2,0,9,13,69.2,1,16,0,1,0,9,13,69.2,94,15,6,7,85.7,2,5,40.0,0,0,,0,0.0,0.0,1,0,0,0,1,13,12,1,0,0,0,0,1,0,0,0,0,9,0,0,1,1,1,0,0,0,2,0.0,2,1,0,1,0,1,0,0,29,0,2,19,9,1,29,1,0,0.0,1,100.0,16,54,5,0,0,0,7,1,20,3,1,0,0,2,1,0,0,0,1,0,0,0,3,0,3,0.0
Mads Bech Sørensen,0,0,0,0,0,0,0,0,69,0,1,1,0.0,0.0,0.0,2,0,52,62,83.9,1,35,0,0,0,52,62,83.9,981,445,17,19,89.5,32,36,88.9,3,7,42.9,0,0.0,0.0,1,2,0,0,1,62,50,12,1,0,0,0,11,0,0,0,0,52,0,1,0,0,0,0,0,0,1,0.0,1,1,1,0,1,1,4,0,69,11,45,21,4,0,69,0,0,,0,,35,178,103,0,0,0,0,0,39,1,0,0,0,0,1,0,0,1,0,0,0,0,4,0,1,0.0
Mads Roerslev,1,1,0,0,3,2,0,0,41,1,0,1,0.2,0.2,0.1,2,2,17,30,56.7,4,23,1,1,0,17,30,56.7,310,92,2,5,40.0,15,19,78.9,0,6,0.0,1,0.1,0.0,1,3,0,0,4,30,30,0,0,0,0,1,0,0,0,0,0,17,0,2,1,1,1,0,0,0,0,,0,1,0,1,0,1,3,0,41,3,16,16,9,2,41,1,0,0.0,1,100.0,23,109,46,1,1,0,1,0,27,4,0,0,0,1,0,0,1,0,1,0,0,0,3,1,1,50.0
Mathias Jensen,0,0,0,0,1,0,0,0,35,1,0,1,0.1,0.1,0.1,3,1,17,27,63.0,1,15,0,1,0,17,27,63.0,405,114,5,8,62.5,6,6,100.0,6,12,50.0,0,0.1,0.1,2,2,1,1,1,27,23,4,1,0,0,3,1,2,0,1,1,17,0,1,1,1,1,0,0,1,1,100.0,0,1,0,1,0,1,0,0,35,3,7,17,11,1,35,1,0,0.0,1,100.0,15,54,2,0,0,0,0,0,19,5,0,0,0,1,0,0,3,0,1,0,0,0,2,1,0,100.0
Pontus Jansson,0,0,0,0,1,0,0,0,57,1,1,1,0.0,0.0,0.0,0,0,40,48,83.3,3,29,0,0,0,40,48,83.3,861,296,7,9,77.8,29,33,87.9,4,5,80.0,0,0.0,0.0,0,1,0,0,3,48,46,2,2,0,0,0,0,0,0,0,0,40,0,0,1,0,1,0,0,1,2,50.0,1,1,1,0,1,2,3,0,57,12,36,19,2,2,57,0,0,,0,,29,107,46,0,0,0,0,1,34,0,0,0,0,0,0,0,0,1,0,0,0,0,3,2,0,100.0
Saman Ghoddos,0,0,0,0,0,0,0,0,27,4,0,0,0.0,0.0,0.0,0,0,15,22,68.2,2,12,0,0,0,15,22,68.2,232,84,4,6,66.7,11,14,78.6,0,2,0.0,0,0.0,0.0,0,0,0,0,2,22,18,4,3,0,0,1,0,1,0,1,0,15,0,0,4,3,1,3,0,2,2,100.0,0,0,0,0,0,4,1,0,27,1,11,9,8,0,27,0,0,,0,,12,43,28,0,0,0,0,0,11,4,0,0,0,4,0,0,1,0,3,0,0,0,4,0,1,0.0
