,minute,player,squad,xg,psxg,outcome,distance,body part,notes,sca_1_player,sca_1_event,sca_2_player,sca_2_event
0,24,Ivan Toney (pen),Brentford,0.79,0.99,Goal,13.0,Right Foot,,Frank Onyeka,Fouled,Rico Henry,Pass (Dead)
1,25,Salomón Rondón,Everton,0.23,0.16,Saved,7.0,Left Foot,,Salomón Rondón,Take-On,Lucas Digne,Pass (Live)
2,26,Salomón Rondón,Everton,0.03,0.01,Saved,14.0,Head,,Andros Townsend,Pass (Live),Abdoulaye Doucouré,Pass (Live)
3,28,Ethan Pinnock,Brentford,0.08,0.13,Saved,9.0,Head,,Charlie Goode,Pass (Dead),,
4,42,Bryan Mbeumo,Brentford,0.13,0.03,Saved,18.0,Right Foot,Volley,,,,
5,44,Lucas Digne,Everton,0.04,,Off Target,32.0,Left Foot,Free kick,Anthony Gordon,Fouled,Lucas Digne,Pass (Live)
6,45+1,Abdoulaye Doucouré,Everton,0.1,,Blocked,9.0,Head,,Andros Townsend,Pass (Live),Séamus Coleman,Pass (Live)
7,45+1,Michael Keane,Everton,0.02,,Blocked,36.0,Right Foot,,,,,
8,45+2,Anthony Gordon,Everton,0.16,,Blocked,5.0,Head,,Andros Townsend,Pass (Dead),Michael Keane,Shot
9,,,,,,,,,,,,,
10,46,Sergi Canós,Brentford,0.12,,Off Target,17.0,Right Foot,Volley,,,,
11,49,Salomón Rondón,Everton,0.04,,Off Target,13.0,Left Foot,Volley,Lucas Digne,Pass (Live),,
12,56,Salomón Rondón,Everton,0.07,,Blocked,15.0,Right Foot,Volley,Séamus Coleman,Take-On,Séamus Coleman,Take-On
13,60,Abdoulaye Doucouré,Everton,0.1,,Off Target,14.0,Right Foot,,Séamus Coleman,Pass (Live),Andros Townsend,Pass (Live)
14,60,Alex Iwobi,Everton,0.12,0.21,Saved,10.0,Left Foot,,Allan,Pass (Live),Abdoulaye Doucouré,Pass (Live)
15,76,Demarai Gray,Everton,0.02,0.03,Saved,29.0,Right Foot,Deflected,Salomón Rondón,Pass (Live),Lucas Digne,Pass (Live)
16,84,Salomón Rondón,Everton,0.03,,Off Target,14.0,Head,,Séamus Coleman,Pass (Live),Michael Keane,Pass (Live)
17,88,Lucas Digne,Everton,0.02,,Blocked,22.0,Left Foot,Volley,Lucas Digne,Pass (Live),Michael Keane,Pass (Live)
18,89,Alex Iwobi,Everton,0.04,0.23,Saved,13.0,Head,,Lucas Digne,Pass (Live),Allan,Pass (Live)
19,90+4,Yoane Wissa,Brentford,0.07,0.18,Saved,22.0,Right Foot,,Shandon Baptiste,Pass (Live),Shandon Baptiste,Take-On
20,90+6,Bryan Mbeumo,Brentford,0.05,,Off Target,16.0,Right Foot,,Yoane Wissa,Take-On,Yoane Wissa,Tackle
