player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
14 Players,3,1,0,0,12,3,1,0,422,14,15,11,2.2,2.2,1.3,19,4,201,307,65.5,27,184,10,11,8,201,307,65.5,3746,2037,87,109,79.8,75,108,69.4,25,63,39.7,1,1.3,1.8,6,27,8,5,27,307,261,42,11,5,2,13,15,2,1,1,0,201,4,7,14,6,9,5,0,10,15,66.7,5,11,5,6,15,29,31,0,422,75,158,168,100,21,422,11,8,72.7,3,27.3,184,949,400,10,5,4,9,8,198,25,1,0,0,8,7,4,13,15,6,0,0,0,38,24,22,52.2
Bryan Mbeumo,0,0,0,0,1,0,0,0,34,0,0,2,0.7,0.7,0.1,3,0,14,25,56.0,0,22,6,4,3,14,25,56.0,178,33,7,12,58.3,3,6,50.0,1,2,50.0,0,0.1,0.1,1,1,1,1,0,25,25,0,0,2,0,2,0,0,0,0,0,14,0,3,0,0,0,0,0,0,0,,0,2,0,2,0,0,0,0,34,0,4,11,20,7,34,4,3,75.0,1,25.0,22,204,86,6,0,4,2,1,24,13,0,0,0,0,0,2,2,0,0,0,0,0,6,0,5,0.0
Christian Nørgaard,0,0,0,0,0,0,0,0,35,2,0,0,0.0,0.0,0.2,0,0,24,29,82.8,4,12,0,0,0,24,29,82.8,379,112,9,10,90.0,10,14,71.4,2,2,100.0,0,0.2,0.0,1,3,1,0,4,29,25,4,0,0,0,0,0,0,0,0,0,24,0,0,2,0,1,1,0,1,1,100.0,0,0,0,0,0,2,0,0,35,0,4,28,3,1,35,0,0,,0,,12,41,10,0,0,0,2,0,20,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,
David Raya,0,0,0,0,0,0,0,0,49,0,0,0,0.0,0.0,0.0,1,0,20,44,45.5,0,27,0,0,0,20,44,45.5,903,847,0,0,,6,6,100.0,14,38,36.8,0,0.0,0.0,0,7,0,0,0,44,28,16,6,0,1,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,49,32,47,2,0,0,49,0,0,,0,,27,141,69,0,0,0,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
Ethan Pinnock,1,0,0,0,1,1,0,0,26,0,1,1,0.2,0.2,0.0,1,0,15,18,83.3,3,4,0,0,0,15,18,83.3,253,121,5,5,100.0,8,10,80.0,1,1,100.0,0,0.0,0.0,0,1,0,0,3,18,11,6,0,0,0,0,6,0,0,0,0,15,1,0,0,0,0,0,0,0,0,,0,1,1,0,1,1,5,0,26,5,11,9,6,1,26,0,0,,0,,4,4,2,0,0,0,0,0,9,1,0,0,0,0,0,0,0,1,0,0,0,0,3,4,0,100.0
Frank Onyeka,0,0,0,0,2,0,1,0,22,2,0,2,0.1,0.1,0.0,0,0,8,11,72.7,1,8,0,1,1,8,11,72.7,127,32,2,3,66.7,4,4,100.0,0,1,0.0,0,0.0,0.0,0,0,0,0,1,11,11,0,0,0,0,0,0,0,0,0,0,8,0,0,2,1,2,0,0,1,1,100.0,0,2,0,2,0,2,1,0,22,2,6,12,4,2,22,1,1,100.0,0,0.0,8,29,13,0,0,0,1,0,7,0,1,0,0,1,1,0,0,0,1,0,0,0,5,1,3,25.0
Ivan Toney,0,1,0,0,3,0,0,0,35,1,2,0,0.2,0.2,0.9,4,1,15,25,60.0,6,21,0,1,1,15,25,60.0,161,83,8,10,80.0,4,8,50.0,0,0,,1,0.9,0.8,2,4,2,0,6,25,23,0,0,1,0,0,0,0,0,0,0,15,2,0,1,1,1,0,0,1,3,33.3,2,0,0,0,2,3,1,0,35,1,5,13,17,4,35,1,1,100.0,0,0.0,21,78,31,0,1,0,1,2,30,3,0,0,0,2,1,2,0,2,1,0,0,0,1,9,7,56.3
Kristoffer Ajer,0,0,0,0,0,0,0,0,30,1,2,2,0.0,0.0,0.0,1,0,13,20,65.0,1,12,0,0,0,13,20,65.0,258,160,5,6,83.3,6,9,66.7,2,4,50.0,0,0.0,0.1,0,1,1,1,1,20,15,5,1,0,0,1,4,0,0,0,0,13,0,1,1,0,1,0,0,0,0,,0,2,2,0,2,3,4,0,30,9,17,12,1,0,30,0,0,,0,,12,97,50,0,0,0,1,1,8,1,0,0,0,0,2,0,1,2,0,0,0,0,3,3,4,42.9
Mathias Jørgensen,0,0,0,0,0,0,0,0,26,1,2,0,0.0,0.0,0.0,0,0,12,20,60.0,0,6,0,0,0,12,20,60.0,179,81,7,11,63.6,5,8,62.5,0,0,,0,0.0,0.0,0,0,0,0,0,20,14,5,1,0,0,0,4,0,0,0,0,12,1,0,1,0,0,1,0,1,2,50.0,1,0,0,0,2,3,3,0,26,4,7,10,9,0,26,0,0,,0,,6,30,3,0,1,0,0,0,8,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,
Pontus Jansson,0,0,0,0,1,0,0,0,27,0,3,1,0.2,0.2,0.0,1,1,9,15,60.0,1,5,0,0,0,9,15,60.0,198,121,1,1,100.0,6,12,50.0,1,1,100.0,0,0.0,0.0,0,1,0,0,1,15,15,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,,0,1,1,0,3,3,5,0,27,7,16,10,1,1,27,0,0,,0,,5,12,3,0,0,0,0,0,6,0,0,0,0,0,1,0,0,3,0,0,0,0,1,3,2,60.0
