player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
14 Players,0,0,0,0,8,2,1,0,503,8,11,15,0.4,0.4,0.3,16,0,295,394,74.9,33,271,19,14,6,295,394,74.9,5076,2064,121,149,81.2,149,166,89.8,18,55,32.7,0,0.3,0.4,5,23,6,0,33,394,347,46,8,1,0,12,16,5,2,1,0,295,1,15,8,5,3,5,0,2,8,25.0,6,15,7,8,11,19,20,0,503,71,211,184,114,16,503,14,6,42.9,8,57.1,271,1281,659,19,11,3,24,8,292,33,1,0,0,5,8,1,12,11,5,0,0,0,46,7,16,30.4
Aaron Ramsdale,0,0,0,0,0,0,0,0,39,0,0,0,0.0,0.0,0.0,0,0,18,37,48.6,0,17,0,0,0,18,37,48.6,422,278,6,7,85.7,9,9,100.0,3,21,14.3,0,0.0,0.0,0,0,0,0,0,37,20,17,2,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,39,35,39,0,0,0,39,0,0,,0,,17,79,33,0,0,0,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
Ainsley Maitland-Niles,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Albert Sambi Lokonga,0,0,0,0,1,0,0,0,53,1,3,2,0.0,0.0,0.0,0,0,37,44,84.1,3,30,3,0,0,37,44,84.1,546,195,18,22,81.8,19,20,95.0,0,0,,0,0.0,0.0,0,2,0,0,3,44,42,2,1,0,0,0,1,0,0,0,0,37,0,2,1,1,0,1,0,0,0,,0,2,2,0,3,4,2,0,53,4,23,21,10,0,53,0,0,,0,,30,121,71,3,1,0,1,0,32,1,0,0,0,0,1,0,0,3,1,0,0,0,3,1,0,100.0
Alexandre Lacazette,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,1,0,6,7,85.7,3,8,1,0,0,6,7,85.7,96,46,3,3,100.0,3,3,100.0,0,1,0.0,0,0.0,0.0,0,2,1,0,3,7,7,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,10,0,2,5,3,0,10,0,0,,0,,8,34,24,1,0,0,3,0,10,2,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,0.0
Ben White,0,0,0,0,0,0,0,0,42,0,2,2,0.0,0.0,0.0,1,0,23,31,74.2,1,24,2,1,1,23,31,74.2,396,175,7,9,77.8,13,14,92.9,2,4,50.0,0,0.0,0.1,1,2,0,0,1,31,31,0,0,0,0,0,0,0,0,0,0,23,0,3,0,0,0,0,0,0,0,,0,2,2,0,2,2,7,0,42,9,29,11,3,2,42,1,1,100.0,0,0.0,24,167,120,2,0,0,0,0,22,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,
Bukayo Saka,0,0,0,0,1,1,0,0,51,0,1,0,0.1,0.1,0.1,4,0,32,41,78.0,2,34,4,4,2,32,41,78.0,452,89,19,22,86.4,11,12,91.7,0,1,0.0,0,0.1,0.1,1,0,1,0,2,41,40,1,0,0,0,2,0,0,0,0,0,32,0,3,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,51,1,6,24,22,4,51,4,2,50.0,2,50.0,34,225,121,4,5,1,3,2,41,10,0,0,0,0,1,0,2,1,0,0,0,0,5,1,1,50.0
Emile Smith Rowe,0,0,0,0,1,1,0,0,40,1,1,3,0.1,0.1,0.0,3,0,24,27,88.9,6,23,4,5,3,24,27,88.9,339,91,12,13,92.3,10,11,90.9,0,1,0.0,0,0.0,0.0,2,2,1,0,6,27,27,0,0,0,0,2,0,0,0,0,0,24,0,0,1,0,0,1,0,0,2,0.0,2,3,0,3,1,2,0,0,40,1,7,21,13,2,40,5,3,60.0,2,40.0,23,192,110,4,3,1,1,1,27,5,0,0,0,0,2,0,2,1,0,0,0,0,6,0,1,0.0
Gabriel Magalhães,0,0,0,0,1,0,0,0,52,1,0,2,0.0,0.0,0.0,0,0,40,45,88.9,4,37,0,0,0,40,45,88.9,775,328,8,10,80.0,28,28,100.0,3,6,50.0,0,0.0,0.0,0,2,0,0,4,45,43,2,1,0,0,0,0,0,0,0,0,40,0,0,1,1,1,0,0,1,1,100.0,0,2,2,0,0,1,3,0,52,12,37,13,2,1,52,0,0,,0,,37,105,61,0,0,0,0,1,37,0,0,0,0,1,1,0,0,0,1,0,0,0,5,1,1,50.0
Kieran Tierney,0,0,0,0,0,0,0,0,40,1,0,2,0.0,0.0,0.0,1,0,19,33,57.6,1,18,2,0,0,19,33,57.6,320,146,9,13,69.2,8,13,61.5,2,5,40.0,0,0.0,0.0,0,2,0,0,1,33,27,6,0,0,0,3,6,0,0,0,0,19,0,2,1,0,0,1,0,1,1,100.0,0,2,1,1,0,1,1,0,40,2,16,13,11,1,40,0,0,,0,,18,90,51,2,0,0,0,0,19,4,0,0,0,1,1,0,3,0,0,0,0,0,3,0,2,0.0
Martin Ødegaard,0,0,0,0,0,0,0,0,29,1,0,0,0.0,0.0,0.0,1,0,16,22,72.7,1,17,0,2,0,16,22,72.7,232,79,9,11,81.8,7,8,87.5,0,1,0.0,0,0.0,0.0,0,2,0,0,1,22,21,1,0,0,0,1,0,1,0,0,0,16,0,2,1,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,29,0,3,15,11,1,29,2,0,0.0,2,100.0,17,49,10,0,0,0,3,0,20,4,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,100.0
