player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
14 Players,0,0,0,0,20,4,1,0,659,11,11,10,2.3,2.3,1.9,36,0,408,539,75.7,63,390,26,31,16,408,539,75.7,7496,2789,152,184,82.6,205,247,83.0,40,72,55.6,0,1.9,1.1,15,36,15,2,63,539,486,51,15,7,5,19,20,6,4,2,0,408,2,9,11,8,7,4,0,5,12,41.7,7,10,2,8,11,22,14,2,659,63,202,298,173,35,659,31,16,51.6,15,48.4,390,2352,1347,26,15,5,22,13,402,62,1,0,0,12,14,2,19,11,8,0,0,0,78,17,13,56.7
Adam Webster,0,0,0,0,0,0,0,0,73,0,0,0,0.0,0.0,0.0,4,0,50,68,73.5,10,50,5,3,2,50,68,73.5,1110,420,8,13,61.5,33,41,80.5,8,11,72.7,0,0.0,0.0,0,7,0,0,10,68,67,0,0,2,0,0,0,0,0,0,0,50,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,1,73,6,28,42,3,0,73,3,2,66.7,1,33.3,50,497,380,5,3,0,1,0,53,0,0,0,0,3,0,0,0,0,0,0,0,0,2,3,0,100.0
Jakub Moder,0,0,0,0,4,0,0,0,60,2,0,0,0.3,0.3,0.1,2,0,16,36,44.4,2,30,1,2,0,16,36,44.4,200,33,9,16,56.3,6,10,60.0,0,2,0.0,0,0.1,0.0,2,3,0,0,2,36,36,0,0,2,0,2,0,0,0,0,0,16,0,4,2,2,2,0,0,2,2,100.0,0,0,0,0,0,2,1,0,60,2,9,24,28,10,60,2,0,0.0,2,100.0,30,121,28,1,2,0,7,1,38,12,0,0,0,1,2,0,2,0,2,0,0,0,5,2,5,28.6
Jeremy Sarmiento,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,3,4,75.0,0,5,2,2,1,3,4,75.0,36,9,2,3,66.7,1,1,100.0,0,0,,0,0.0,0.0,0,1,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,6,0,2,2,3,1,6,2,1,50.0,1,50.0,5,75,59,2,0,1,0,1,4,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,
Joël Veltman,0,0,0,0,0,0,0,0,66,1,1,1,0.0,0.0,0.0,3,0,42,60,70.0,8,30,1,3,1,42,60,70.0,732,460,19,19,100.0,21,31,67.7,2,3,66.7,0,0.0,0.1,0,5,1,0,8,60,50,10,1,0,0,0,9,0,0,0,0,42,0,2,1,1,1,0,0,0,2,0.0,2,1,0,1,1,2,3,0,66,4,22,36,14,1,66,3,1,33.3,2,66.7,30,109,36,1,1,0,0,0,21,1,0,0,0,0,0,0,0,1,1,0,0,0,14,4,1,80.0
Jürgen Locadia,0,0,0,0,1,0,0,0,3,0,0,0,0.2,0.2,0.0,0,0,1,1,100.0,0,3,0,0,0,1,1,100.0,25,0,0,0,,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,3,0,0,1,2,0,3,0,0,,0,,3,16,0,0,0,0,1,1,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,
Leandro Trossard,0,0,0,0,4,1,0,0,52,1,1,0,0.3,0.3,0.1,4,0,28,37,75.7,8,37,3,9,5,28,37,75.7,427,193,15,19,78.9,10,13,76.9,2,3,66.7,0,0.1,0.1,2,4,3,0,8,37,37,0,0,0,0,1,0,0,0,0,0,28,0,0,1,0,1,0,0,0,0,,0,0,0,0,1,2,0,0,52,1,7,23,23,6,52,9,5,55.6,4,44.4,37,234,105,3,1,1,1,4,39,11,0,0,0,2,2,0,1,1,0,0,0,0,6,2,1,66.7
Lewis Dunk,0,0,0,0,0,0,0,0,81,0,1,0,0.0,0.0,0.0,1,0,67,79,84.8,5,57,2,0,0,67,79,84.8,1397,415,15,17,88.2,44,49,89.8,8,12,66.7,0,0.0,0.0,0,6,0,0,5,79,73,6,6,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,3,1,81,11,40,43,0,0,81,0,0,,0,,57,326,213,2,0,0,0,0,59,0,0,0,0,1,0,0,0,1,0,0,0,0,7,3,0,100.0
Marc Cucurella,0,0,0,0,1,0,0,0,70,4,1,0,0.0,0.0,0.0,4,0,45,59,76.3,6,36,5,3,2,45,59,76.3,691,305,21,24,87.5,18,24,75.0,3,7,42.9,0,0.0,0.1,2,0,2,0,6,59,45,13,2,0,0,5,10,1,1,0,0,45,1,0,4,3,2,2,0,2,5,40.0,3,0,0,0,1,5,4,0,70,6,24,29,18,2,70,3,2,66.7,1,33.3,36,184,132,5,1,1,1,0,27,4,0,0,0,0,2,0,5,1,3,0,0,0,16,1,0,100.0
Neal Maupay,0,0,0,0,5,1,0,0,35,0,0,3,1.2,1.2,0.0,1,0,19,24,79.2,4,23,1,0,0,19,24,79.2,265,50,13,15,86.7,4,4,100.0,1,2,50.0,0,0.0,0.1,0,0,3,0,4,24,23,1,0,1,2,0,0,0,0,0,0,19,0,2,0,0,0,0,0,0,0,,0,3,1,2,0,0,0,0,35,1,1,16,18,3,35,0,0,,0,,23,146,35,1,0,0,1,4,27,13,0,0,0,1,2,0,0,0,0,0,0,0,3,0,0,
Pascal Groß,0,0,0,0,1,0,0,0,74,0,3,3,0.2,0.2,1.1,7,0,55,65,84.6,9,33,1,1,0,55,65,84.6,1075,275,19,22,86.4,25,27,92.6,8,13,61.5,0,1.1,0.2,4,6,1,0,9,65,53,12,6,0,1,7,1,5,3,2,0,55,0,0,0,0,0,0,0,0,2,0.0,2,3,1,2,3,3,0,0,74,2,12,44,18,3,74,1,0,0.0,1,100.0,33,123,55,1,1,0,2,0,40,4,0,0,0,1,0,1,7,3,0,0,0,0,8,0,2,0.0
Robert Sánchez,0,0,0,0,0,0,0,0,45,0,0,0,0.0,0.0,0.0,0,0,32,41,78.0,0,24,0,0,0,32,41,78.0,723,395,6,6,100.0,21,21,100.0,5,14,35.7,0,0.0,0.0,0,0,0,0,0,41,32,9,0,0,1,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,45,29,45,0,0,0,45,0,0,,0,,24,86,47,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
Solly March,0,0,0,0,2,2,0,0,6,0,0,0,0.1,0.1,0.0,1,0,0,3,0.0,0,4,0,1,1,0,3,0.0,0,0,0,2,0.0,0,0,,0,1,0.0,0,0.0,0.0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,6,0,0,0,6,3,6,1,1,100.0,0,0.0,4,35,9,0,0,0,1,1,5,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,100.0
Tariq Lamptey,0,0,0,0,0,0,0,0,43,1,1,1,0.0,0.0,0.6,8,0,24,30,80.0,4,35,4,4,3,24,30,80.0,379,102,13,14,92.9,8,12,66.7,2,2,100.0,0,0.6,0.6,5,0,4,2,4,30,30,0,0,0,1,4,0,0,0,0,0,24,0,1,1,1,0,1,0,0,0,,0,1,0,1,1,2,0,0,43,0,2,18,25,4,43,4,3,75.0,1,25.0,35,208,138,4,3,2,5,1,33,12,0,0,0,1,4,0,4,1,1,0,0,0,8,0,3,0.0
Yves Bissouma,0,0,0,0,2,0,1,0,45,2,3,2,0.1,0.1,0.0,1,0,26,32,81.3,7,23,1,3,1,26,32,81.3,436,132,12,14,85.7,13,13,100.0,1,2,50.0,0,0.0,0.0,0,4,1,0,7,32,32,0,0,2,0,0,0,0,0,0,0,26,0,0,2,1,1,1,0,1,1,100.0,0,2,0,2,3,5,0,0,45,1,10,20,15,2,45,3,1,33.3,2,66.7,23,192,110,1,3,0,2,0,24,1,1,0,0,1,0,0,0,3,1,0,0,0,6,1,1,50.0
