player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
14 Players,2,1,1,1,17,8,1,0,552,15,9,8,2.3,1.5,1.0,31,3,341,443,77.0,41,292,17,10,7,341,443,77.0,6782,2815,139,156,89.1,127,158,80.4,65,98,66.3,1,1.0,1.6,10,36,12,1,41,443,395,47,12,2,5,14,19,5,2,3,0,341,1,12,15,9,5,10,0,4,14,28.6,10,8,1,7,9,24,16,0,552,47,156,259,140,36,551,10,7,70.0,3,30.0,292,1447,740,17,12,6,20,10,336,40,1,0,0,15,11,1,14,9,9,0,0,0,47,7,6,53.8
Alisson,0,0,0,0,0,0,0,0,41,0,0,0,0.0,0.0,0.0,0,0,28,39,71.8,0,22,0,0,0,28,39,71.8,830,588,3,3,100.0,13,13,100.0,12,23,52.2,0,0.0,0.0,0,0,0,0,0,39,28,11,1,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,41,29,40,1,0,0,41,0,0,,0,,22,122,61,0,0,0,0,0,19,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,
Andrew Robertson,0,0,0,0,1,0,0,0,77,2,2,0,0.1,0.1,0.2,2,0,50,68,73.5,3,40,1,0,0,50,68,73.5,808,307,27,30,90.0,20,28,71.4,3,8,37.5,0,0.2,0.0,1,1,0,0,3,68,55,13,5,0,0,3,7,1,1,0,0,50,0,2,2,1,1,1,0,1,2,50.0,1,0,0,0,2,4,2,0,77,2,26,35,17,3,77,0,0,,0,,40,179,77,1,2,0,2,0,45,3,0,0,0,2,0,0,3,2,1,0,0,0,7,0,1,0.0
Diogo Jota,0,0,0,0,0,0,0,0,12,2,1,0,0.0,0.0,0.0,1,0,5,6,83.3,1,8,0,0,0,5,6,83.3,109,33,3,3,100.0,1,1,100.0,1,1,100.0,0,0.0,0.0,0,1,0,0,1,6,6,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,2,0,0,2,0.0,2,0,0,0,1,3,0,0,12,1,2,4,6,2,12,0,0,,0,,8,30,20,0,0,0,0,1,8,1,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,
Fabinho,0,0,0,0,0,0,1,0,35,3,0,1,0.0,0.0,0.0,1,0,24,31,77.4,3,19,0,0,0,24,31,77.4,449,170,8,8,100.0,10,10,100.0,4,8,50.0,0,0.0,0.3,0,4,0,0,3,31,30,1,1,0,0,0,0,0,0,0,0,24,0,2,3,2,2,1,0,0,2,0.0,2,1,0,1,0,3,0,0,35,0,11,23,1,1,35,0,0,,0,,19,50,21,0,0,0,0,0,23,1,1,0,0,3,1,0,0,0,2,0,0,0,7,0,1,0.0
James Milner,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,1,0,1,1,2,3,66.7,49,4,0,0,,1,1,100.0,1,2,50.0,0,0.0,0.0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,6,0,0,6,0,0,6,1,1,100.0,0,0.0,1,8,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Jordan Henderson,0,0,0,0,1,1,0,0,44,2,1,0,0.1,0.1,0.0,4,0,25,37,67.6,0,28,2,0,0,25,37,67.6,415,85,17,19,89.5,2,8,25.0,5,7,71.4,0,0.0,0.0,0,3,1,0,0,37,35,2,0,0,1,2,1,0,0,0,0,25,0,0,2,2,0,2,0,0,1,0.0,1,0,0,0,1,3,1,0,44,1,4,22,18,2,44,0,0,,0,,28,120,68,2,2,1,1,0,32,6,0,0,0,0,0,0,2,1,2,0,0,0,4,0,0,
Joël Matip,0,1,0,0,1,0,0,0,50,0,1,2,0.1,0.1,0.1,1,1,29,38,76.3,5,18,3,0,0,29,38,76.3,630,381,10,12,83.3,11,14,78.6,7,9,77.8,1,0.1,0.2,1,6,1,0,5,38,34,3,3,1,0,0,0,0,0,0,0,29,1,0,0,0,0,0,0,0,0,,0,2,1,1,1,1,7,0,50,6,18,27,5,2,50,0,0,,0,,18,154,131,3,1,0,0,0,20,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,0,100.0
Luis Díaz,1,0,0,0,2,2,0,0,51,2,0,1,0.2,0.2,0.3,3,0,26,34,76.5,3,38,6,2,1,26,34,76.5,402,78,13,14,92.9,8,9,88.9,3,4,75.0,0,0.3,0.1,2,1,2,0,3,34,34,0,0,0,1,0,0,0,0,0,0,26,0,3,2,2,1,1,0,0,0,,0,1,0,1,0,2,0,0,51,0,4,22,26,9,51,2,1,50.0,1,50.0,38,305,184,6,3,3,5,4,42,12,0,0,0,6,3,0,0,0,2,0,0,0,6,0,1,0.0
Mohamed Salah,1,0,1,1,6,2,0,0,27,0,0,0,1.4,0.6,0.2,6,0,11,17,64.7,1,14,2,2,2,11,17,64.7,147,28,7,9,77.8,3,6,50.0,1,1,100.0,0,0.2,0.5,1,0,0,0,1,17,17,0,0,0,0,0,0,0,0,0,0,11,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,27,0,0,5,22,10,26,2,2,100.0,0,0.0,14,77,47,2,1,2,3,0,18,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
