player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
12 Players,0,0,0,0,13,2,1,0,559,14,6,8,0.6,0.6,0.4,19,0,299,455,65.7,20,241,9,21,11,299,455,65.7,5302,2192,120,147,81.6,116,170,68.2,40,90,44.4,0,0.4,0.3,7,22,7,3,20,455,390,62,8,0,5,14,43,4,3,1,0,299,3,9,14,6,7,5,2,8,16,50.0,8,8,2,6,6,20,23,0,559,46,160,276,129,16,559,21,11,52.4,10,47.6,241,1175,619,9,8,1,17,6,296,20,1,0,0,16,8,3,14,6,6,0,0,0,60,24,22,52.2
Aaron Lennon,0,0,0,0,0,0,0,0,24,3,0,0,0.0,0.0,0.0,0,0,11,15,73.3,0,15,1,3,1,11,15,73.3,137,28,7,7,100.0,3,5,60.0,0,1,0.0,0,0.0,0.0,0,2,0,0,0,15,15,0,0,0,0,1,0,0,0,0,0,11,0,0,3,1,1,1,1,1,1,100.0,0,0,0,0,0,3,1,0,24,1,3,13,9,1,24,3,1,33.3,2,66.7,15,79,23,1,1,1,1,2,18,1,0,0,0,3,1,0,1,0,1,0,0,0,3,0,2,0.0
Ashley Westwood,0,0,0,0,1,0,0,0,57,0,1,1,0.0,0.0,0.1,3,0,41,54,75.9,3,20,0,0,0,41,54,75.9,686,188,14,16,87.5,18,23,78.3,4,8,50.0,0,0.1,0.1,1,5,1,0,3,54,47,5,2,0,0,4,0,2,1,1,0,41,2,0,0,0,0,0,0,0,0,,0,1,0,1,1,1,1,0,57,1,12,32,13,1,57,0,0,,0,,20,50,13,0,0,0,1,0,35,1,0,0,0,1,1,0,4,1,0,0,0,0,6,0,1,0.0
Ben Mee,0,0,0,0,0,0,0,0,66,0,2,1,0.0,0.0,0.0,0,0,39,58,67.2,3,37,0,0,0,39,58,67.2,835,346,9,13,69.2,26,29,89.7,4,13,30.8,0,0.0,0.0,0,2,0,0,3,58,57,1,1,0,3,0,0,0,0,0,0,39,0,1,0,0,0,0,0,0,0,,0,1,1,0,2,2,4,0,66,5,29,32,5,3,66,0,0,,0,,37,166,89,0,0,0,0,0,40,0,0,0,0,0,0,0,0,2,0,0,0,0,7,3,2,60.0
Connor Roberts,0,0,0,0,0,0,0,0,80,0,0,1,0.0,0.0,0.0,2,0,37,73,50.7,4,29,4,2,1,37,73,50.7,644,337,18,20,90.0,11,31,35.5,7,19,36.8,0,0.0,0.1,1,2,1,1,4,73,45,28,0,0,0,2,28,0,0,0,0,37,0,1,0,0,0,0,0,0,0,,0,1,0,1,0,0,3,0,80,2,15,39,27,0,80,2,1,50.0,1,50.0,29,189,136,4,2,0,0,0,33,4,0,0,0,0,1,1,2,0,0,0,0,0,7,2,3,40.0
Dale Stephens,0,0,0,0,1,0,1,0,51,3,1,2,0.0,0.0,0.0,1,0,34,42,81.0,4,17,0,0,0,34,42,81.0,563,118,17,22,77.3,10,12,83.3,5,5,100.0,0,0.0,0.1,1,3,2,0,4,42,42,0,0,0,0,0,0,0,0,0,0,34,0,1,3,1,0,2,1,3,6,50.0,3,2,1,1,1,4,0,0,51,2,7,39,5,0,51,0,0,,0,,17,73,18,0,1,0,1,0,24,1,1,0,0,4,0,0,0,1,1,0,0,0,7,0,2,0.0
Dwight McNeil,0,0,0,0,1,0,0,0,39,2,1,0,0.0,0.0,0.0,3,0,19,26,73.1,0,26,2,9,5,19,26,73.1,229,48,15,15,100.0,3,5,60.0,1,3,33.3,0,0.0,0.0,1,0,1,1,0,26,26,0,0,0,0,3,0,0,0,0,0,19,0,2,2,2,1,1,0,1,3,33.3,2,0,0,0,1,3,0,0,39,0,5,22,13,0,39,9,5,55.6,4,44.4,26,172,45,2,1,0,4,1,27,3,0,0,0,0,1,0,3,1,2,0,0,0,9,0,0,
Erik Pieters,0,0,0,0,3,0,0,0,66,3,0,2,0.1,0.1,0.0,0,0,39,53,73.6,2,26,0,2,2,39,53,73.6,705,215,16,19,84.2,19,22,86.4,3,10,30.0,0,0.0,0.0,0,2,1,1,2,53,38,15,0,0,2,2,15,0,0,0,0,39,0,1,3,1,2,1,0,2,3,66.7,1,2,0,2,0,3,3,0,66,3,19,32,15,1,66,2,2,100.0,0,0.0,26,75,54,0,0,0,0,0,31,1,0,0,0,2,1,0,2,0,1,0,0,0,4,2,0,100.0
James Tarkowski,0,0,0,0,0,0,0,0,64,3,1,1,0.0,0.0,0.1,4,0,33,52,63.5,4,18,1,1,1,33,52,63.5,701,340,6,12,50.0,19,29,65.5,6,6,100.0,0,0.1,0.0,1,2,1,0,4,52,50,1,1,0,0,0,0,0,0,0,0,33,1,0,3,1,3,0,0,1,2,50.0,1,1,0,1,1,4,7,0,64,8,32,31,3,2,64,1,1,100.0,0,0.0,18,90,62,1,1,0,1,0,23,1,0,0,0,2,2,0,0,1,1,0,0,0,8,11,5,68.8
Jay Rodriguez,0,0,0,0,1,0,0,0,8,0,0,0,0.0,0.0,0.0,1,0,2,4,50.0,0,5,0,0,0,2,4,50.0,42,6,1,1,100.0,0,2,0.0,1,1,100.0,0,0.0,0.0,1,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,8,0,0,4,5,1,8,0,0,,0,,5,37,22,0,1,0,3,1,5,0,0,0,0,1,0,1,0,0,0,0,0,0,2,1,0,100.0
Maxwel Cornet,0,0,0,0,4,2,0,0,32,0,0,0,0.2,0.2,0.0,2,0,9,20,45.0,0,13,1,2,0,9,20,45.0,38,10,3,5,60.0,0,3,0.0,0,3,0.0,0,0.0,0.0,1,1,0,0,0,20,18,2,0,0,0,2,0,2,2,0,0,9,0,1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,32,0,1,11,20,4,32,2,0,0.0,2,100.0,13,58,54,1,1,0,2,2,22,0,0,0,0,1,0,1,2,0,0,0,0,0,2,0,3,0.0
Nick Pope,0,0,0,0,0,0,0,0,34,0,0,0,0.0,0.0,0.0,0,0,19,32,59.4,0,17,0,0,0,19,32,59.4,610,529,4,4,100.0,6,7,85.7,9,21,42.9,0,0.0,0.0,0,1,0,0,0,32,22,10,4,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,34,21,33,1,0,0,34,0,0,,0,,17,132,95,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
