,minute,player,squad,xg,psxg,outcome,distance,body part,notes,sca_1_player,sca_1_event,sca_2_player,sca_2_event
0,7,Callum Hudson-Odoi,Chelsea,0.02,,Blocked,15.0,Right Foot,,Mason Mount,Pass (Live),Romelu Lukaku,Pass (Live)
1,11,Tariq Lamptey,Brighton,0.06,,Off Target,18.0,Left Foot,,Joël Veltman,Pass (Live),Joël Veltman,Take-On
2,17,César Azpilicueta,Chelsea,0.08,0.6,Saved,12.0,Right Foot,,Mason Mount,Pass (Live),,
3,17,Antonio Rüdiger,Chelsea,0.11,0.04,Saved,5.0,Head,,Reece James,Pass (Live),César Azpilicueta,Shot
4,18,Marc Cucurella,Brighton,0.02,,Off Target,33.0,Left Foot,,Yves Bissouma,Pass (Live),Tariq Lamptey,Pass (Live)
5,20,Callum Hudson-Odoi,Chelsea,0.06,,Blocked,14.0,Right Foot,,Christian Pulisic,Pass (Live),,
6,25,Mason Mount,Chelsea,0.04,0.13,Saved,14.0,Right Foot,,Romelu Lukaku,Pass (Live),Mateo Kovačić,Pass (Live)
7,28,Romelu Lukaku,Chelsea,0.12,0.21,Goal,6.0,Head,,Mason Mount,Pass (Dead),Mason Mount,Shot
8,35,Alexis Mac Allister,Brighton,0.06,,Blocked,16.0,Right Foot,Volley,Neal Maupay,Pass (Live),,
9,37,Yves Bissouma,Brighton,0.02,0.16,Saved,26.0,Right Foot,,Solly March,Take-On,Marc Cucurella,Pass (Live)
10,38,Adam Lallana,Brighton,0.09,0.27,Saved,17.0,Left Foot,,Alexis Mac Allister,Pass (Live),Alexis Mac Allister,Tackle
11,39,Adam Lallana,Brighton,0.04,,Off Target,17.0,Right Foot,Volley,Marc Cucurella,Pass (Live),Adam Lallana,Shot
12,42,Tariq Lamptey,Brighton,0.01,,Off Target,18.0,Right Foot,Volley,Tariq Lamptey,Fouled,Tariq Lamptey,Take-On
13,45+2,Alexis Mac Allister,Brighton,0.04,0.19,Saved,26.0,Left Foot,,Neal Maupay,Pass (Live),Adam Lallana,Pass (Live)
14,45+3,Neal Maupay,Brighton,0.04,,Blocked,11.0,Head,,Alexis Mac Allister,Pass (Live),Solly March,Pass (Live)
15,,,,,,,,,,,,,
16,47,Jakub Moder,Brighton,0.13,,Woodwork,10.0,Right Foot,,Adam Lallana,Pass (Live),Solly March,Pass (Live)
17,52,Alexis Mac Allister,Brighton,0.04,0.05,Saved,26.0,Right Foot,Free kick,Solly March,Fouled,Marc Cucurella,Pass (Live)
18,53,Yves Bissouma,Brighton,0.02,0.07,Saved,30.0,Right Foot,Volley,,,,
19,57,Neal Maupay,Brighton,0.05,,Off Target,22.0,Right Foot,,Alexis Mac Allister,Pass (Live),Tariq Lamptey,Pass (Live)
20,60,Neal Maupay,Brighton,0.14,,Blocked,12.0,Right Foot,,Alexis Mac Allister,Pass (Live),Alexis Mac Allister,Take-On
21,61,Tariq Lamptey,Brighton,0.04,,Off Target,22.0,Left Foot,,Alexis Mac Allister,Pass (Live),Marc Cucurella,Pass (Live)
22,65,Adam Lallana,Brighton,0.02,,Off Target,14.0,Left Foot,Volley,Solly March,Pass (Live),Alexis Mac Allister,Pass (Dead)
23,74,Trevoh Chalobah,Chelsea,0.02,0.02,Saved,13.0,Head,,Mason Mount,Pass (Dead),César Azpilicueta,Pass (Live)
24,79,Mason Mount,Chelsea,0.08,,Blocked,23.0,Left Foot,,Mateo Kovačić,Pass (Live),Romelu Lukaku,Pass (Live)
25,85,Joël Veltman,Brighton,0.01,,Blocked,36.0,Right Foot,,Yves Bissouma,Pass (Live),Marc Cucurella,Pass (Live)
26,86,Romelu Lukaku,Chelsea,0.08,,Off Target,11.0,Left Foot,,Mateo Kovačić,Pass (Live),Mateo Kovačić,Take-On
27,87,N'Golo Kanté,Chelsea,0.05,,Off Target,16.0,Right Foot,,Romelu Lukaku,Pass (Live),N'Golo Kanté,Interception
28,88,Mateo Kovačić,Chelsea,0.05,,Off Target,21.0,Right Foot,,N'Golo Kanté,Shot,,
29,90+1,Danny Welbeck,Brighton,0.07,0.48,Goal,11.0,Head,,Marc Cucurella,Pass (Live),Enock Mwepu,Pass (Live)
