player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
14 Players,1,1,0,0,5,2,4,0,417,17,15,20,0.7,0.7,0.7,8,2,211,309,68.3,21,179,4,3,1,211,309,68.3,4421,1974,83,111,74.8,87,100,87.0,38,75,50.7,1,0.7,0.6,5,23,6,3,21,309,271,34,6,0,4,10,10,2,2,0,0,211,4,10,17,9,10,4,3,4,15,26.7,11,20,10,10,15,32,24,0,417,73,153,181,85,8,417,3,1,33.3,2,66.7,179,880,265,4,6,1,7,6,210,21,4,0,0,9,6,4,10,15,9,0,0,0,45,15,23,39.5
Ashley Westwood,0,0,0,0,0,0,1,0,44,1,1,0,0.0,0.0,0.0,2,1,20,35,57.1,2,15,0,1,0,20,35,57.1,404,138,7,12,58.3,10,11,90.9,3,7,42.9,0,0.0,0.1,1,3,1,0,2,35,30,4,0,0,0,2,0,2,2,0,0,20,1,2,1,0,1,0,0,1,2,50.0,1,0,0,0,1,2,1,0,44,2,10,25,10,0,44,1,0,0.0,1,100.0,15,83,8,0,0,0,0,0,22,0,1,0,0,1,0,0,2,1,0,0,0,0,4,0,1,0.0
Ben Mee,0,0,0,0,0,0,0,0,42,2,1,3,0.0,0.0,0.0,0,0,21,30,70.0,1,15,0,0,0,21,30,70.0,421,117,6,8,75.0,13,15,86.7,2,5,40.0,0,0.0,0.0,0,0,0,0,1,30,28,2,2,0,0,0,0,0,0,0,0,21,0,2,2,1,2,0,0,0,1,0.0,1,3,2,1,1,3,4,0,42,8,29,13,0,0,42,0,0,,0,,15,44,5,0,0,0,0,0,17,0,0,0,0,0,1,0,0,1,1,0,0,0,6,1,1,50.0
Charlie Taylor,0,0,0,0,0,0,0,0,56,0,5,5,0.0,0.0,0.0,0,0,32,40,80.0,7,28,2,0,0,32,40,80.0,594,300,14,15,93.3,13,15,86.7,5,8,62.5,0,0.0,0.1,0,7,1,1,7,40,33,6,0,0,0,2,6,0,0,0,0,32,1,0,0,0,0,0,0,0,1,0.0,1,5,3,2,5,5,6,0,56,12,20,28,8,0,56,0,0,,0,,28,186,104,2,3,0,0,1,26,0,0,0,0,0,2,0,2,5,0,0,0,0,5,0,3,0.0
Chris Wood,0,0,0,0,0,0,0,0,16,1,0,1,0.0,0.0,0.0,0,0,3,9,33.3,0,4,0,0,0,3,9,33.3,32,3,3,7,42.9,0,1,0.0,0,0,,0,0.0,0.0,0,0,0,0,0,9,8,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,1,1,2,50.0,1,1,0,1,0,1,1,0,16,1,1,5,10,2,16,0,0,,0,,4,5,0,0,0,0,3,1,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,33.3
Dwight McNeil,0,0,0,0,0,0,0,0,38,4,2,2,0.0,0.0,0.0,0,0,21,29,72.4,1,21,1,0,0,21,29,72.4,453,96,6,7,85.7,11,13,84.6,4,6,66.7,0,0.0,0.1,0,2,1,1,1,29,29,0,0,0,1,2,0,0,0,0,0,21,0,3,4,3,3,0,1,1,2,50.0,1,2,0,2,2,6,2,0,38,1,7,18,13,0,38,0,0,,0,,21,135,33,1,1,0,0,0,21,4,0,0,0,1,0,0,2,2,3,0,0,0,3,1,1,50.0
Erik Pieters,0,0,0,0,0,0,0,0,3,0,0,1,0.0,0.0,0.0,0,0,1,2,50.0,0,2,0,0,0,1,2,50.0,16,1,0,0,,1,1,100.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,3,1,2,1,1,0,3,0,0,,0,,2,22,19,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,
James Tarkowski,0,0,0,0,0,0,1,0,40,2,2,3,0.0,0.0,0.0,1,0,26,29,89.7,2,12,0,0,0,26,29,89.7,609,302,7,8,87.5,13,14,92.9,6,7,85.7,0,0.0,0.0,0,4,1,0,2,29,28,1,1,0,2,0,0,0,0,0,0,26,0,0,2,1,1,1,0,0,1,0.0,1,3,3,0,2,4,3,0,40,4,17,23,0,0,40,0,0,,0,,12,41,30,0,0,0,0,0,20,0,1,0,0,1,1,0,0,2,1,0,0,0,0,3,3,50.0
Jay Rodriguez,0,1,0,0,1,0,0,0,13,1,0,1,0.0,0.0,0.6,1,1,5,8,62.5,1,8,0,1,0,5,8,62.5,107,40,2,4,50.0,2,3,66.7,1,1,100.0,1,0.6,0.2,1,1,0,0,1,8,8,0,0,0,0,1,0,0,0,0,0,5,0,0,1,1,1,0,0,0,0,,0,1,0,1,0,1,0,0,13,0,4,5,4,2,13,1,0,0.0,1,100.0,8,54,1,0,1,0,0,2,12,5,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,100.0
Josh Brownhill,0,0,0,0,1,0,1,0,33,4,1,1,0.0,0.0,0.0,1,0,19,24,79.2,2,17,0,0,0,19,24,79.2,293,46,7,9,77.8,8,8,100.0,2,3,66.7,0,0.0,0.0,0,2,0,0,2,24,24,0,0,0,0,0,0,0,0,0,0,19,0,1,4,2,1,3,0,0,3,0.0,3,1,0,1,1,5,0,0,33,1,7,22,4,0,33,0,0,,0,,17,52,21,0,0,0,0,0,18,0,1,0,0,2,0,0,0,1,2,0,0,0,6,0,1,0.0
