player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
14 Players,1,0,1,1,23,5,2,0,761,16,12,7,2.7,1.9,0.9,40,2,537,647,83.0,55,538,35,19,8,537,647,83.0,8734,2800,277,299,92.6,189,222,85.1,47,80,58.8,0,0.9,1.0,13,33,12,3,55,647,595,50,14,0,3,37,17,15,10,5,0,537,2,12,16,11,8,6,2,10,19,52.6,9,7,0,7,12,28,7,2,761,46,188,336,245,44,760,19,8,42.1,11,57.9,538,2540,1333,35,25,10,21,10,533,55,2,0,0,13,14,2,37,12,11,1,0,0,69,11,11,50.0
Antonio Rüdiger,0,0,0,0,3,1,0,0,87,1,1,0,0.2,0.2,0.0,1,0,68,80,85.0,3,67,4,1,0,68,80,85.0,1291,365,25,26,96.2,34,39,87.2,8,13,61.5,0,0.0,0.0,0,6,0,0,3,80,75,4,4,0,1,0,0,0,0,0,0,68,1,0,1,1,1,0,0,1,1,100.0,0,0,0,0,1,2,0,0,87,6,34,42,13,3,87,1,0,0.0,1,100.0,67,416,239,4,4,0,0,0,67,0,0,0,0,1,2,0,0,1,1,0,0,0,9,2,0,100.0
Callum Hudson-Odoi,0,0,0,0,2,2,0,0,36,2,0,0,0.5,0.5,0.3,6,0,23,29,79.3,4,30,10,1,1,23,29,79.3,266,55,20,23,87.0,1,2,50.0,1,2,50.0,0,0.3,0.2,4,1,2,1,4,29,29,0,0,0,0,2,0,0,0,0,0,23,0,0,2,1,1,0,1,2,5,40.0,3,0,0,0,0,2,1,0,36,2,2,9,26,5,36,1,1,100.0,0,0.0,30,230,169,10,7,4,1,2,28,9,0,0,0,1,0,1,2,0,1,0,0,0,6,0,0,
Christian Pulisic,0,0,0,0,0,0,0,0,20,0,0,0,0.0,0.0,0.1,3,0,14,17,82.4,2,14,2,1,0,14,17,82.4,167,54,9,9,100.0,5,7,71.4,0,0,,0,0.1,0.1,1,0,0,0,2,17,15,2,0,0,0,2,2,0,0,0,0,14,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,20,0,2,5,13,3,20,1,0,0.0,1,100.0,14,59,43,2,0,2,0,0,16,3,0,0,0,0,1,0,2,0,0,0,0,0,2,0,0,
Edouard Mendy,0,0,0,0,0,0,0,0,25,0,0,0,0.0,0.0,0.0,0,0,21,25,84.0,0,20,0,0,0,21,25,84.0,446,272,6,6,100.0,10,11,90.9,4,7,57.1,0,0.0,0.0,0,0,0,0,0,25,23,2,0,0,1,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,25,23,25,0,0,0,25,0,0,,0,,20,61,27,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Hakim Ziyech,0,0,0,0,6,2,0,0,72,2,0,0,0.4,0.4,0.1,7,0,42,52,80.8,9,52,3,5,2,42,52,80.8,661,199,24,27,88.9,10,15,66.7,5,5,100.0,0,0.1,0.3,2,2,3,0,9,52,49,3,0,0,0,4,1,2,2,0,0,42,0,0,2,2,0,1,1,1,4,25.0,3,0,0,0,0,2,0,0,72,0,4,27,42,7,72,5,2,40.0,3,60.0,52,213,90,3,1,1,5,1,49,11,0,0,0,4,3,0,4,0,2,0,0,0,13,1,0,100.0
Jorginho,1,0,1,1,0,0,1,0,76,2,3,0,0.8,0.0,0.0,2,0,59,68,86.8,10,60,1,1,1,59,68,86.8,862,230,34,36,94.4,20,22,90.9,2,5,40.0,0,0.0,0.0,1,7,1,0,10,68,67,1,1,0,0,0,0,0,0,0,0,59,0,0,2,0,1,1,0,0,1,0.0,1,0,0,0,3,5,0,1,76,0,15,47,16,2,75,1,1,100.0,0,0.0,60,240,134,1,1,0,3,1,53,1,1,0,0,1,1,0,0,3,0,0,0,0,11,0,1,0.0
Marcos Alonso,0,0,0,0,0,0,0,0,75,1,2,3,0.0,0.0,0.1,7,1,43,63,68.3,2,35,2,0,0,43,63,68.3,726,199,25,27,92.6,13,16,81.3,5,15,33.3,0,0.1,0.1,2,3,1,1,2,63,41,21,0,0,0,16,8,13,8,5,0,43,1,4,1,1,1,0,0,0,0,,0,3,0,3,2,3,1,0,75,1,14,29,33,2,75,0,0,,0,,35,117,37,2,0,0,2,1,39,6,0,0,0,0,2,0,16,2,1,0,0,0,6,1,0,100.0
Mason Mount,0,0,0,0,0,0,0,0,15,0,0,0,0.0,0.0,0.1,2,0,9,12,75.0,2,14,0,1,0,9,12,75.0,101,31,6,6,100.0,2,4,50.0,0,0,,0,0.1,0.0,1,0,2,0,2,12,12,0,0,0,0,2,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,15,0,0,4,11,0,15,1,0,0.0,1,100.0,14,56,26,0,0,0,2,0,14,6,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,
Reece James,0,0,0,0,3,0,1,0,81,3,1,1,0.2,0.2,0.0,1,0,56,71,78.9,5,50,4,1,0,56,71,78.9,805,209,33,36,91.7,15,20,75.0,4,9,44.4,0,0.0,0.1,1,2,2,1,5,71,60,11,5,0,0,10,6,0,0,0,0,56,0,0,3,3,2,1,0,3,5,60.0,2,1,0,1,1,4,0,0,81,1,9,37,35,4,81,1,0,0.0,1,100.0,50,213,102,4,4,1,1,2,53,10,1,0,0,2,1,1,10,1,3,0,0,0,5,0,0,
Romelu Lukaku,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.1,1,0,2,2,100.0,0,3,0,1,1,2,2,100.0,38,0,1,1,100.0,1,1,100.0,0,0,,0,0.1,0.0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,3,0,0,0,3,2,3,1,1,100.0,0,0.0,3,10,1,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
Ruben Loftus-Cheek,0,0,0,0,2,0,0,0,59,0,1,1,0.2,0.2,0.0,2,0,40,44,90.9,6,41,4,5,2,40,44,90.9,512,112,24,26,92.3,12,14,85.7,1,1,100.0,0,0.0,0.0,0,1,0,0,6,44,44,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,,0,1,0,1,1,1,1,0,59,3,10,31,19,3,59,5,2,40.0,3,60.0,41,221,115,4,2,1,2,2,39,0,0,0,0,1,0,0,0,1,0,0,0,0,6,6,3,66.7
Thiago Silva,0,0,0,0,1,0,0,0,91,2,1,1,0.0,0.0,0.0,5,1,77,84,91.7,2,69,0,0,0,77,84,91.7,1726,658,15,17,88.2,44,45,97.8,15,19,78.9,0,0.0,0.0,0,6,0,0,2,84,83,1,1,0,1,0,0,0,0,0,0,77,0,0,2,2,1,1,0,1,1,100.0,0,1,0,1,1,3,3,0,91,9,43,46,2,1,91,0,0,,0,,69,330,180,0,1,0,0,0,68,0,0,0,0,0,2,0,0,1,2,1,0,0,8,1,2,33.3
Timo Werner,0,0,0,0,6,0,0,0,26,1,0,0,0.5,0.5,0.0,2,0,10,14,71.4,2,17,4,2,1,10,14,71.4,96,39,6,6,100.0,1,2,50.0,0,0,,0,0.0,0.0,0,1,1,0,2,14,12,2,0,0,0,1,0,0,0,0,0,10,0,3,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,26,0,1,8,17,11,26,2,1,50.0,1,50.0,17,117,82,4,2,1,4,0,19,7,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0.0
Trevoh Chalobah,0,0,0,0,0,0,0,0,95,2,3,1,0.0,0.0,0.0,1,0,73,86,84.9,8,66,1,0,0,73,86,84.9,1037,377,49,53,92.5,21,24,87.5,2,4,50.0,0,0.0,0.0,0,4,0,0,8,86,83,3,3,0,0,0,0,0,0,0,0,73,0,4,2,1,0,2,0,1,1,100.0,0,1,0,1,3,5,0,0,95,1,29,51,15,1,95,0,0,,0,,66,257,88,1,3,0,0,0,67,1,0,0,0,2,2,0,0,3,1,0,0,0,2,0,2,0.0
