player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
14 Players,0,0,0,0,6,3,1,0,481,14,12,16,0.5,0.5,0.5,12,0,288,372,77.4,27,227,13,13,8,288,372,77.4,4832,1919,141,160,88.1,119,151,78.8,23,46,50.0,0,0.5,0.2,6,22,2,0,27,372,318,53,17,5,1,5,21,3,0,3,0,288,1,5,14,7,5,8,1,7,13,53.8,6,16,3,13,12,26,26,0,481,69,204,219,68,7,481,13,8,61.5,5,38.5,227,1425,819,13,13,1,16,10,285,27,1,0,0,14,17,1,5,12,7,0,0,0,45,8,13,38.1
Ben Davies,0,0,0,0,0,0,0,0,52,1,1,4,0.0,0.0,0.0,1,0,24,42,57.1,2,16,0,0,0,24,42,57.1,356,184,13,16,81.3,9,16,56.3,1,5,20.0,0,0.0,0.0,0,0,1,0,2,42,28,14,2,0,0,0,12,0,0,0,0,24,0,1,1,0,1,0,0,1,2,50.0,1,4,1,3,1,2,2,0,52,3,25,21,6,0,52,0,0,,0,,16,89,21,0,1,0,0,1,24,2,0,0,0,2,2,0,0,1,0,0,0,0,4,1,3,25.0
Bryan Gil,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,1,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,,0,,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Davinson Sánchez,0,0,0,0,0,0,0,0,59,2,3,1,0.0,0.0,0.0,0,0,40,46,87.0,0,28,0,1,1,40,46,87.0,648,234,17,19,89.5,19,22,86.4,3,4,75.0,0,0.0,0.0,0,2,0,0,0,46,44,2,2,0,0,0,0,0,0,0,0,40,0,0,2,1,0,2,0,0,0,,0,1,1,0,3,5,4,0,59,12,35,22,2,1,59,1,1,100.0,0,0.0,28,211,159,0,1,0,1,0,33,1,0,0,0,0,0,0,0,3,1,0,0,0,6,2,3,40.0
Eric Dier,0,0,0,0,0,0,0,0,57,0,0,2,0.0,0.0,0.0,0,0,44,53,83.0,4,31,0,1,1,44,53,83.0,903,520,16,17,94.1,23,24,95.8,5,11,45.5,0,0.0,0.0,0,4,0,0,4,53,50,2,2,0,1,0,0,0,0,0,0,44,1,0,0,0,0,0,0,0,0,,0,2,1,1,0,0,2,0,57,8,32,26,2,0,57,1,1,100.0,0,0.0,31,243,208,0,1,0,0,0,39,0,0,0,0,2,0,0,0,0,0,0,0,0,4,3,1,75.0
Harry Kane,0,0,0,0,1,1,0,0,32,0,0,1,0.0,0.0,0.2,3,0,13,20,65.0,1,22,2,2,1,13,20,65.0,235,42,5,7,71.4,5,8,62.5,2,3,66.7,0,0.2,0.0,2,1,0,0,1,20,19,1,0,1,0,1,0,0,0,0,0,13,0,2,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,3,0,32,3,7,14,12,1,32,2,1,50.0,1,50.0,22,130,38,2,4,0,4,3,24,7,0,0,0,3,3,0,1,0,0,0,0,0,5,1,1,50.0
Harry Winks,0,0,0,0,1,1,0,0,49,0,4,0,0.1,0.1,0.0,2,0,33,41,80.5,2,28,1,3,2,33,41,80.5,556,167,12,13,92.3,19,23,82.6,1,4,25.0,0,0.0,0.0,1,2,0,0,2,41,33,8,3,1,0,3,0,3,0,3,0,33,0,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,2,0,49,3,18,28,6,0,49,3,2,66.7,1,33.3,28,112,68,1,1,0,0,0,33,0,0,0,0,0,3,0,3,4,0,0,0,0,4,0,0,
Hugo Lloris,0,0,0,0,0,0,0,0,30,0,0,0,0.0,0.0,0.0,0,0,22,26,84.6,0,10,0,0,0,22,26,84.6,421,296,12,12,100.0,6,6,100.0,4,8,50.0,0,0.0,0.0,0,1,0,0,0,26,15,11,2,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,30,26,30,0,0,0,30,0,0,,0,,10,69,60,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Japhet Tanganga,0,0,0,0,0,0,1,0,21,1,0,1,0.0,0.0,0.0,0,0,11,14,78.6,0,1,0,0,0,11,14,78.6,192,79,5,5,100.0,4,5,80.0,2,4,50.0,0,0.0,0.0,0,0,0,0,0,14,5,9,1,0,0,0,8,0,0,0,0,11,0,0,1,0,1,0,0,1,4,25.0,3,1,0,1,0,1,4,0,21,4,10,11,0,0,21,0,0,,0,,1,3,0,0,0,0,0,0,3,0,1,0,0,3,1,0,0,0,0,0,0,0,1,0,0,
Lucas Moura,0,0,0,0,0,0,0,0,22,1,0,0,0.0,0.0,0.0,0,0,16,20,80.0,4,14,1,0,0,16,20,80.0,260,30,8,10,80.0,7,8,87.5,1,2,50.0,0,0.0,0.0,0,3,0,0,4,20,20,0,0,1,0,0,0,0,0,0,0,16,0,1,1,0,0,0,1,0,0,,0,0,0,0,0,1,0,0,22,0,1,12,9,0,22,0,0,,0,,14,70,25,1,2,0,1,0,19,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0
