,minute,player,squad,xg,psxg,outcome,distance,body part,notes,sca_1_player,sca_1_event,sca_2_player,sca_2_event
0,8,N'Golo Kanté,Chelsea,0.04,,Off Target,21.0,Left Foot,,Ruben Loftus-Cheek,Pass (Live),,
1,18,Saïd Benrahma,West Ham,0.02,,Off Target,12.0,Right Foot,,,,,
2,21,Arthur Masuaku,West Ham,0.02,,Blocked,22.0,Left Foot,Volley,Pablo Fornals,Pass (Dead),Pablo Fornals,Pass (Live)
3,26,Mason Mount,Chelsea,0.03,,Off Target,27.0,Left Foot,,Timo Werner,Pass (Live),Jorginho,Pass (Live)
4,30,César Azpilicueta,Chelsea,0.1,,Blocked,21.0,Right Foot,,Kai Havertz,Pass (Live),Ruben Loftus-Cheek,Pass (Live)
5,33,Andriy Yarmolenko,West Ham,0.05,,Off Target,15.0,Left Foot,Volley,Pablo Fornals,Pass (Live),Mark Noble,Pass (Live)
6,33,N'Golo Kanté,Chelsea,0.02,,Blocked,24.0,Right Foot,,Timo Werner,Pass (Live),N'Golo Kanté,Pass (Live)
7,37,Mason Mount,Chelsea,0.04,,Blocked,29.0,Right Foot,Deflected,Jorginho,Pass (Live),Thiago Silva,Pass (Live)
8,38,Kai Havertz,Chelsea,0.04,,Off Target,13.0,Head,,Timo Werner,Pass (Live),Marcos Alonso,Pass (Live)
9,,,,,,,,,,,,,
10,52,Timo Werner,Chelsea,0.12,,Blocked,12.0,Right Foot,Volley,Marcos Alonso,Pass (Live),N'Golo Kanté,Pass (Live)
11,53,Timo Werner,Chelsea,0.12,,Blocked,14.0,Right Foot,,Trevoh Chalobah,Pass (Live),Thiago Silva,Pass (Live)
12,54,Timo Werner,Chelsea,0.02,,Blocked,22.0,Right Foot,,Mason Mount,Pass (Live),César Azpilicueta,Pass (Live)
13,56,Tomáš Souček,West Ham,0.13,,Blocked,17.0,Right Foot,,Andriy Yarmolenko,Pass (Live),Andriy Yarmolenko,Take-On
14,57,N'Golo Kanté,Chelsea,0.06,0.03,Saved,22.0,Left Foot,Deflected,Kai Havertz,Pass (Live),Ruben Loftus-Cheek,Pass (Live)
15,59,Trevoh Chalobah,Chelsea,0.02,0.12,Saved,28.0,Right Foot,,Mason Mount,Pass (Live),Marcos Alonso,Pass (Live)
16,67,Marcos Alonso,Chelsea,0.02,,Blocked,27.0,Left Foot,,Jorginho,Pass (Live),Jorginho,Take-On
17,68,Thiago Silva,Chelsea,0.06,,Blocked,24.0,Right Foot,,Thiago Silva,Take-On,Trevoh Chalobah,Pass (Live)
18,70,Andriy Yarmolenko,West Ham,0.15,0.06,Saved,10.0,Right Foot,,Pablo Fornals,Pass (Live),Declan Rice,Pass (Live)
19,70,Andriy Yarmolenko,West Ham,0.14,0.48,Saved,4.0,Left Foot,,Andriy Yarmolenko,Shot,,
20,70,Mason Mount,Chelsea,0.04,,Blocked,14.0,Right Foot,"Deflected, Volley",Mason Mount,Pass (Live),Ruben Loftus-Cheek,Pass (Live)
21,70,Timo Werner,Chelsea,0.18,,Off Target,5.0,Right Foot,,Mason Mount,Shot,,
22,71,Marcos Alonso,Chelsea,0.16,,Off Target,9.0,Right Foot,,Mason Mount,Pass (Live),Jorginho,Pass (Live)
23,72,Marcos Alonso,Chelsea,0.03,,Off Target,10.0,Head,,Jorginho,Pass (Live),N'Golo Kanté,Pass (Live)
24,73,Mason Mount,Chelsea,0.03,,Blocked,26.0,Left Foot,,Ruben Loftus-Cheek,Pass (Live),N'Golo Kanté,Pass (Live)
25,74,Timo Werner,Chelsea,0.31,0.12,Saved,10.0,Right Foot,Volley,Mason Mount,Pass (Live),Mason Mount,Shot
26,76,N'Golo Kanté,Chelsea,0.07,,Blocked,13.0,Right Foot,,Ruben Loftus-Cheek,Pass (Live),Jorginho,Pass (Live)
27,78,Mason Mount,Chelsea,0.06,,Off Target,23.0,Right Foot,,Marcos Alonso,Pass (Live),Jorginho,Pass (Live)
28,84,Romelu Lukaku,Chelsea,0.02,,Blocked,14.0,Head,,César Azpilicueta,Pass (Live),Hakim Ziyech,Pass (Live)
29,87,Jorginho (pen),Chelsea,0.79,0.98,Saved,13.0,Right Foot,,Romelu Lukaku,Fouled,Thiago Silva,Pass (Live)
30,88,Hakim Ziyech,Chelsea,0.02,,Off Target,25.0,Left Foot,,Christian Pulisic,Pass (Live),N'Golo Kanté,Pass (Live)
31,90,Christian Pulisic,Chelsea,0.56,0.76,Goal,9.0,Left Foot,,Mason Mount,Pass (Live),N'Golo Kanté,Pass (Live)
32,90+2,Mason Mount,Chelsea,0.05,,Off Target,19.0,Right Foot,,Romelu Lukaku,Tackle,,
