,minute,player,squad,xg,psxg,outcome,distance,body part,notes,sca_1_player,sca_1_event,sca_2_player,sca_2_event
0,5,Leon Bailey,Aston Villa,0.05,,Blocked,31.0,Left Foot,Free kick,Jacob Ramsey,Fouled,Ashley Young,Pass (Live)
1,5,Matty Cash,Aston Villa,0.07,,Off Target,17.0,Left Foot,,Leon Bailey,Pass (Live),John McGinn,Pass (Live)
2,8,Marc Guéhi,Crystal Palace,0.03,,Blocked,13.0,Left Foot,Volley,Cheikhou Kouyaté,Pass (Live),Michael Olise,Pass (Live)
3,11,Wilfried Zaha,Crystal Palace,0.09,,Off Target,15.0,Left Foot,,,,,
4,15,Matt Targett,Aston Villa,0.07,0.05,Goal,11.0,Left Foot,Deflected,Ashley Young,Pass (Dead),Ollie Watkins,Take-On
5,23,Christian Benteke,Crystal Palace,0.06,,Off Target,13.0,Head,,Tyrick Mitchell,Pass (Live),Conor Gallagher,Pass (Live)
6,24,Ashley Young,Aston Villa,0.02,0.14,Saved,18.0,Right Foot,,Leon Bailey,Pass (Live),Matt Targett,Pass (Live)
7,27,John McGinn,Aston Villa,0.07,,Off Target,16.0,Left Foot,,Ollie Watkins,Pass (Live),Marvelous Nakamba,Pass (Live)
8,32,Ezri Konsa,Aston Villa,0.03,,Off Target,11.0,Head,,John McGinn,Pass (Dead),Tyrone Mings,Fouled
9,34,Ashley Young,Aston Villa,0.02,,Blocked,25.0,Right Foot,,Marvelous Nakamba,Pass (Live),Ashley Young,Pass (Live)
10,35,John McGinn,Aston Villa,0.01,,Off Target,26.0,Left Foot,Volley,Ashley Young,Shot,,
11,,,,,,,,,,,,,
12,57,Ashley Young,Aston Villa,0.06,,Off Target,29.0,Right Foot,Free kick,Ollie Watkins,Fouled,Leon Bailey,Pass (Live)
13,80,Christian Benteke,Crystal Palace,0.07,0.09,Saved,11.0,Right Foot,Volley,James Tomkins,Pass (Live),Conor Gallagher,Pass (Live)
14,81,Odsonne Édouard,Crystal Palace,0.06,0.24,Saved,17.0,Right Foot,,Conor Gallagher,Pass (Live),Michael Olise,Pass (Live)
15,86,John McGinn,Aston Villa,0.07,0.45,Goal,21.0,Left Foot,,Anwar El Ghazi,Pass (Live),Emi Buendía,Pass (Live)
16,90,Jordan Ayew,Crystal Palace,0.02,,Off Target,31.0,Right Foot,,Conor Gallagher,Pass (Live),James Tomkins,Pass (Live)
17,90+3,Christian Benteke,Crystal Palace,0.25,,Off Target,5.0,Right Foot,,Joel Ward,Pass (Live),Eberechi Eze,Pass (Dead)
18,90+5,Marc Guéhi,Crystal Palace,0.37,0.64,Goal,7.0,Left Foot,Volley,Cheikhou Kouyaté,Pass (Live),Marc Guéhi,Fouled
