player,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,player_ast,player_xag,player_xa,player_kp,player_1/3,player_ppa,player_crspa,player_prgp,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,player_att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,player_int,player_tkl+int,player_clr,player_err,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
14 Players,1,1,0,0,6,1,4,0,391,18,7,9,0.4,0.4,0.2,11,2,152,249,61.0,18,133,9,12,5,152,249,61.0,3184,1824,64,88,72.7,56,76,73.7,30,65,46.2,1,0.2,0.6,5,17,4,1,18,249,195,51,15,1,3,16,15,7,1,6,0,152,3,7,18,11,11,7,0,10,23,43.5,13,9,6,3,7,25,35,0,391,67,162,133,100,20,391,12,5,41.7,7,58.3,133,608,223,9,3,1,33,4,149,18,4,0,0,9,13,3,16,7,11,0,0,0,33,18,16,52.9
Allan Saint-Maximin,0,0,0,0,1,0,0,0,26,0,1,0,0.0,0.0,0.0,0,0,6,13,46.2,1,17,4,1,0,6,13,46.2,90,18,3,6,50.0,3,4,75.0,0,1,0.0,0,0.0,0.0,0,1,0,0,1,13,13,0,0,1,1,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0,26,0,1,13,12,1,26,1,0,0.0,1,100.0,17,136,73,4,1,0,8,3,22,5,0,0,0,0,2,0,0,1,0,0,0,0,1,2,0,100.0
Callum Wilson,1,0,0,0,2,1,1,0,31,0,0,0,0.2,0.2,0.0,1,0,9,14,64.3,2,16,1,1,0,9,14,64.3,131,50,5,7,71.4,4,5,80.0,0,0,,0,0.0,0.0,0,2,0,0,2,14,14,0,0,0,0,0,0,0,0,0,0,9,0,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,31,0,5,9,17,4,31,1,0,0.0,1,100.0,16,46,11,1,0,1,9,1,23,5,1,0,0,2,0,2,0,0,0,0,0,0,1,3,3,50.0
Ciaran Clark,0,0,0,0,0,0,0,0,27,1,1,0,0.0,0.0,0.0,0,0,10,19,52.6,0,6,1,0,0,10,19,52.6,170,38,3,7,42.9,7,10,70.0,0,2,0.0,0,0.0,0.0,0,0,0,0,0,19,18,1,1,0,0,0,0,0,0,0,0,10,0,0,1,1,1,0,0,1,3,33.3,2,0,0,0,1,2,6,0,27,4,12,12,3,3,27,0,0,,0,,6,15,13,1,0,0,1,0,11,0,0,0,0,0,1,1,0,1,1,0,0,0,3,3,3,50.0
Emil Krafth,0,1,0,0,1,0,0,0,49,4,1,2,0.1,0.1,0.1,1,0,17,27,63.0,1,7,1,0,0,17,27,63.0,299,165,8,9,88.9,7,13,53.8,2,4,50.0,1,0.1,0.0,1,0,1,0,1,27,18,9,1,0,1,0,8,0,0,0,0,17,0,0,4,1,2,2,0,4,6,66.7,2,2,2,0,1,5,9,0,49,10,25,12,12,2,49,0,0,,0,,7,31,11,1,1,0,2,0,11,1,0,0,0,0,3,0,0,1,1,0,0,0,2,0,1,0.0
Isaac Hayden,0,0,0,0,0,0,0,0,40,1,0,2,0.0,0.0,0.0,0,0,15,23,65.2,4,6,0,3,2,15,23,65.2,238,115,9,14,64.3,5,6,83.3,1,2,50.0,0,0.0,0.0,0,5,0,0,4,23,21,2,1,0,0,1,0,0,0,0,0,15,0,0,1,1,0,1,0,0,0,,0,2,1,1,0,1,4,0,40,4,14,21,6,0,40,3,2,66.7,1,33.3,6,15,3,0,1,0,4,0,9,0,0,0,0,0,0,0,1,0,1,0,0,0,2,1,2,33.3
Jamaal Lascelles,0,0,0,0,1,0,1,0,25,0,1,0,0.0,0.0,0.1,3,1,10,14,71.4,0,9,0,0,0,10,14,71.4,150,46,3,4,75.0,6,7,85.7,0,2,0.0,0,0.1,0.1,1,0,0,0,0,14,14,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,7,0,25,7,16,4,5,4,25,0,0,,0,,9,30,15,0,0,0,0,0,10,0,1,0,0,1,0,0,0,1,0,0,0,0,3,4,1,80.0
Javier Manquillo,0,0,0,0,0,0,0,0,34,1,0,2,0.0,0.0,0.0,0,0,15,23,65.2,3,11,0,2,0,15,23,65.2,184,95,10,12,83.3,5,6,83.3,0,3,0.0,0,0.0,0.0,0,1,0,0,3,23,18,4,0,0,0,0,4,0,0,0,0,15,1,1,1,1,0,1,0,1,3,33.3,2,2,2,0,0,1,2,0,34,4,12,14,8,1,34,2,0,0.0,2,100.0,11,60,16,0,0,0,0,0,9,2,0,0,0,1,2,0,0,0,1,0,0,0,4,2,2,50.0
Joe Willock,0,0,0,0,0,0,0,0,9,0,0,1,0.0,0.0,0.0,0,0,2,2,100.0,0,4,0,1,0,2,2,100.0,30,12,1,1,100.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0,9,0,1,3,5,0,9,1,0,0.0,1,100.0,4,4,2,0,0,0,2,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,2,0.0
Joelinton,0,0,0,0,0,0,1,0,8,0,0,0,0.0,0.0,0.0,1,0,5,5,100.0,4,3,0,0,0,5,5,100.0,75,37,3,3,100.0,2,2,100.0,0,0,,0,0.0,0.0,0,0,2,0,4,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,8,1,1,1,6,1,8,0,0,,0,,3,3,1,0,0,0,2,0,6,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,50.0
